game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,fg_made,forced_fumbles,fumble_recoveries,sacks,safeties,tackles
FOOTBALL_UFL_2025_3_30_MICH@MEM,2025-03-30,2025,1,UFL,MICH,MEM,,,,,,2.0,,,,,
FOOTBALL_UFL_2025_6_8_MICH@BHM,2025-06-08,2025,1,UFL,MICH,BHM,,,,,,1.0,,,,,
FOOTBALL_UFL_2025_4_5_BHM@MICH,2025-04-05,2025,2,UFL,BHM,MICH,,,,,,1.0,,,,,
FOOTBALL_UFL_2025_6_15_DC@MICH,2025-06-15,2025,2,UFL,DC,MICH,,,,,,1.0,,,,,
FOOTBALL_UFL_2025_4_13_SA@MICH,2025-04-13,2025,3,UFL,SA,MICH,,,,,,2.0,,,,,
FOOTBALL_UFL_2025_5_4_DC@MICH,2025-05-04,2025,6,UFL,DC,MICH,,,,,,1.0,,,,,
FOOTBALL_UFL_2025_5_10_MICH@ARL,2025-05-10,2025,7,UFL,MICH,ARL,,,,,,1.0,,,,,
FOOTBALL_UFL_2025_5_17_MICH@HOU,2025-05-17,2025,8,UFL,MICH,HOU,,,,,,1.0,,,,,
FOOTBALL_NAL_2025_5_4_T425361G981353@T425358,2025-05-04,2025,9,NAL,Sioux City Bandits,Idaho Horsemen,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,3.0
FOOTBALL_UFL_2025_5_24_MICH@BHM,2025-05-24,2025,9,UFL,MICH,BHM,,,,,,1.0,,,,,
FOOTBALL_UFL_2025_5_31_HOU@MICH,2025-05-31,2025,10,UFL,HOU,MICH,,,,,,2.0,,,,,
