game_id,date,season,week,league,away,home,1pt_conversion,assist_tackles,conversions,def_int,def_lg,def_solo,def_tot,def_yds,pass_defended,solo_tackles,tackles
FOOTBALL_XFL_2020_2_9_TB@NY,2020-02-09,2020,1,XFL,TB,NY,,2.0,,,,,,,,4.0,6.0
FOOTBALL_XFL_2020_2_15_NY@DC,2020-02-15,2020,2,XFL,NY,DC,,,,,,,,,,6.0,6.0
FOOTBALL_XFL_2020_2_23_NY@STL,2020-02-23,2020,3,XFL,NY,STL,,2.0,,,,,,,,4.0,6.0
FOOTBALL_XFL_2020_2_29_LA@NY,2020-02-29,2020,4,XFL,LA,NY,,1.0,,,,,,,,1.0,2.0
FOOTBALL_XFL_2020_3_7_NY@DAL,2020-03-07,2020,5,XFL,NY,DAL,,3.0,,,,,,,,3.0,6.0
FOOTBALL_CFL_2021_10_23_SSK@CGY,2021-10-23,2021,1,CFL,SSK,CGY,,,,,,1.0,1.0,,,,
FOOTBALL_CFL_2021_11_13_EDM@SSK,2021-11-13,2021,1,CFL,EDM,SSK,,,,,,5.0,5.0,,,,
FOOTBALL_CFL_2021_8_14_HAM@SSK,2021-08-14,2021,1,CFL,HAM,SSK,,,,1.0,7.0,,,7.0,,,
FOOTBALL_CFL_2021_8_21_OTT@SSK,2021-08-21,2021,1,CFL,OTT,SSK,,,,,,3.0,3.0,,,,
FOOTBALL_CFL_2021_9_11_SSK@WPG,2021-09-11,2021,1,CFL,SSK,WPG,,,,,,1.0,1.0,,,,
FOOTBALL_CFL_2021_9_5_WPG@SSK,2021-09-05,2021,1,CFL,WPG,SSK,,,,,,4.0,4.0,,,,
FOOTBALL_XFL_2023_2_18_ORL@HOU,2023-02-18,2023,1,XFL,ORL,HOU,,,,,,,,,,,4.0
FOOTBALL_XFL_2023_2_26_ARL@HOU,2023-02-26,2023,2,XFL,ROUGHNECKS,RENEGADES,,,,,,,,,,,3.0
FOOTBALL_XFL_2023_3_5_SA@HOU,2023-03-05,2023,3,XFL,ROUGHNECKS,BRAHMAS,,,,,,,,,,,1.0
FOOTBALL_XFL_2023_3_11_HOU@ORL,2023-03-11,2023,4,XFL,GUARDIANS,ROUGHNECKS,,,,,,,,,,,2.0
FOOTBALL_XFL_2023_3_16_HOU@SEA,2023-03-16,2023,5,XFL,HOU,SEA,,,,,,,,,,,2.0
FOOTBALL_XFL_2023_3_27_HOU@DC,2023-03-27,2023,6,XFL,HOU,DC,,,,,,,,,1.0,,7.0
FOOTBALL_XFL_2023_4_2_STL@HOU,2023-04-02,2023,7,XFL,STL,HOU,,,,,,,,,1.0,,4.0
FOOTBALL_XFL_2023_4_9_HOU@SA,2023-04-09,2023,8,XFL,HOU,SA,,,,,,,,,,,6.0
FOOTBALL_XFL_2023_4_15_VGS@HOU,2023-04-15,2023,9,XFL,VGS,HOU,,,,,,,,,,,5.0
SYNTHETIC_XFL_2023_W9_ROUGHNECKS,2023-04-15,2023,9,XFL,ROUGHNECKS,VIPERS,0.0,,0.0,,,,,,,,
FOOTBALL_XFL_2023_4_23_HOU@ARL,2023-04-23,2023,10,XFL,HOU,ARL,,,,,,,,,,,2.0
