game_id,date,season,week,league,away,home,assists,blocks,drops,goals,throwaways,yardsReceived,yardsThrown
2025-05-03-LA-SD,2025-05-03,2025,2,UFA,aviators,growlers,0.0,0.0,0.0,2.0,0.0,27.0,-8.0
2025-05-04-SD-LA,2025-05-04,2025,2,UFA,growlers,aviators,0.0,0.0,0.0,0.0,0.0,43.0,65.0
2025-05-10-ATL-LA,2025-05-10,2025,3,UFA,hustle,aviators,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-16-LA-SD,2025-05-16,2025,4,UFA,aviators,growlers,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-30-HTX-LA,2025-05-30,2025,6,UFA,havoc,aviators,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2025-06-06-ATX-LA,2025-06-06,2025,7,UFA,sol,aviators,1.0,1.0,0.0,1.0,1.0,101.0,6.0
2025-06-20-LA-ORE,2025-06-20,2025,9,UFA,aviators,steel,1.0,0.0,0.0,0.0,0.0,51.0,12.0
2025-06-21-LA-SEA,2025-06-21,2025,9,UFA,aviators,cascades,0.0,0.0,0.0,1.0,0.0,69.0,25.0
2025-07-05-SD-LA,2025-07-05,2025,11,UFA,growlers,aviators,1.0,1.0,0.0,0.0,0.0,-12.0,14.0
2025-07-11-LA-HTX,2025-07-11,2025,12,UFA,aviators,havoc,1.0,2.0,0.0,0.0,0.0,29.0,43.0
2025-07-12-LA-ATX,2025-07-12,2025,12,UFA,aviators,sol,1.0,0.0,0.0,0.0,2.0,257.0,98.0
2025-07-20-LV-LA,2025-07-20,2025,13,UFA,bighorns,aviators,2.0,1.0,1.0,2.0,2.0,341.0,58.0
