game_id,date,season,week,league,away,home,def_solo,def_tot,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_conv,score_p,score_pts,score_r,score_tot
FOOTBALL_CFL_2016_10_10_CGY@TOR,2016-10-10,2016,1,CFL,CGY,TOR,1.0,1.0,,,,8.0,1.0,1.0,,4.0,8.0,32.0,5.0,61.0,,,,,,,,,
FOOTBALL_CFL_2016_10_1_CGY@HAM,2016-10-01,2016,1,CFL,CGY,HAM,,,,,,13.0,1.0,2.0,,10.0,13.0,,,,,,,,,,,,
FOOTBALL_CFL_2016_10_21_TOR@CGY,2016-10-21,2016,1,CFL,TOR,CGY,,,,,,9.0,5.0,6.0,,9.0,24.0,,,,,,,,1.0,,2.0,,
FOOTBALL_CFL_2016_10_30_CGY@MTL,2016-10-30,2016,1,CFL,CGY,MTL,,,,,,9.0,5.0,8.0,,19.0,35.0,,,,,,,,,,,,
FOOTBALL_CFL_2016_11_20_BC@CGY,2016-11-20,2016,1,CFL,BC,CGY,,,,,,8.0,2.0,2.0,1.0,8.0,13.0,6.0,2.0,8.0,1.0,,1.0,3.0,,1.0,12.0,1.0,2.0
FOOTBALL_CFL_2016_11_27_CGY@OTT,2016-11-27,2016,1,CFL,CGY,OTT,1.0,1.0,,,,,4.0,7.0,1.0,26.0,59.0,,,,,,,,,1.0,6.0,,1.0
FOOTBALL_CFL_2016_6_25_CGY@BC,2016-06-25,2016,1,CFL,CGY,BC,,,,,,31.0,2.0,4.0,,16.0,56.0,,,,1.0,5.0,,5.0,,,,,
FOOTBALL_CFL_2016_7_29_BC@CGY,2016-07-29,2016,1,CFL,BC,CGY,,,,,,20.0,3.0,3.0,,27.0,41.0,,,,2.0,16.0,,24.0,,,,,
FOOTBALL_CFL_2016_8_13_CGY@SSK,2016-08-13,2016,1,CFL,CGY,SSK,,,,,,8.0,3.0,5.0,,5.0,16.0,,,,,,,,,,,,
FOOTBALL_CFL_2016_8_19_CGY@BC,2016-08-19,2016,1,CFL,CGY,BC,,,,,,,,1.0,,,,,,,,,,,,,,,
FOOTBALL_CFL_2016_8_28_HAM@CGY,2016-08-28,2016,1,CFL,HAM,CGY,,,,,,25.0,4.0,4.0,,2.0,45.0,,,,,,,,,,,,
FOOTBALL_CFL_2016_8_4_SSK@CGY,2016-08-04,2016,1,CFL,SSK,CGY,,,,,,17.0,3.0,3.0,,5.0,29.0,,,,1.0,5.0,,5.0,,,,,
FOOTBALL_CFL_2016_9_10_CGY@EDM,2016-09-10,2016,1,CFL,CGY,EDM,,,,,,,,2.0,,,,16.0,1.0,16.0,,,,,,,,,
FOOTBALL_CFL_2016_9_17_OTT@CGY,2016-09-17,2016,1,CFL,OTT,CGY,,,,,,14.0,3.0,4.0,,27.0,35.0,,,,2.0,9.0,,7.0,,,,,
FOOTBALL_CFL_2016_9_24_WPG@CGY,2016-09-24,2016,1,CFL,WPG,CGY,,,,,,32.0,4.0,6.0,1.0,4.0,74.0,,,,,,,,,1.0,6.0,,1.0
FOOTBALL_CFL_2016_9_5_EDM@CGY,2016-09-05,2016,1,CFL,EDM,CGY,,,,,,26.0,1.0,3.0,,18.0,26.0,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W9_HAM,2022-08-06,2022,9,CFL,HAM,TOR,,,0.0,12.0,2.0,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W10_HAM,2022-08-12,2022,10,CFL,TOR,HAM,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W11_HAM,2022-08-20,2022,11,CFL,HAM,MTL,,,0.0,11.0,1.0,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W15_HAM,2022-09-17,2022,15,CFL,WPG,HAM,,,0.0,8.0,1.0,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W18_HAM,2022-10-07,2022,18,CFL,SSK,HAM,,,0.0,12.0,2.0,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W19_HAM,2022-10-14,2022,19,CFL,HAM,CGY,,,0.0,7.0,1.0,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W20_HAM,2022-10-21,2022,20,CFL,OTT,HAM,,,0.0,8.0,1.0,,,,,,,,,,,,,,,,,,
