game_id,date,season,week,league,away,home,1pt_conversion,conversions,receiving_tds,receiving_yards,receptions,rushing_yards
FOOTBALL_XFL_2023_2_19_STL@SA,2023-02-19,2023,1,XFL,STL,SA,,,,35.0,7.0,1.0
FOOTBALL_XFL_2023_3_26_SA@ARL,2023-03-26,2023,6,XFL,SA,ARL,,,,24.0,2.0,
FOOTBALL_XFL_2023_4_1_SA@VGS,2023-04-01,2023,7,XFL,SA,VGS,,,,75.0,6.0,
FOOTBALL_XFL_2023_4_9_HOU@SA,2023-04-09,2023,8,XFL,HOU,SA,,,,62.0,5.0,
SYNTHETIC_XFL_2023_W8_BRAHMAS,,2023,8,XFL,,,0.0,0.0,,,,
FOOTBALL_XFL_2023_4_15_ORL@SA,2023-04-15,2023,9,XFL,ORL,SA,,,,17.0,3.0,
FOOTBALL_XFL_2023_4_22_DC@SA,2023-04-22,2023,10,XFL,DC,SA,,,,90.0,8.0,
SYNTHETIC_UFL_2024_W2_BRAHMAS,,2024,2,UFL,,,,,0.0,19.0,1.0,
SYNTHETIC_UFL_2024_W5_BRAHMAS,,2024,5,UFL,,,,,0.0,9.0,1.0,
SYNTHETIC_UFL_2024_W7_BRAHMAS,,2024,7,UFL,,,,,0.0,72.0,3.0,
SYNTHETIC_UFL_2024_W9_BRAHMAS,,2024,9,UFL,,,,,0.0,0.0,0.0,
SYNTHETIC_UFL_2024_W10_BRAHMAS,,2024,10,UFL,,,,,0.0,26.0,2.0,
