game_id,date,season,week,league,away,home,pass_att,pass_cmp,pass_lg,pass_yds,ret_blk,ret_lg,ret_num,ret_ret,ret_ryds,ret_td,ret_yds,score_pts
FOOTBALL_CFL_2016_10_10_CGY@TOR,2016-10-10,2016,1,CFL,CGY,TOR,,,,,,45.0,3.0,2.0,10.0,,127.0,
FOOTBALL_CFL_2016_10_15_MTL@CGY,2016-10-15,2016,1,CFL,MTL,CGY,,,,,,63.0,9.0,7.0,132.0,,442.0,2.0
FOOTBALL_CFL_2016_10_1_CGY@HAM,2016-10-01,2016,1,CFL,CGY,HAM,,,,,,65.0,7.0,7.0,141.0,,422.0,
FOOTBALL_CFL_2016_10_21_TOR@CGY,2016-10-21,2016,1,CFL,TOR,CGY,,,,,,57.0,5.0,4.0,60.0,,236.0,
FOOTBALL_CFL_2016_10_30_CGY@MTL,2016-10-30,2016,1,CFL,CGY,MTL,,,,,,55.0,5.0,4.0,65.0,,207.0,
FOOTBALL_CFL_2016_11_20_BC@CGY,2016-11-20,2016,1,CFL,BC,CGY,,,,,,56.0,4.0,3.0,18.0,,188.0,
FOOTBALL_CFL_2016_11_27_CGY@OTT,2016-11-27,2016,1,CFL,CGY,OTT,,,,,,14.0,1.0,3.0,33.0,,14.0,
FOOTBALL_CFL_2016_6_25_CGY@BC,2016-06-25,2016,1,CFL,CGY,BC,,,,,,56.0,5.0,4.0,108.0,1.0,230.0,
FOOTBALL_CFL_2016_7_1_WPG@CGY,2016-07-01,2016,1,CFL,WPG,CGY,,,,,,56.0,4.0,2.0,15.0,,189.0,
FOOTBALL_CFL_2016_7_21_CGY@WPG,2016-07-21,2016,1,CFL,CGY,WPG,,,,,,60.0,7.0,6.0,48.0,,352.0,1.0
FOOTBALL_CFL_2016_7_29_BC@CGY,2016-07-29,2016,1,CFL,BC,CGY,,,,,,67.0,5.0,2.0,96.0,1.0,250.0,1.0
FOOTBALL_CFL_2016_7_8_CGY@OTT,2016-07-08,2016,1,CFL,CGY,OTT,,,,,,65.0,7.0,5.0,44.0,,345.0,
FOOTBALL_CFL_2016_8_13_CGY@SSK,2016-08-13,2016,1,CFL,CGY,SSK,,,,,,46.0,5.0,3.0,17.0,,195.0,
FOOTBALL_CFL_2016_8_19_CGY@BC,2016-08-19,2016,1,CFL,CGY,BC,1.0,1.0,2.0,2.0,,52.0,6.0,5.0,75.0,,269.0,
FOOTBALL_CFL_2016_8_28_HAM@CGY,2016-08-28,2016,1,CFL,HAM,CGY,,,,,,57.0,5.0,4.0,32.0,,245.0,
FOOTBALL_CFL_2016_8_4_SSK@CGY,2016-08-04,2016,1,CFL,SSK,CGY,,,,,1.0,59.0,4.0,4.0,34.0,,189.0,
FOOTBALL_CFL_2016_9_10_CGY@EDM,2016-09-10,2016,1,CFL,CGY,EDM,,,,,,54.0,7.0,7.0,50.0,,331.0,
FOOTBALL_CFL_2016_9_17_OTT@CGY,2016-09-17,2016,1,CFL,OTT,CGY,,,,,,57.0,8.0,5.0,90.0,,381.0,1.0
FOOTBALL_CFL_2016_9_24_WPG@CGY,2016-09-24,2016,1,CFL,WPG,CGY,,,,,,63.0,2.0,2.0,52.0,,120.0,
FOOTBALL_CFL_2016_9_5_EDM@CGY,2016-09-05,2016,1,CFL,EDM,CGY,,,,,,63.0,5.0,5.0,47.0,,267.0,
