game_id,date,season,week,league,away,home,interceptions_lost,passing_tds,passing_yards,rushing_tds,rushing_yards
SYNTHETIC_CFL_2023_W3_EDM,,2023,3,CFL,,,1.0,2.0,163.0,0.0,4.0
SYNTHETIC_CFL_2023_W4_EDM,,2023,4,CFL,,,3.0,1.0,223.0,0.0,8.0
SYNTHETIC_CFL_2023_W6_EDM,,2023,6,CFL,,,0.0,1.0,201.0,,
SYNTHETIC_CFL_2024_W21_EDM,,2024,21,CFL,,,0.0,0.0,6.0,0.0,5.0
SYNTHETIC_CFL_2025_W3_TOR,,2025,3,CFL,,,,,,1.0,1.0
SYNTHETIC_CFL_2025_W15_TOR,,2025,15,CFL,,,0.0,0.0,35.0,,
SYNTHETIC_CFL_2025_W16_TOR,,2025,16,CFL,,,1.0,1.0,207.0,0.0,18.0
SYNTHETIC_CFL_2025_W18_TOR,,2025,18,CFL,,,4.0,2.0,323.0,0.0,1.0
SYNTHETIC_CFL_2025_W19_TOR,,2025,19,CFL,,,1.0,1.0,221.0,,
SYNTHETIC_CFL_2025_W20_TOR,,2025,20,CFL,,,1.0,0.0,119.0,0.0,9.0
