game_id,date,season,week,league,away,home,def_solo,def_tot,recv_fd,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,score_conv,score_p,score_pts,score_tot
FOOTBALL_CFL_2016_10_10_CGY@TOR,2016-10-10,2016,1,CFL,CGY,TOR,,,,12.0,1.0,1.0,,4.0,12.0,21.0,6.0,101.0,,,,
FOOTBALL_CFL_2016_10_15_SSK@TOR,2016-10-15,2016,1,CFL,SSK,TOR,,,,11.0,3.0,3.0,,6.0,18.0,14.0,2.0,26.0,,,,
FOOTBALL_CFL_2016_10_21_TOR@CGY,2016-10-21,2016,1,CFL,TOR,CGY,,,,28.0,3.0,6.0,,24.0,62.0,11.0,1.0,11.0,,,,
FOOTBALL_CFL_2016_11_5_TOR@EDM,2016-11-05,2016,1,CFL,TOR,EDM,,,,22.0,6.0,6.0,,20.0,69.0,,,,,,,
FOOTBALL_CFL_2016_8_11_DEN@CHI,2016-08-11,2016,1,CFL,DEN,CHI,,,1.0,13.0,2.0,2.0,,1.0,20.0,,,,,,,
FOOTBALL_CFL_2016_8_20_SF@DEN,2016-08-20,2016,1,CFL,SF,DEN,,,1.0,11.0,2.0,5.0,,2.0,19.0,,,,,,,
FOOTBALL_CFL_2016_8_27_LA@DEN,2016-08-27,2016,1,CFL,LA,DEN,,,1.0,5.0,1.0,1.0,,,5.0,,,,,,,
FOOTBALL_CFL_2017_10_14_TOR@EDM,2017-10-14,2017,1,CFL,TOR,EDM,,,,13.0,3.0,3.0,,7.0,29.0,,,,,,,
FOOTBALL_CFL_2017_10_21_WPG@TOR,2017-10-21,2017,1,CFL,WPG,TOR,,,,55.0,5.0,5.0,,53.0,128.0,,,,,,,
FOOTBALL_CFL_2017_10_7_SSK@TOR,2017-10-07,2017,1,CFL,SSK,TOR,,,,17.0,3.0,6.0,,11.0,41.0,,,,,,,
FOOTBALL_CFL_2017_11_19_SSK@TOR,2017-11-19,2017,1,CFL,SSK,TOR,,,,,3.0,5.0,1.0,,39.0,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2017_11_26_CGY@TOR,2017-11-26,2017,1,CFL,CGY,TOR,,,,,7.0,8.0,1.0,102.0,175.0,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2017_11_4_TOR@BC,2017-11-04,2017,1,CFL,TOR,BC,,,,,2.0,4.0,1.0,4.0,32.0,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2017_6_25_HAM@TOR,2017-06-25,2017,1,CFL,HAM,TOR,,,,,7.0,8.0,1.0,65.0,147.0,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2017_6_30_BC@TOR,2017-06-30,2017,1,CFL,BC,TOR,,,,41.0,5.0,12.0,,27.0,71.0,,,,,,,
FOOTBALL_CFL_2017_7_8_TOR@OTT,2017-07-08,2017,1,CFL,TOR,OTT,,,,14.0,7.0,11.0,1.0,20.0,62.0,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2017_8_26_TOR@CGY,2017-08-26,2017,1,CFL,TOR,CGY,,,,21.0,5.0,5.0,,23.0,59.0,,,,,,,
FOOTBALL_CFL_2017_9_16_EDM@TOR,2017-09-16,2017,1,CFL,EDM,TOR,,,,11.0,3.0,5.0,,6.0,24.0,,,,,,,
FOOTBALL_CFL_2017_9_23_MTL@TOR,2017-09-23,2017,1,CFL,MTL,TOR,,,,,,1.0,,,,,,,,,,
FOOTBALL_CFL_2017_9_30_TOR@HAM,2017-09-30,2017,1,CFL,TOR,HAM,,,,31.0,7.0,12.0,2.0,10.0,104.0,,,,,2.0,12.0,2.0
FOOTBALL_CFL_2017_9_4_TOR@HAM,2017-09-04,2017,1,CFL,TOR,HAM,,,,,5.0,7.0,2.0,12.0,47.0,,,,,2.0,12.0,2.0
FOOTBALL_CFL_2018_10_13_BC@CGY,2018-10-13,2018,1,CFL,BC,CGY,,,,19.0,4.0,8.0,,6.0,44.0,,,,,,,
FOOTBALL_CFL_2018_10_19_EDM@BC,2018-10-19,2018,1,CFL,EDM,BC,,,,,5.0,7.0,3.0,52.0,113.0,,,,,3.0,18.0,3.0
FOOTBALL_CFL_2018_10_27_BC@SSK,2018-10-27,2018,1,CFL,BC,SSK,,,,17.0,3.0,5.0,,10.0,31.0,,,,,,,
FOOTBALL_CFL_2018_10_6_TOR@BC,2018-10-06,2018,1,CFL,TOR,BC,,,,33.0,2.0,6.0,,4.0,34.0,,,,,,,
FOOTBALL_CFL_2018_11_11_BC@HAM,2018-11-11,2018,1,CFL,BC,HAM,,,,26.0,2.0,3.0,,3.0,46.0,,,,,,,
FOOTBALL_CFL_2018_11_3_CGY@BC,2018-11-03,2018,1,CFL,CGY,BC,,,,40.0,4.0,9.0,,8.0,62.0,,,,,,,
FOOTBALL_CFL_2018_8_20_BAL@IND,2018-08-20,2018,1,CFL,BAL,IND,,,,4.0,1.0,1.0,,4.0,4.0,,,,,,,
