game_id,date,season,week,league,away,home,extra_point,field_goal_yards,made_19,made_29,made_39,made_49,made_50,missed
SYNTHETIC_USFL_2022_W1_BHAM,,2022,1,USFL,,,4.0,,,,,,,
SYNTHETIC_USFL_2022_W2_BHAM,,2022,2,USFL,,,3.0,,0.0,0.0,2.0,0.0,0.0,0.0
SYNTHETIC_USFL_2022_W3_BHAM,,2022,3,USFL,,,2.0,,0.0,0.0,2.0,0.0,0.0,0.0
SYNTHETIC_USFL_2022_W4_BHAM,,2022,4,USFL,,,1.0,,0.0,1.0,1.0,1.0,0.0,1.0
SYNTHETIC_USFL_2022_W5_BHAM,,2022,5,USFL,,,3.0,,0.0,0.0,0.0,1.0,0.0,1.0
SYNTHETIC_USFL_2022_W6_BHAM,,2022,6,USFL,,,3.0,,0.0,1.0,1.0,0.0,0.0,0.0
SYNTHETIC_USFL_2022_W7_BHAM,,2022,7,USFL,,,2.0,,0.0,1.0,1.0,2.0,0.0,0.0
SYNTHETIC_USFL_2022_W8_BHAM,,2022,8,USFL,,,1.0,,0.0,1.0,0.0,0.0,0.0,2.0
SYNTHETIC_USFL_2022_W9_BHAM,,2022,9,USFL,,,,,0.0,3.0,0.0,0.0,0.0,0.0
SYNTHETIC_USFL_2022_W10_BHAM,,2022,10,USFL,,,3.0,,,,,,,
SYNTHETIC_USFL_2022_W11_BHAM,,2022,11,USFL,,,4.0,,0.0,0.0,1.0,0.0,0.0,1.0
SYNTHETIC_USFL_2023_W1_STALLIONS,2023-04-15,2023,1,USFL,STALLIONS,GENERALS,3.0,72.0,,,,,,
SYNTHETIC_USFL_2023_W2_STALLIONS,2023-04-22,2023,2,USFL,STALLIONS,SHOWBOATS,6.0,,,,,,,
SYNTHETIC_USFL_2023_W3_STALLIONS,2023-04-29,2023,3,USFL,STALLIONS,BREAKERS,4.0,25.0,,,,,,
SYNTHETIC_USFL_2023_W4_STALLIONS,2023-05-07,2023,4,USFL,MAULERS,STALLIONS,3.0,37.0,,,,,,
SYNTHETIC_USFL_2023_W5_STALLIONS,2023-05-13,2023,5,USFL,STALLIONS,GAMBLERS,2.0,96.0,,,,,,1.0
SYNTHETIC_USFL_2023_W6_STALLIONS,2023-05-20,2023,6,USFL,PANTHERS,STALLIONS,3.0,65.0,,,,,,
SYNTHETIC_USFL_2023_W7_STALLIONS,2023-05-27,2023,7,USFL,BREAKERS,STALLIONS,3.0,22.0,,,,,,
SYNTHETIC_USFL_2023_W8_STALLIONS,2023-06-03,2023,8,USFL,STALLIONS,STARS,3.0,71.0,,,,,,
SYNTHETIC_USFL_2023_W9_STALLIONS,2023-06-11,2023,9,USFL,GAMBLERS,STALLIONS,5.0,24.0,,,,,,
SYNTHETIC_USFL_2023_W10_STALLIONS,2023-06-17,2023,10,USFL,SHOWBOATS,STALLIONS,3.0,71.0,,,,,,
SYNTHETIC_USFL_2023_W11_STALLIONS,,2023,11,USFL,,,5.0,82.0,,,,,,
SYNTHETIC_USFL_2023_W12_STALLIONS,,2023,12,USFL,,,4.0,,,,,,,
