game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,defensive_tfl,forced_fumbles,fumble_recoveries,kick_returns,kr_avg,kr_long,kr_tds,kr_yards,rec_avg,rec_long,receiving_2pt,receiving_fum,receiving_tds,receiving_yards,receptions,returning_intr_td,rush_avg,rush_long,rushing_2pt,rushing_attempts,rushing_fum,rushing_tds,rushing_yards,sacks,safeties,solo_tackles,tackles,tackles_for_loss,tfl_yards
FOOTBALL_NAL_2025_3_15_T425362G979253@T425356,2025-03-15,2025,2,NAL,Wheeling Miners,Carolina Cobras,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,6.0,18.0,27.0,0.0,109.0,12.0,15.0,,0.0,1.0,36.0,3.0,,,,,,,,,0.0,0.0,,1.0,,
FOOTBALL_NAL_2025_4_5_T425362G979262@T425356,2025-04-05,2025,5,NAL,Wheeling Miners,Carolina Cobras,,,,,,,,,4.0,27.0,0.0,1.0,109.0,6.0,0.0,,0.0,0.0,6.0,1.0,,,,,,,,,,,,,,
FOOTBALL_NAL_2025_4_19_T425356G979270@T425362,2025-04-19,2025,7,NAL,Carolina Cobras,Wheeling Miners,,,,,,,,,2.0,21.0,0.0,0.0,42.0,19.0,0.0,,0.0,1.0,58.0,3.0,,,,,,,,,,,,,,
FOOTBALL_NAL_2025_5_3_T425362G979277@T425357,2025-05-04,2025,9,NAL,Wheeling Miners,Colorado Spartans,,,,,,,,,1.0,21.0,21.0,0.0,21.0,20.0,20.0,,0.0,0.0,20.0,1.0,,,,,,,,,,,,,,
FOOTBALL_NAL_2025_5_10_T463723G979279@T425362,2025-05-10,2025,10,NAL,Beaumont Renegades,Wheeling Miners,,,,,,,,,5.0,19.0,33.0,0.0,99.0,21.0,21.0,,0.0,1.0,21.0,1.0,,,,,,,,,,,,,,
FOOTBALL_NAL_2025_5_17_T425361G979283@T425362,2025-05-17,2025,11,NAL,Sioux City Bandits,Wheeling Miners,,,,,,,,,2.0,9.0,11.0,0.0,19.0,15.0,17.0,,0.0,0.0,30.0,2.0,,15.0,39.0,,3.0,0.0,1.0,46.0,,,,,,
FOOTBALL_AF1_2026_4_12_T606163G1168202@T584747,2026-04-12,2026,1,AF1,Michigan Arsenal,Kentucky Barrels,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,18.0,,0.0,36.0,14.0,27.0,0.0,0.0,0.0,54.0,4.0,0.0,,,,,,,,0.0,,,1.0,,
FOOTBALL_AF1_2026_4_17_T606163G1168206@T584637,2026-04-18,2026,2,AF1,Michigan Arsenal,Nashville Kats,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,-3.0,0.0,0.0,0.0,0.0,-3.0,1.0,,,,,,,,,0.0,,,2.0,,
FOOTBALL_IFL_2026_3_22_TORLANDOPIRATESG20260322MNDZ@TNEWMEXICOCHUPACABRAS,2026-03-22,2026,2,IFL,Orlando Pirates,New Mexico Chupacabras,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,
FOOTBALL_AF1_2026_4_25_T602555G1168209@T606163,2026-04-25,2026,3,AF1,Minnesota Monsters,Michigan Arsenal,,,,,,,,,,,,,,25.0,32.0,0.0,0.0,2.0,99.0,4.0,,2.0,0.0,0.0,1.0,0.0,0.0,2.0,,,,,,
FOOTBALL_AF1_2026_5_2_T584638G1168213@T606163,2026-05-02,2026,4,AF1,Oregon Lightning,Michigan Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,39.0,39.0,0.0,0.0,1.0,39.0,1.0,,,,,,,,,0.0,,,1.0,,
FOOTBALL_AF1_2026_5_9_T602555G1168217@T606163,2026-05-09,2026,5,AF1,Minnesota Monsters,Michigan Arsenal,,,,,,,,,,,,,,7.0,13.0,0.0,0.0,1.0,51.0,7.0,,,,,,,,,,,,,,
FOOTBALL_AF1_2026_5_16_T584635G1168219@T606163,2026-05-16,2026,6,AF1,Albany Firebirds,Michigan Arsenal,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,18.0,18.0,0.0,0.0,0.0,18.0,1.0,,,,,,,,,0.0,,,4.0,,
FOOTBALL_IFL_2026_5_2_TNEWMEXICOCHUPACABRASG20260502IFQJ@TJACKSONVILLESHARKS,2026-05-02,2026,8,IFL,New Mexico Chupacabras,Jacksonville Sharks,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,6.0,2.0,0.0
FOOTBALL_IFL_2026_5_18_TARIZONARATTLERSG20260518E0UH@TNEWMEXICOCHUPACABRAS,2026-05-18,2026,10,IFL,Arizona Rattlers,New Mexico Chupacabras,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,6.0,1.0,0.0
