game_id,date,season,week,league,away,home,def_solo,def_tot,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rush_att,rush_lg,rush_yds,score_conv,score_p,score_pts,score_tot
FOOTBALL_CFL_2018_10_13_SSK@WPG,2018-10-13,2018,1,CFL,SSK,WPG,,,25.0,3.0,3.0,,14.0,42.0,,,,,,,,,,
FOOTBALL_CFL_2018_10_20_SSK@CGY,2018-10-20,2018,1,CFL,SSK,CGY,,,26.0,3.0,4.0,,14.0,57.0,9.0,1.0,9.0,,,,,,,
FOOTBALL_CFL_2018_10_27_BC@SSK,2018-10-27,2018,1,CFL,BC,SSK,,,21.0,1.0,2.0,,17.0,21.0,3.0,2.0,3.0,,,,,,,
FOOTBALL_CFL_2018_10_8_EDM@SSK,2018-10-08,2018,1,CFL,EDM,SSK,,,18.0,6.0,8.0,,15.0,59.0,16.0,2.0,21.0,,,,,,,
FOOTBALL_CFL_2018_6_21_SSK@OTT,2018-06-21,2018,1,CFL,SSK,OTT,,,24.0,4.0,6.0,,17.0,56.0,,,,,,,,,,
FOOTBALL_CFL_2018_6_30_MTL@SSK,2018-06-30,2018,1,CFL,MTL,SSK,,,35.0,3.0,6.0,,18.0,77.0,,,,,,,,,,
FOOTBALL_CFL_2018_7_19_SSK@HAM,2018-07-19,2018,1,CFL,SSK,HAM,,,18.0,4.0,7.0,,20.0,41.0,,,,,,,,,,
FOOTBALL_CFL_2018_7_28_CGY@SSK,2018-07-28,2018,1,CFL,CGY,SSK,,,11.0,1.0,3.0,,1.0,11.0,,,,,,,,,,
FOOTBALL_CFL_2018_7_5_HAM@SSK,2018-07-05,2018,1,CFL,HAM,SSK,,,8.0,2.0,2.0,,10.0,11.0,,,,,,,,,,
FOOTBALL_CFL_2018_8_19_CGY@SSK,2018-08-19,2018,1,CFL,CGY,SSK,,,38.0,5.0,9.0,,16.0,69.0,,,,1.0,11.0,11.0,,,,
FOOTBALL_CFL_2018_8_25_SSK@BC,2018-08-25,2018,1,CFL,SSK,BC,,,52.0,1.0,5.0,,2.0,52.0,,,,,,,,,,
FOOTBALL_CFL_2018_8_2_SSK@EDM,2018-08-02,2018,1,CFL,SSK,EDM,,,7.0,3.0,7.0,,9.0,13.0,,,,,,,,,,
