game_id,date,season,week,league,away,home,assists,blocks,callahans,catches,completions,drops,goals,hockeyAssists,hucksCompleted,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-05-20-LA-COL,2023-05-20,2023,4,AUDL,LA AVIATORS,COLORADO SUMMIT,1.0,,,1.0,1.0,,,,,1.0,,15.0,2.0
2023-06-17-COL-OAK,2023-06-17,2023,8,AUDL,COLORADO SUMMIT,OAKLAND SPIDERS,,1.0,,9.0,7.0,,1.0,1.0,,7.0,,48.0,63.0
2023-06-24-MIN-COL,2023-06-24,2023,9,AUDL,MINNESOTA WIND CHILL,COLORADO SUMMIT,,2.0,,11.0,13.0,,1.0,1.0,,13.0,,63.0,43.0
2023-06-30-COL-POR,2023-06-30,2023,10,AUDL,COLORADO SUMMIT,PORTLAND NITRO,1.0,2.0,1.0,9.0,15.0,,0.0,,1.0,16.0,1.0,44.0,81.0
2023-07-14-NY-COL,2023-07-14,2023,12,AUDL,NEW YORK EMPIRE,COLORADO SUMMIT,,1.0,,2.0,2.0,,,,,2.0,,18.0,-4.0
2024-05-04-SEA-COL,2024-05-04,2024,2,UFA,cascades,summit,0.0,1.0,,,,1.0,0.0,,,,0.0,29.0,84.0
2024-05-18-SLC-COL,2024-05-18,2024,4,UFA,shred,summit,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,-5.0
2024-05-31-ATL-COL,2024-05-31,2024,6,UFA,hustle,summit,0.0,0.0,,,,0.0,2.0,,,,1.0,156.0,38.0
2024-06-07-COL-OAK,2024-06-07,2024,7,UFA,summit,spiders,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,0.0
2024-06-08-COL-SLC,2024-06-08,2024,7,UFA,summit,shred,0.0,0.0,,,,0.0,1.0,,,,1.0,30.0,0.0
2024-06-14-COL-MAD,2024-06-14,2024,8,UFA,summit,radicals,0.0,1.0,,,,0.0,0.0,,,,0.0,55.0,-31.0
2024-06-15-COL-MIN,2024-06-15,2024,8,UFA,summit,windchill,0.0,0.0,,,,0.0,0.0,,,,0.0,-35.0,70.0
2024-06-21-SD-COL,2024-06-21,2024,9,UFA,growlers,summit,0.0,0.0,,,,0.0,0.0,,,,0.0,36.0,-1.0
2024-06-29-COL-SEA,2024-06-29,2024,10,UFA,summit,cascades,1.0,0.0,,,,0.0,1.0,,,,0.0,11.0,20.0
2024-06-30-COL-POR,2024-06-30,2024,10,UFA,summit,nitro,0.0,0.0,,,,0.0,1.0,,,,0.0,20.0,28.0
2024-07-06-IND-COL,2024-07-06,2024,11,UFA,alleycats,summit,0.0,0.0,,,,0.0,0.0,,,,1.0,67.0,-3.0
2024-07-12-LA-COL,2024-07-12,2024,12,UFA,aviators,summit,1.0,1.0,,,,0.0,2.0,,,,0.0,92.0,31.0
