game_id,date,season,week,league,away,home,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,fielding_runouts,match_played
cricket-t20i-2024-12-24-1464730,2024-12-24,2024,1,T20I,Singapore,Philippines,52.0,5.0,0.0,2.0,64.0,0.0,24.0,0.0,0.0,23.0,0.0,3.0,1.0,,1.0
cricket-t20i-2024-12-26-1464731,2024-12-26,2024,1,T20I,Philippines,Singapore,49.0,0.0,0.0,1.0,37.0,0.0,24.0,0.0,1.0,25.0,0.0,1.0,1.0,1.0,1.0
cricket-t20i-2024-12-27-1464732,2024-12-27,2024,1,T20I,Singapore,Philippines,4.0,1.0,0.0,1.0,5.0,0.0,24.0,0.0,0.0,16.0,0.0,0.0,1.0,,1.0
cricket-t20i-2025-04-10-1477680,2025-04-10,2025,1,T20I,Indonesia,Philippines,22.0,0.0,0.0,1.0,13.0,0.0,24.0,0.0,0.0,30.0,0.0,1.0,,,1.0
cricket-t20i-2025-04-11-1477681,2025-04-11,2025,1,T20I,Cook Islands,Philippines,39.0,1.0,0.0,1.0,28.0,0.0,12.0,0.0,0.0,21.0,1.0,1.0,1.0,,1.0
cricket-t20i-2025-06-04-1485407,2025-06-04,2025,1,T20I,Philippines,China,4.0,0.0,0.0,3.0,1.0,0.0,18.0,0.0,1.0,10.0,1.0,0.0,,,1.0
cricket-t20i-2025-06-06-1485411,2025-06-06,2025,1,T20I,Philippines,Mongolia,56.0,3.0,0.0,2.0,49.0,0.0,24.0,0.0,0.0,14.0,1.0,1.0,,,1.0
cricket-t20i-2025-06-07-1485412,2025-06-07,2025,1,T20I,Japan,Philippines,28.0,0.0,0.0,1.0,8.0,0.0,24.0,0.0,1.0,14.0,2.0,0.0,,,1.0
cricket-t20i-2025-06-08-1485414,2025-06-08,2025,1,T20I,Philippines,China,10.0,0.0,0.0,2.0,2.0,0.0,12.0,0.0,0.0,13.0,0.0,1.0,,,1.0
cricket-t20i-2025-06-08-1489041,2025-06-08,2025,1,T20I,Mongolia,Philippines,34.0,1.0,1.0,2.0,23.0,0.0,24.0,0.0,0.0,16.0,2.0,1.0,,,1.0
cricket-t20i-2025-09-09-1499787,2025-09-09,2025,1,T20I,Philippines,Samoa,17.0,0.0,0.0,1.0,2.0,0.0,,,,,,,,,1.0
cricket-t20i-2025-09-10-1499790,2025-09-10,2025,1,T20I,Papua New Guinea,Philippines,17.0,0.0,0.0,2.0,6.0,0.0,,,,,,,,,1.0
cricket-t20i-2025-09-13-1499797,2025-09-13,2025,1,T20I,Philippines,Fiji,14.0,1.0,0.0,3.0,11.0,0.0,18.0,0.0,0.0,21.0,2.0,1.0,,,1.0
cricket-t20i-2025-09-15-1499801,2025-09-15,2025,1,T20I,Cook Islands,Philippines,2.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,21.0,0.0,1.0,,,1.0
cricket-t20i-2025-12-16-1513757,2025-12-16,2025,1,T20I,Indonesia,Philippines,23.0,0.0,0.0,1.0,5.0,0.0,24.0,0.0,1.0,30.0,0.0,1.0,,,1.0
cricket-t20i-2025-12-17-1513759,2025-12-17,2025,1,T20I,Philippines,Malaysia,19.0,1.0,0.0,2.0,15.0,0.0,,,,,,,,,1.0
