game_id,date,season,week,league,away,home,interceptions_lost,interceptions_made,lost_fumbles,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
SYNTHETIC_CFL_W1_SSK,,,1,CFL,,,0.0,,,1.0,311.0,,,,1.0,42.0,,
SYNTHETIC_CFL_W3_SSK,,,3,CFL,,,2.0,,,0.0,191.0,,,,0.0,13.0,,
SYNTHETIC_CFL_W4_SSK,,,4,CFL,,,0.0,,,2.0,224.0,,,,1.0,1.0,,
SYNTHETIC_CFL_W5_SSK,,,5,CFL,,,0.0,,,2.0,231.0,,,,0.0,12.0,,
SYNTHETIC_CFL_W6_SSK,2022-07-16,,6,CFL,SSK,TOR,3.0,,,2.0,284.0,,,,0.0,20.0,,
SYNTHETIC_CFL_W8_SSK,2022-07-29,,8,CFL,BC,SSK,1.0,,,1.0,168.0,,,,1.0,3.0,,
SYNTHETIC_CFL_W10_SSK,2022-08-13,,10,CFL,SSK,EDM,1.0,,,1.0,130.0,,,,2.0,51.0,,
SYNTHETIC_CFL_W11_SSK,2022-08-19,,11,CFL,BC,SSK,2.0,,,0.0,41.0,,,,0.0,5.0,,
SYNTHETIC_CFL_W13_SSK,2022-09-04,,13,CFL,WPG,SSK,1.0,,,0.0,292.0,,,,1.0,9.0,,
SYNTHETIC_CFL_W14_SSK,2022-09-10,,14,CFL,SSK,WPG,0.0,,,0.0,124.0,,,,1.0,33.0,,
SYNTHETIC_CFL_W15_SSK,2022-09-16,,15,CFL,EDM,SSK,0.0,,,2.0,230.0,0.0,-4.0,1.0,0.0,47.0,,
SYNTHETIC_CFL_W17_SSK,2022-09-30,,17,CFL,SSK,WPG,1.0,,,0.0,307.0,,,,1.0,36.0,,
SYNTHETIC_CFL_W18_SSK,2022-10-07,,18,CFL,SSK,HAM,2.0,,,2.0,259.0,,,,0.0,22.0,,
SYNTHETIC_CFL_W20_SSK,2022-10-22,,20,CFL,CGY,SSK,,,,,,,,,0.0,15.0,,
SYNTHETIC_CFL_2023_W1_MTL,2023-06-10,2023,1,CFL,OTT,MTL,0.0,,1.0,0.0,261.0,,,,1.0,15.0,,
SYNTHETIC_CFL_2023_W3_MTL,2023-06-23,2023,3,CFL,MTL,HAM,0.0,,,2.0,292.0,,,,1.0,11.0,,
