game_id,date,season,week,league,away,home,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
SALINA-CORPUS,,,1,,,,,,,0.0,2.0
LIGHTNING-WOLFPACK-MAR22,,,2,,,,1.0,31.0,4.0,0.0,8.0
SWKANSAS-NASHVILLE,2025-03-08,2025,0,AF1,NASHVILLE,SW KANSAS,1.0,137.0,9.0,,
WASHINGTON-BILLINGS-0403,2025-04-03,2025,4,AF1,BILLINGS,WASHINGTON,2.0,60.0,4.0,0.0,8.0
CORPUSCHRISTI-WASHINGTON-0413,2025-04-13,2025,5,AF1,CORPUS CHRISTI,WASHINGTON,2.0,116.0,14.0,,
WASHINGTON-NASHVILLE-0417,2025-04-17,2025,6,AF1,NASHVILLE,WASHINGTON,,14.0,1.0,,-1.0
OREGON-WASHINGTON-0425,2025-04-25,2025,7,AF1,WASHINGTON,OREGON,1.0,34.0,5.0,,
WASHINGTON-OREGON-0504,2025-05-04,2025,8,AF1,OREGON,WASHINGTON,1.0,3.0,1.0,,
BILLINGS-WASHINGTON-0510,2025-05-10,2025,9,AF1,WASHINGTON,BILLINGS,0.0,34.0,5.0,,
WASHINGTON-OREGON-0518,2025-05-18,2025,10,AF1,OREGON,WASHINGTON,0.0,52.0,5.0,,
WASHINGTON-SWKANSAS-05-25,2025-05-25,2025,11,AF1,SW KANSAS,WASHINGTON,0.0,48.0,6.0,,
SYNTHETIC_50YARD_2026_W2_WASHINGTONWOLFPACK,2026-05-09,2026,2,50YARD,Washington Wolfpack,Beaumont Renegades,,,,,17.0
