game_id,date,season,week,league,away,home,interceptions_made,lost_fumbles,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
9889289,2023-06-17,2023,2,CFL,EDM,BC,,,,,,0.0,0.0,,
9889294,2023-06-25,2023,3,CFL,TOR,EDM,,,,,,0.0,5.0,,
9889295,2023-06-30,2023,4,CFL,EDM,OTT,,,0.0,6.0,1.0,0.0,13.0,,
9889298,2023-07-06,2023,5,CFL,EDM,SSK,,,0.0,31.0,1.0,0.0,20.0,,
9889302,2023-07-13,2023,6,CFL,HAM,EDM,,,0.0,23.0,1.0,0.0,16.0,,
9889306,2023-07-20,2023,7,CFL,EDM,WPG,,,0.0,0.0,0.0,,,,
9889312,2023-07-29,2023,8,CFL,BC,EDM,,,0.0,5.0,1.0,0.0,18.0,,
9889318,2023-08-10,2023,10,CFL,WPG,EDM,,,,,,0.0,23.0,,
9889322,2023-08-17,2023,11,CFL,EDM,HAM,0.0,,,,,0.0,4.0,0.0,0.0
9889329,2023-08-27,2023,12,CFL,OTT,EDM,,,0.0,15.0,1.0,0.0,16.0,,
9889333,2023-09-04,2023,13,CFL,EDM,CGY,,,0.0,7.0,1.0,0.0,7.0,,
9889339,2023-09-15,2023,15,CFL,EDM,SSK,,,,,,0.0,16.0,,
9889343,2023-09-22,2023,16,CFL,BC,EDM,,,,,,0.0,22.0,,
9889350,2023-10-06,2023,18,CFL,EDM,TOR,0.0,,,,,,,0.0,1.0
9889356,2023-10-14,2023,19,CFL,MTL,EDM,,,0.0,9.0,1.0,0.0,9.0,,
9889360,2023-10-21,2023,20,CFL,EDM,WPG,,,0.0,5.0,1.0,0.0,6.0,,
SYNTHETIC_50YARD_2026_W1_MINNESOTAMONSTERS,2026-05-03,2026,1,50YARD,Minnesota Monsters,Oceanside Bombers,,1.0,,27.0,1.0,,70.0,,
