game_id,date,season,week,league,away,home,def_int,def_lg,def_solo,def_td,def_tot,def_yds,misc_td,pass_att,pass_cmp,pass_lg,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rush_att,rush_lg,rush_yds,score_fr,score_ir,score_p,score_pts,score_tot
FOOTBALL_CFL_2016_10_10_EDM@MTL,2016-10-10,2016,1,CFL,EDM,MTL,,,,,,,,,,,,36.0,3.0,3.0,,5.0,61.0,,,,,,,,,,,
FOOTBALL_CFL_2016_10_15_MTL@CGY,2016-10-15,2016,1,CFL,MTL,CGY,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2016_10_2_TOR@MTL,2016-10-02,2016,1,CFL,TOR,MTL,,,,,,,,,,,,31.0,3.0,3.0,,4.0,45.0,,,,,,,,,,,
FOOTBALL_CFL_2016_6_24_MTL@WPG,2016-06-24,2016,1,CFL,MTL,WPG,,,,,,,,,,,,30.0,8.0,11.0,,38.0,96.0,,,,3.0,21.0,47.0,,,,,
FOOTBALL_CFL_2016_6_30_OTT@MTL,2016-06-30,2016,1,CFL,OTT,MTL,,,,,,,,,,,,19.0,4.0,8.0,1.0,2.0,63.0,,,,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2016_7_15_HAM@MTL,2016-07-15,2016,1,CFL,HAM,MTL,,,1.0,,1.0,,,,,,,39.0,3.0,4.0,,13.0,50.0,,,,,,,,,,,
FOOTBALL_CFL_2016_7_25_MTL@TOR,2016-07-25,2016,1,CFL,MTL,TOR,,,,,,,,,,,,,6.0,8.0,1.0,48.0,124.0,,,,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2016_7_29_SSK@MTL,2016-07-29,2016,1,CFL,SSK,MTL,,,,,,,,,,,,39.0,8.0,10.0,1.0,44.0,115.0,,,,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2016_8_11_MTL@EDM,2016-08-11,2016,1,CFL,MTL,EDM,,,,,,,,,,,,11.0,3.0,10.0,,7.0,28.0,,,,,,,,,,,
FOOTBALL_CFL_2016_8_19_MTL@OTT,2016-08-19,2016,1,CFL,MTL,OTT,,,,,,,,,,,,,5.0,6.0,2.0,49.0,126.0,,,,1.0,-5.0,-5.0,,,2.0,12.0,2.0
FOOTBALL_CFL_2016_8_26_WPG@MTL,2016-08-26,2016,1,CFL,WPG,MTL,,,1.0,,1.0,,,,,,,11.0,3.0,5.0,,13.0,27.0,,,,2.0,8.0,1.0,,,,,
FOOTBALL_CFL_2016_9_16_MTL@HAM,2016-09-16,2016,1,CFL,MTL,HAM,,,,,,,1.0,,,,,18.0,4.0,6.0,,3.0,39.0,,,,,,,1.0,,,6.0,1.0
FOOTBALL_CFL_2016_9_9_MTL@BC,2016-09-09,2016,1,CFL,MTL,BC,,,,,,,,1.0,1.0,37.0,37.0,40.0,5.0,6.0,,5.0,76.0,,,,,,,,,,,
FOOTBALL_CFL_2017_10_13_OTT@SSK,2017-10-13,2017,1,CFL,OTT,SSK,,,,,,,,,,,,50.0,11.0,14.0,,47.0,231.0,,,,,,,,,,,
FOOTBALL_CFL_2017_10_20_SSK@CGY,2017-10-20,2017,1,CFL,SSK,CGY,1.0,37.0,2.0,1.0,2.0,37.0,,,,,,,,,,,,,,,,,,,1.0,,6.0,1.0
FOOTBALL_CFL_2017_10_27_MTL@SSK,2017-10-27,2017,1,CFL,MTL,SSK,,,1.0,,1.0,,,,,,,6.0,1.0,3.0,,2.0,6.0,,,,,,,,,,,
FOOTBALL_CFL_2017_10_7_SSK@TOR,2017-10-07,2017,1,CFL,SSK,TOR,,,,,,,,,,,,19.0,5.0,10.0,,11.0,71.0,,,,,,,,,,,
FOOTBALL_CFL_2017_11_12_SSK@OTT,2017-11-12,2017,1,CFL,SSK,OTT,,,,,,,,,,,,14.0,5.0,5.0,,11.0,51.0,,,,,,,,,,,
FOOTBALL_CFL_2017_11_19_SSK@TOR,2017-11-19,2017,1,CFL,SSK,TOR,,,1.0,,1.0,,,,,,,35.0,6.0,9.0,1.0,30.0,99.0,,,,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2017_11_4_EDM@SSK,2017-11-04,2017,1,CFL,EDM,SSK,,,4.0,,4.0,,,,,,,,,1.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2017_6_22_SSK@MTL,2017-06-22,2017,1,CFL,SSK,MTL,,,,,,,,,,,,9.0,2.0,9.0,,-1.0,12.0,17.0,1.0,17.0,,,,,,,,
