game_id,date,season,week,league,away,home,receiving_tds,receiving_yards,receptions,rushing_tds
FOOTBALL_XFL_2023_2_19_STL@SA,2023-02-19,2023,1,XFL,STL,SA,,9.0,3.0,
FOOTBALL_XFL_2023_2_26_SA@ORL,2023-02-26,2023,2,XFL,GUARDIANS,BRAHMAS,1.0,48.0,4.0,
FOOTBALL_XFL_2023_3_5_SA@HOU,2023-03-05,2023,3,XFL,ROUGHNECKS,BRAHMAS,,27.0,3.0,
FOOTBALL_XFL_2023_3_11_SA@SEA,2023-03-11,2023,4,XFL,SEA DRAGONS,BRAHMAS,,29.0,3.0,
FOOTBALL_XFL_2023_3_19_ARL@SA,2023-03-19,2023,5,XFL,ARL,SA,,5.0,1.0,
FOOTBALL_XFL_2023_4_1_SA@VGS,2023-04-01,2023,7,XFL,SA,VGS,,28.0,3.0,
FOOTBALL_XFL_2023_4_9_HOU@SA,2023-04-09,2023,8,XFL,HOU,SA,,36.0,5.0,
FOOTBALL_XFL_2023_4_15_ORL@SA,2023-04-15,2023,9,XFL,ORL,SA,,19.0,3.0,
FOOTBALL_XFL_2023_4_22_DC@SA,2023-04-22,2023,10,XFL,DC,SA,,29.0,3.0,
SYNTHETIC_UFL_2024_W1_BRAHMAS,2024-03-31,2024,1,UFL,BRAHMAS,DEFENDERS,0.0,0.0,1.0,
SYNTHETIC_UFL_2024_W2_BRAHMAS,2024-04-06,2024,2,UFL,SHOWBOATS,BRAHMAS,0.0,0.0,0.0,
SYNTHETIC_UFL_2024_W3_BRAHMAS,2024-04-14,2024,3,UFL,BRAHMAS,BATTLEHAWKS,1.0,2.0,1.0,
SYNTHETIC_UFL_2024_W4_BRAHMAS,2024-04-20,2024,4,UFL,BRAHMAS,PANTHERS,0.0,0.0,0.0,
SYNTHETIC_UFL_2024_W5_BRAHMAS,2024-04-27,2024,5,UFL,RENEGADES,BRAHMAS,1.0,36.0,3.0,
SYNTHETIC_UFL_2024_W6_BRAHMAS,2024-05-05,2024,6,UFL,DEFENDERS,BRAHMAS,0.0,0.0,0.0,
SYNTHETIC_UFL_2024_W7_BRAHMAS,2024-05-12,2024,7,UFL,ROUGHNECKS,BRAHMAS,0.0,0.0,1.0,
SYNTHETIC_UFL_2024_W9_BRAHMAS,2024-05-25,2024,9,UFL,BRAHMAS,STALLIONS,0.0,12.0,1.0,
SYNTHETIC_UFL_2024_W10_BRAHMAS,2024-06-01,2024,10,UFL,BATTLEHAWKS,BRAHMAS,0.0,8.0,1.0,
SYNTHETIC_UFL_2024_W11_BRAHMAS,2024-06-09,2024,11,UFL,BATTLEHAWKS,BRAHMAS,0.0,0.0,0.0,
SYNTHETIC_UFL_2024_W12_BRAHMAS,2024-06-16,2024,12,UFL,BRAHMAS,STALLIONS,0.0,0.0,2.0,
SYNTHETIC_UFL_2025_W1_BRAHMAS,2025-03-29,2025,1,UFL,RENEGADES,BRAHMAS,0.0,0.0,0.0,
SYNTHETIC_UFL_2025_W5_BRAHMAS,2025-04-27,2025,5,UFL,BRAHMAS,ROUGHNECKS,0.0,0.0,0.0,
SYNTHETIC_UFL_2025_W7_BRAHMAS,2025-05-09,2025,7,UFL,BRAHMAS,DEFENDERS,1.0,16.0,2.0,
SYNTHETIC_UFL_2025_W8_BRAHMAS,2025-05-16,2025,8,UFL,BRAHMAS,SHOWBOATS,0.0,12.0,2.0,
SYNTHETIC_UFL_2025_W9_BRAHMAS,2025-05-23,2025,9,UFL,BRAHMAS,BATTLEHAWKS,0.0,0.0,0.0,
SYNTHETIC_UFL_2026_W1_COLUMBUSAVIATORS,2026-03-29,2026,1,UFL,COLUMBUS AVIATORS,ORLANDO STORM,0.0,6.0,1.0,
SYNTHETIC_UFL_2026_W2_COLUMBUSAVIATORS,2026-04-03,2026,2,UFL,DC DEFENDERS,COLUMBUS AVIATORS,1.0,3.0,1.0,
SYNTHETIC_UFL_2026_W3_COLUMBUSAVIATORS,2026-04-12,2026,3,UFL,COLUMBUS AVIATORS,DALLAS RENEGADES,0.0,33.0,3.0,
SYNTHETIC_UFL_2026_W4_COLUMBUSAVIATORS,2026-04-17,2026,4,UFL,DALLAS RENEGADES,COLUMBUS AVIATORS,0.0,56.0,3.0,1.0
SYNTHETIC_UFL_2026_W5_COLUMBUSAVIATORS,2026-04-26,2026,5,UFL,COLUMBUS AVIATORS,HOUSTON GAMBLERS,0.0,42.0,3.0,
SYNTHETIC_UFL_2026_W6_COLUMBUSAVIATORS,2026-05-01,2026,6,UFL,HOUSTON GAMBLERS,COLUMBUS AVIATORS,0.0,6.0,1.0,
