game_id,date,season,week,league,away,home,fg_made,kick_returns,kr_avg,kr_long,kr_tds,kr_yards,rec_avg,rec_long,receiving_fum,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_fum,rushing_tds,rushing_yards
FOOTBALL_UFL_2024_6_9_SA@STL,2024-06-09,2024,1,UFL,SA,STL,2.0,,,,,,,,,,,,,,,,,
FOOTBALL_UFL_2024_4_14_STL@SA,2024-04-14,2024,3,UFL,STL,SA,2.0,,,,,,,,,,,,,,,,,
FOOTBALL_UFL_2024_4_20_MICH@SA,2024-04-20,2024,4,UFL,MICH,SA,2.0,,,,,,,,,,,,,,,,,
FOOTBALL_UFL_2024_4_27_SA@ARL,2024-04-27,2024,5,UFL,SA,ARL,2.0,,,,,,,,,,,,,,,,,
FOOTBALL_UFL_2024_5_5_SA@DC,2024-05-05,2024,6,UFL,SA,DC,2.0,,,,,,,,,,,,,,,,,
FOOTBALL_UFL_2024_5_12_SA@HOU,2024-05-12,2024,7,UFL,SA,HOU,2.0,,,,,,,,,,,,,,,,,
FOOTBALL_UFL_2024_5_19_ARL@SA,2024-05-19,2024,8,UFL,ARL,SA,2.0,,,,,,,,,,,,,,,,,
FOOTBALL_NAL_2025_3_8_T425361G979250@T463723,2025-03-09,2025,1,NAL,Sioux City Bandits,Beaumont Renegades,,,,,,,19.0,30.0,0.0,2.0,56.0,3.0,,,,,,
FOOTBALL_NAL_2025_3_14_T425358G979254@T425361,2025-03-15,2025,2,NAL,Idaho Horsemen,Sioux City Bandits,,,,,,,25.0,24.0,0.0,0.0,49.0,2.0,,,,,,
FOOTBALL_NAL_2025_3_29_T425357G979259@T425361,2025-03-30,2025,4,NAL,Colorado Spartans,Sioux City Bandits,,1.0,9.0,9.0,0.0,9.0,13.0,37.0,0.0,1.0,79.0,6.0,,,,,,
FOOTBALL_NAL_2025_4_19_T425361G979267@T425360,2025-04-19,2025,7,NAL,Sioux City Bandits,Omaha Beef,,,,,,,11.0,30.0,0.0,1.0,32.0,3.0,,,,,,
FOOTBALL_NAL_2025_4_26_T463723G979273@T425361,2025-04-27,2025,8,NAL,Beaumont Renegades,Sioux City Bandits,,,,,,,16.0,30.0,0.0,0.0,47.0,3.0,,,,,,
FOOTBALL_NAL_2025_5_4_T425361G981353@T425358,2025-05-04,2025,9,NAL,Sioux City Bandits,Idaho Horsemen,,,,,,,33.0,45.0,0.0,1.0,66.0,2.0,,,,,,
FOOTBALL_NAL_2025_5_10_T425360G979281@T425361,2025-05-11,2025,10,NAL,Omaha Beef,Sioux City Bandits,,,,,,,16.0,16.0,0.0,0.0,16.0,1.0,,,,,,
FOOTBALL_NAL_2025_5_17_T425361G979283@T425362,2025-05-17,2025,11,NAL,Sioux City Bandits,Wheeling Miners,,,,,,,10.0,1.0,0.0,0.0,38.0,4.0,,,,,,
FOOTBALL_NAL_2026_3_13_T570666G1127140@T566773,2026-03-13,2026,2,NAL,Sioux City Bandits,Amarillo Warbirds,,,,,,,26.0,32.0,0.0,3.0,102.0,4.0,,,,,,
FOOTBALL_NAL_2026_3_28_T570666G1127148@T577047,2026-03-29,2026,4,NAL,Sioux City Bandits,Pueblo Punishers,,,,,,,5.0,8.0,0.0,0.0,32.0,6.0,,,,,,
FOOTBALL_NAL_2026_4_4_T570666G1127150@T566774,2026-04-04,2026,5,NAL,Sioux City Bandits,Omaha Beef,,,,,,,7.0,11.0,0.0,1.0,42.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0
FOOTBALL_NAL_2026_4_11_T570666G1127155@T600414,2026-04-11,2026,6,NAL,Sioux City Bandits,Southwest Kansas Storm,,,,,,,11.0,24.0,0.0,2.0,90.0,8.0,,,,,,
