game_id,date,season,week,league,away,home,lost_fumbles,receiving_tds,receiving_yards,receptions
SYNTHETIC_USFL_W1_PHI,,,1,USFL,,,,0.0,34.0,2.0
SYNTHETIC_USFL_W2_PHI,,,2,USFL,,,,1.0,42.0,3.0
SYNTHETIC_USFL_W3_PHI,,,3,USFL,,,,1.0,15.0,2.0
SYNTHETIC_USFL_W4_PHI,,,4,USFL,,,,1.0,73.0,4.0
SYNTHETIC_USFL_W5_PHI,,,5,USFL,,,,0.0,36.0,1.0
SYNTHETIC_USFL_W8_PHI,,,8,USFL,,,,0.0,0.0,0.0
SYNTHETIC_USFL_W10_PHI,,,10,USFL,,,,0.0,0.0,0.0
SYNTHETIC_USFL_W11_PHI,,,11,USFL,,,,0.0,65.0,2.0
SYNTHETIC_USFL_2023_W1_STARS,,2023,1,USFL,,,,0.0,3.0,1.0
SYNTHETIC_USFL_2023_W2_STARS,,2023,2,USFL,,,1.0,0.0,46.0,3.0
SYNTHETIC_USFL_2023_W3_STARS,,2023,3,USFL,,,,0.0,77.0,6.0
SYNTHETIC_USFL_2023_W4_STARS,,2023,4,USFL,,,,0.0,22.0,3.0
SYNTHETIC_USFL_2023_W5_STARS,,2023,5,USFL,,,,0.0,7.0,1.0
SYNTHETIC_USFL_2023_W6_STARS,,2023,6,USFL,,,,0.0,48.0,2.0
SYNTHETIC_USFL_2023_W7_STARS,,2023,7,USFL,,,,0.0,6.0,2.0
SYNTHETIC_USFL_2023_W8_STARS,,2023,8,USFL,,,,0.0,50.0,5.0
SYNTHETIC_USFL_2023_W9_STARS,,2023,9,USFL,,,,1.0,42.0,6.0
SYNTHETIC_USFL_2023_W10_STARS,,2023,10,USFL,,,,1.0,29.0,1.0
SYNTHETIC_UFL_2024_W1_SHOWBOATS,,2024,1,UFL,,,,0.0,0.0,0.0
SYNTHETIC_UFL_2024_W3_SHOWBOATS,,2024,3,UFL,,,,0.0,1.0,1.0
SYNTHETIC_UFL_2024_W5_SHOWBOATS,,2024,5,UFL,,,,0.0,26.0,1.0
SYNTHETIC_UFL_2024_W10_SHOWBOATS,,2024,10,UFL,,,,0.0,6.0,1.0
