game_id,date,season,week,league,away,home,assists,blocks,catches,completions,drops,goals,hockeyAssists,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-05-13-HTX-DAL,2023-05-13,2023,3,,HTX,DAL,,1.0,2.0,2.0,,,,2.0,,10.0,-9.0
2023-05-19-SD-HTX,2023-05-19,2023,4,,SD,HTX,,2.0,1.0,1.0,2.0,,,1.0,,16.0,-7.0
2023-06-02-HTX-ATX,2023-06-02,2023,6,,HTX,ATX,,,5.0,3.0,,2.0,,3.0,,73.0,1.0
2023-06-17-ATX-HTX,2023-06-17,2023,8,,ATX,HTX,,,4.0,3.0,,,1.0,4.0,1.0,92.0,2.0
2023-06-23-ATL-HTX,2023-06-23,2023,9,,ATL,HTX,,,2.0,1.0,,1.0,,1.0,,46.0,10.0
2025-04-26-MAD-MIN,2025-04-26,2025,1,,MAD,MIN,0.0,0.0,,,0.0,0.0,,,0.0,2.0,7.0
2025-05-02-MAD-HTX,2025-05-02,2025,2,,MAD,HTX,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
2025-05-03-MAD-ATX,2025-05-03,2025,2,,MAD,ATX,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
2025-05-17-PIT-MAD,2025-05-17,2025,4,,PIT,MAD,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
2025-05-30-IND-MAD,2025-05-30,2025,6,,IND,MAD,0.0,0.0,,,0.0,0.0,,,1.0,63.0,24.0
2025-06-08-MAD-CHI,2025-06-08,2025,7,,MAD,CHI,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
2025-06-13-MIN-MAD,2025-06-13,2025,8,,MIN,MAD,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
2025-06-14-MAD-DET,2025-06-14,2025,8,,MAD,DET,0.0,0.0,,,1.0,1.0,,,0.0,31.0,58.0
2025-06-27-DET-MAD,2025-06-27,2025,10,,DET,MAD,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
2025-06-28-MAD-IND,2025-06-28,2025,10,,MAD,IND,0.0,1.0,,,0.0,1.0,,,0.0,56.0,42.0
2025-07-05-IND-MAD,2025-07-05,2025,11,,IND,MAD,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
2025-07-12-MAD-MIN,2025-07-12,2025,12,,MAD,MIN,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
2025-07-20-CHI-MAD,2025-07-20,2025,13,,CHI,MAD,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
2026-04-25-ATL-ATX,2026-04-25,2026,1,,ATL,ATX,0.0,0.0,,,0.0,0.0,,,1.0,53.0,11.0
