game_id,date,season,week,league,away,home,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_td,ret_yds,rush_att,rush_lg,rush_yds,rushing_tds,rushing_yards,score_p,score_pr,score_pts,score_tot
FOOTBALL_CFL_2021_11_20_SSK@HAM,2021-11-20,2021,1,CFL,SSK,HAM,,,,16.0,1.0,1.0,,16.0,16.0,23.0,1.0,,23.0,2.0,6.0,7.0,,,,,,
FOOTBALL_CFL_2021_11_28_MTL@HAM,2021-11-28,2021,1,CFL,MTL,HAM,,,,,,,,,,24.0,3.0,,65.0,1.0,2.0,2.0,,,,,,
FOOTBALL_CFL_2021_12_12_WPG@HAM,2021-12-12,2021,1,CFL,WPG,HAM,,,,,,,,,,21.0,1.0,,21.0,,,,,,,,,
FOOTBALL_CFL_2021_12_5_HAM@TOR,2021-12-05,2021,1,CFL,HAM,TOR,,,,,,,,,,19.0,1.0,1.0,19.0,,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2021_8_14_HAM@SSK,2021-08-14,2021,1,CFL,HAM,SSK,,,,18.0,1.0,5.0,,12.0,18.0,,,,,2.0,8.0,12.0,,,,,,
FOOTBALL_CFL_2021_9_10_HAM@TOR,2021-09-10,2021,1,CFL,HAM,TOR,,,,,5.0,7.0,1.0,12.0,53.0,,,,,,,,,,1.0,,6.0,1.0
FOOTBALL_CFL_2021_9_17_CGY@HAM,2021-09-17,2021,1,CFL,CGY,HAM,,,,14.0,3.0,3.0,,9.0,13.0,,,,,6.0,8.0,30.0,,,,,,
FOOTBALL_CFL_2021_9_22_HAM@OTT,2021-09-22,2021,1,CFL,HAM,OTT,,,,5.0,1.0,1.0,,5.0,5.0,,,,,3.0,2.0,-6.0,,,,,,
SYNTHETIC_CFL_2022_W1_HAM,,2022,1,CFL,,,0.0,56.0,4.0,,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W3_HAM,,2022,3,CFL,,,0.0,28.0,5.0,,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W4_HAM,,2022,4,CFL,,,0.0,16.0,5.0,,,,,,,,,,,,,,0.0,-2.0,,,,
6267,2022-09-17,2022,15,CFL,WPG,HAM,0.0,42.0,3.0,,,,,,,,,,,,,,,,,,,
6269,2022-09-23,2022,16,CFL,HAM,MTL,0.0,8.0,1.0,,,,,,,,,,,,,,,,,,,
