game_id,date,season,week,league,away,home,passing_yards,punt_return,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
SYNTHETIC_USFL_2023_W1_GENERALS,2023-04-15,2023,1,USFL,STALLIONS,GENERALS,,,0.0,55.0,5.0,0.0,0.0
SYNTHETIC_USFL_2023_W5_GENERALS,2023-05-14,2023,5,USFL,STARS,GENERALS,,,0.0,0.0,0.0,,
79,2025-03-28,2025,1,UFL,ROUGHNECKS,BATTLEHAWKS,14.0,1.0,0.0,13.0,4.0,,
50,2025-04-06,2025,2,UFL,BATTLEHAWKS,BRAHMAS,,,1.0,57.0,4.0,,
55,2025-04-18,2025,4,UFL,PANTHERS,SHOWBOATS,,,0.0,23.0,3.0,,
80,2025-04-19,2025,4,UFL,ROUGHNECKS,STALLIONS,,,0.0,17.0,2.0,,
58,2025-04-25,2025,5,UFL,STALLIONS,SHOWBOATS,,,1.0,71.0,2.0,,
67,2025-05-11,2025,7,UFL,STALLIONS,ROUGHNECKS,,,0.0,0.0,0.0,,
71,2025-05-18,2025,8,UFL,DEFENDERS,RENEGADES,,,0.0,43.0,2.0,,
74,2025-05-24,2025,9,UFL,STALLIONS,PANTHERS,,,0.0,16.0,1.0,,
