game_id,date,season,week,league,away,home,assist_tackles,int_avg,int_long,int_tds,int_yards,interceptions_made,receiving_tds,receiving_yards,receptions,rush_attempts,rushing_tds,rushing_yards,solo_tackles,tackles,targets
FOOTBALL_AAF_2019_2_9_SD@SA,2019-02-09,2019,1,AAF,SD,SA,,,,,,,0.0,78.0,3.0,,,,,,5.0
FOOTBALL_AAF_2019_2_17_ORL@SA,2019-02-17,2019,2,AAF,ORL,SA,,,,,,,0.0,28.0,4.0,1.0,0.0,4.0,,,5.0
FOOTBALL_AAF_2019_2_24_SA@SD,2019-02-24,2019,3,AAF,SA,SD,,,,,,,0.0,0.0,0.0,,,,,,1.0
FOOTBALL_AAF_2019_3_3_SA@BIR,2019-03-03,2019,4,AAF,SA,BIR,,,,,,,0.0,18.0,1.0,1.0,0.0,6.0,,,2.0
FOOTBALL_AAF_2019_3_10_SA@ARI,2019-03-10,2019,5,AAF,SA,ARI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,2.0,1.0,0.0,3.0,1.0,,3.0
FOOTBALL_AAF_2019_3_17_SA@ATL,2019-03-17,2019,6,AAF,SA,ATL,,,,,,,0.0,15.0,1.0,,,,,,2.0
FOOTBALL_AAF_2019_3_23_SL@SA,2019-03-23,2019,7,AAF,SL,SA,,,,,,,0.0,14.0,1.0,1.0,0.0,0.0,,,1.0
FOOTBALL_AAF_2019_3_31_ARI@SA,2019-03-31,2019,8,AAF,ARI,SA,,,,,,,0.0,11.0,1.0,,,,,,3.0
FOOTBALL_XFL_2020_2_8_SEA@DC,2020-02-08,2020,1,XFL,SEA,DC,,,,,,,,5.0,1.0,,,,,,
FOOTBALL_XFL_2020_2_22_DAL@SEA,2020-02-22,2020,3,XFL,DAL,SEA,,,,,,,,28.0,3.0,,,,1.0,1.0,2.0
FOOTBALL_XFL_2020_2_29_SEA@STL,2020-02-29,2020,4,XFL,SEA,STL,,,,,,,,57.0,1.0,,,,,,1.0
FOOTBALL_XFL_2020_3_7_SEA@HOU,2020-03-07,2020,5,XFL,SEA,HOU,,,,,,,,20.0,3.0,,,,,,2.0
SYNTHETIC_USFL_2022_W1_NJ,,2022,1,USFL,,,,,,,,,0.0,0.0,0.0,,0.0,-2.0,,,
SYNTHETIC_USFL_2022_W2_NJ,,2022,2,USFL,,,,,,,,,0.0,23.0,3.0,,,,,,
SYNTHETIC_USFL_2022_W3_NJ,,2022,3,USFL,,,,,,,,,0.0,0.0,0.0,,,,,,
SYNTHETIC_USFL_2022_W4_NJ,,2022,4,USFL,,,,,,,,,1.0,104.0,3.0,,,,,,
SYNTHETIC_USFL_2022_W5_NJ,,2022,5,USFL,,,,,,,,,0.0,12.0,1.0,,,,,,
SYNTHETIC_USFL_2022_W6_NJ,,2022,6,USFL,,,,,,,,,0.0,29.0,2.0,,,,,,
SYNTHETIC_USFL_2022_W7_NJ,,2022,7,USFL,,,,,,,,,0.0,,,,,,,,
SYNTHETIC_USFL_2022_W8_NJ,,2022,8,USFL,,,,,,,,,0.0,44.0,3.0,,,,,,
SYNTHETIC_USFL_2022_W9_NJ,,2022,9,USFL,,,,,,,,,0.0,0.0,0.0,,,,,,
SYNTHETIC_USFL_2022_W10_NJ,,2022,10,USFL,,,,,,,,,2.0,84.0,7.0,,,,,,
SYNTHETIC_USFL_2022_W11_NJ,,2022,11,USFL,,,,,,,,,0.0,28.0,4.0,,,,,,
SYNTHETIC_USFL_2023_W1_GENERALS,2023-04-15,2023,1,USFL,STALLIONS,GENERALS,,,,,,,0.0,18.0,3.0,,,,,,
SYNTHETIC_USFL_2023_W5_GENERALS,2023-05-14,2023,5,USFL,STARS,GENERALS,,,,,,,0.0,58.0,5.0,,,,,,
79,2025-03-28,2025,1,UFL,ROUGHNECKS,BATTLEHAWKS,,,,,,,0.0,25.0,2.0,,,,,,
50,2025-04-06,2025,2,UFL,BATTLEHAWKS,BRAHMAS,,,,,,,0.0,12.0,1.0,,,,,,
55,2025-04-18,2025,4,UFL,PANTHERS,SHOWBOATS,,,,,,,1.0,72.0,1.0,,,,,,
80,2025-04-19,2025,4,UFL,ROUGHNECKS,STALLIONS,,,,,,,0.0,0.0,0.0,,,,,,
58,2025-04-25,2025,5,UFL,STALLIONS,SHOWBOATS,,,,,,,0.0,20.0,2.0,,,,,,
67,2025-05-11,2025,7,UFL,STALLIONS,ROUGHNECKS,,,,,,,1.0,44.0,5.0,,,,,,
71,2025-05-18,2025,8,UFL,DEFENDERS,RENEGADES,,,,,,,2.0,63.0,6.0,,,,,,
74,2025-05-24,2025,9,UFL,STALLIONS,PANTHERS,,,,,,,1.0,36.0,3.0,,,,,,
