game_id,date,season,week,league,away,home,assisted_tackles,fg_attempts,field_goal_long,field_goal_pct,field_goals_made,kick_returns,kicking_deuce,kicking_pat,kicking_pat_att,kr_avg,kr_long,kr_tds,kr_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rush_td,rushing_attempts,rushing_tds,rushing_yards,solo_tackles,tackles
FOOTBALL_UFL_2026_4_4_DC@CLB,2026-04-04,2026,2,UFL,DC,CLB,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
FOOTBALL_NAL_2026_3_28_T566774G1127145@T600414,2026-03-28,2026,4,NAL,Omaha Beef,Southwest Kansas Storm,,0.0,0.0,0.0,0.0,,0.0,4.0,5.0,,,,,,,,,,,,,,,,,
FOOTBALL_NAL_2026_4_4_T570667G1127152@T600414,2026-04-04,2026,5,NAL,Colorado Spartans,Southwest Kansas Storm,,0.0,0.0,0.0,0.0,,0.0,6.0,7.0,,,,,,,,,,,,,,,,,
FOOTBALL_UFL_2026_4_25_DC@BHM,2026-04-25,2026,5,UFL,DC,BHM,,,,,,,,,,,,,,,,,,,,,2.0,,,,,
FOOTBALL_NAL_2026_4_11_T570666G1127155@T600414,2026-04-11,2026,6,NAL,Sioux City Bandits,Southwest Kansas Storm,,0.0,0.0,0.0,0.0,,0.0,5.0,6.0,,,,,,,,,,,,,,,,,
FOOTBALL_NAL_2026_4_18_T600414G1127159@T566773,2026-04-18,2026,7,NAL,Southwest Kansas Storm,Amarillo Warbirds,,3.0,0.0,667.0,2.0,,0.0,3.0,4.0,,,,,,,,,,,,,,,,,
FOOTBALL_IFL_2026_5_2_TSANANTONIOGUNSLINGERSG202605025PR1@TTUCSONSUGARSKULLS,2026-05-02,2026,8,IFL,San Antonio Gunslingers,Tucson Sugar Skulls,0.0,,,,,4.0,,,,21.5,28.0,0.0,86.0,4.0,4.0,0.0,4.0,1.0,2.0,2.0,,1.0,0.0,2.0,1.0,1.0
FOOTBALL_NAL_2026_4_25_T600414G1127162@T600411,2026-04-25,2026,8,NAL,Southwest Kansas Storm,Salina Liberty,,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,,,,,,,,,,,,,,,,,
FOOTBALL_IFL_2026_5_10_TTUCSONSUGARSKULLSG20260510QDQW@TARIZONARATTLERS,2026-05-10,2026,9,IFL,Tucson Sugar Skulls,Arizona Rattlers,,,,,,,,,,,,,,14.0,20.0,1.0,28.0,2.0,,,,,,,,
FOOTBALL_NAL_2026_5_2_T600414G1127163@T566773,2026-05-02,2026,9,NAL,Southwest Kansas Storm,Amarillo Warbirds,,1.0,0.0,0.0,0.0,,0.0,5.0,6.0,,,,,,,,,,,,,,,,,
FOOTBALL_IFL_2026_5_15_TTUCSONSUGARSKULLSG20260515CE9O@TQUADCITYSTEAMWHEELERS,2026-05-15,2026,10,IFL,Tucson Sugar Skulls,Quad City Steamwheelers,0.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
FOOTBALL_NAL_2026_5_9_T600411G1127167@T600414,2026-05-09,2026,10,NAL,Salina Liberty,Southwest Kansas Storm,,0.0,0.0,0.0,0.0,,0.0,5.0,7.0,,,,,,,,,,,,,,,,,
