game_id,date,season,week,league,away,home,interceptions_lost,lost_fumbles,passing_tds,passing_yards,rushing_tds,rushing_yards
SYNTHETIC_USFL_2023_W1_MAULERS,2023-04-16,2023,1,USFL,BREAKERS,MAULERS,0.0,,0.0,81.0,,12.0
SYNTHETIC_USFL_2023_W5_MAULERS,2023-05-13,2023,5,USFL,PANTHERS,MAULERS,0.0,1.0,2.0,184.0,1.0,59.0
SYNTHETIC_USFL_2023_W6_MAULERS,2023-05-20,2023,6,USFL,SHOWBOATS,MAULERS,3.0,,0.0,243.0,0.0,15.0
SYNTHETIC_USFL_2023_W8_MAULERS,2023-06-03,2023,8,USFL,MAULERS,GAMBLERS,0.0,,0.0,214.0,1.0,36.0
SYNTHETIC_USFL_2023_W12_MAULERS,,2023,12,USFL,,,,1.0,,143.0,,38.0
50,2025-04-06,2025,2,UFL,BATTLEHAWKS,BRAHMAS,1.0,2.0,0.0,54.0,0.0,7.0
54,2025-04-13,2025,3,UFL,BATTLEHAWKS,DEFENDERS,0.0,,1.0,96.0,0.0,65.0
80,2025-04-19,2025,4,UFL,ROUGHNECKS,STALLIONS,0.0,,1.0,154.0,1.0,40.0
59,2025-04-26,2025,5,UFL,BATTLEHAWKS,PANTHERS,0.0,,0.0,217.0,1.0,63.0
69,2025-05-16,2025,8,UFL,BRAHMAS,SHOWBOATS,1.0,,1.0,145.0,0.0,44.0
76,2025-05-31,2025,10,UFL,PANTHERS,ROUGHNECKS,0.0,,1.0,166.0,0.0,7.0
