game_id,date,season,week,league,away,home,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,fielding_runouts,match_played
cricket-t20i-2023-08-24-1391650,2023-08-24,2023,1,T20I,Singapore,Myanmar,,,,,,,12.0,0.0,2.0,10.0,0.0,0.0,,,1.0
cricket-t20i-2023-08-31-1394755,2023-08-31,2023,1,T20I,Myanmar,Hong Kong,8.0,0.0,1.0,8.0,3.0,0.0,,,,,,,,,1.0
cricket-t20i-2023-09-04-1394769,2023-09-04,2023,1,T20I,Myanmar,China,,,,,,,,,,,,,,1.0,1.0
cricket-t20i-2024-02-10-1419906,2024-02-10,2024,1,T20I,Myanmar,Thailand,7.0,0.0,0.0,8.0,1.0,0.0,4.0,0.0,0.0,10.0,0.0,0.0,,,1.0
cricket-t20i-2024-02-13-1419922,2024-02-13,2024,1,T20I,Kuwait,Myanmar,23.0,0.0,1.0,9.0,13.0,0.0,,,,,,,,,1.0
cricket-t20i-2024-10-21-1456121,2024-10-21,2024,1,T20I,Singapore,Myanmar,33.0,5.0,0.0,2.0,25.0,0.0,6.0,0.0,0.0,5.0,2.0,0.0,,,1.0
cricket-t20i-2024-10-22-1456122,2024-10-22,2024,1,T20I,Kuwait,Myanmar,37.0,1.0,0.0,1.0,31.0,0.0,6.0,0.0,0.0,7.0,1.0,0.0,1.0,,1.0
cricket-t20i-2024-10-24-1456124,2024-10-24,2024,1,T20I,Singapore,Myanmar,9.0,0.0,0.0,1.0,6.0,0.0,,,,,,,,,1.0
cricket-t20i-2024-10-25-1456125,2024-10-25,2024,1,T20I,Myanmar,Kuwait,16.0,1.0,0.0,1.0,9.0,0.0,,,,,,,,,1.0
cricket-t20i-2024-10-27-1456127,2024-10-27,2024,1,T20I,Myanmar,Singapore,8.0,1.0,0.0,1.0,9.0,0.0,6.0,0.0,0.0,7.0,0.0,2.0,,,1.0
cricket-t20i-2024-10-28-1456128,2024-10-28,2024,1,T20I,Kuwait,Myanmar,6.0,1.0,0.0,1.0,4.0,0.0,6.0,0.0,0.0,10.0,1.0,0.0,,,1.0
cricket-t20i-2024-10-30-1456130,2024-10-30,2024,1,T20I,Kuwait,Myanmar,11.0,0.0,0.0,1.0,4.0,0.0,,,,,,,,1.0,1.0
cricket-t20i-2024-11-07-1456861,2024-11-07,2024,1,T20I,Myanmar,Hong Kong,12.0,1.0,0.0,1.0,9.0,0.0,,,,,,,,,1.0
cricket-t20i-2024-11-08-1456859,2024-11-08,2024,1,T20I,Myanmar,Mongolia,56.0,6.0,0.0,2.0,46.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,,1.0,1.0
cricket-t20i-2024-11-09-1456862,2024-11-09,2024,1,T20I,Myanmar,China,26.0,1.0,0.0,2.0,9.0,0.0,,,,,,,1.0,1.0,1.0
cricket-t20i-2024-11-10-1456864,2024-11-10,2024,1,T20I,Mongolia,Myanmar,4.0,0.0,0.0,2.0,0.0,0.0,,,,,,,,,1.0
cricket-t20i-2024-12-22-1464725,2024-12-22,2024,1,T20I,Bhutan,Myanmar,9.0,0.0,0.0,1.0,4.0,0.0,,,,,,,1.0,1.0,1.0
cricket-t20i-2024-12-24-1464726,2024-12-24,2024,1,T20I,Myanmar,Bhutan,2.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,1.0,1.0
cricket-t20i-2024-12-26-1464727,2024-12-26,2024,1,T20I,Bhutan,Myanmar,43.0,5.0,1.0,1.0,34.0,0.0,,,,,,,,,1.0
cricket-t20i-2024-12-27-1464728,2024-12-27,2024,1,T20I,Bhutan,Myanmar,25.0,1.0,0.0,1.0,11.0,0.0,,,,,,,,,1.0
cricket-t20i-2025-11-27-1510313,2025-11-27,2025,1,T20I,Singapore,Myanmar,,,,,,,,,,,,,,1.0,1.0
cricket-t20i-2025-11-29-1510314,2025-11-29,2025,1,T20I,Singapore,Myanmar,,,,,,,,,,,,,,1.0,1.0
cricket-t20i-2025-11-30-1510315,2025-11-30,2025,1,T20I,Myanmar,Singapore,7.0,0.0,0.0,4.0,1.0,0.0,,,,,,,,,1.0
cricket-t20i-2025-12-15-1513755,2025-12-15,2025,1,T20I,Myanmar,Thailand,10.0,0.0,0.0,1.0,0.0,0.0,,,,,,,1.0,,1.0
cricket-t20i-2025-12-17-1513760,2025-12-17,2025,1,T20I,Myanmar,Singapore,36.0,4.0,0.0,5.0,34.0,0.0,,,,,,,,,1.0
cricket-t20i-2025-12-18-1513762,2025-12-18,2025,1,T20I,Malaysia,Myanmar,3.0,0.0,0.0,6.0,1.0,0.0,,,,,,,,,1.0
cricket-t20i-2025-12-19-1513763,2025-12-19,2025,1,T20I,Myanmar,Indonesia,3.0,0.0,0.0,5.0,0.0,0.0,,,,,,,,,1.0
