game_id,date,season,week,league,away,home,extra_point,field_goal_yards,interceptions_lost,made_19,made_29,made_39,made_49,made_50,missed,passing_tds,passing_yards
SYNTHETIC_USFL_2022_W1_PIT,,2022,1,USFL,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,,
SYNTHETIC_USFL_2022_W2_PIT,,2022,2,USFL,,,2.0,,,0.0,1.0,0.0,0.0,0.0,0.0,,
SYNTHETIC_USFL_2022_W3_PIT,,2022,3,USFL,,,,,,0.0,0.0,0.0,0.0,0.0,2.0,,
SYNTHETIC_USFL_2022_W4_PIT,,2022,4,USFL,,,1.0,,,0.0,0.0,1.0,1.0,0.0,1.0,,
SYNTHETIC_USFL_2022_W5_PIT,,2022,5,USFL,,,,,,0.0,2.0,0.0,0.0,1.0,1.0,,
SYNTHETIC_USFL_2022_W6_PIT,,2022,6,USFL,,,1.0,,,0.0,0.0,1.0,0.0,0.0,0.0,,
SYNTHETIC_USFL_2022_W7_PIT,,2022,7,USFL,,,1.0,,,0.0,0.0,0.0,2.0,1.0,1.0,,
SYNTHETIC_USFL_2022_W8_PIT,,2022,8,USFL,,,1.0,,,0.0,0.0,0.0,0.0,1.0,1.0,,
SYNTHETIC_USFL_2022_W9_PIT,,2022,9,USFL,,,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,14.0
SYNTHETIC_USFL_2022_W10_PIT,,2022,10,USFL,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,,
SYNTHETIC_UFL_2026_W6_ST.LOUISBATTLEHAWKS,2026-04-30,2026,6,UFL,ST. LOUIS BATTLEHAWKS,LOUISVILLE KINGS,1.0,42.0,,,,,,,1.0,,
