game_id,date,season,week,league,away,home,def_sack,def_solo,def_tot,def_ydsl
FOOTBALL_CFL_2016_10_29_BC@SSK,2016-10-29,2016,1,CFL,BC,SSK,1.0,1.0,1.0,6.0
FOOTBALL_CFL_2016_10_8_BC@WPG,2016-10-08,2016,1,CFL,BC,WPG,,2.0,2.0,
FOOTBALL_CFL_2016_11_13_WPG@BC,2016-11-13,2016,1,CFL,WPG,BC,,2.0,2.0,
FOOTBALL_CFL_2016_11_20_BC@CGY,2016-11-20,2016,1,CFL,BC,CGY,,1.0,1.0,
FOOTBALL_CFL_2016_11_5_SSK@BC,2016-11-05,2016,1,CFL,SSK,BC,,2.0,2.0,
FOOTBALL_CFL_2016_6_25_CGY@BC,2016-06-25,2016,1,CFL,CGY,BC,,2.0,2.0,
FOOTBALL_CFL_2016_7_16_BC@SSK,2016-07-16,2016,1,CFL,BC,SSK,,3.0,3.0,
FOOTBALL_CFL_2016_7_1_BC@HAM,2016-07-01,2016,1,CFL,BC,HAM,,1.0,1.0,
FOOTBALL_CFL_2016_8_25_BC@OTT,2016-08-25,2016,1,CFL,BC,OTT,,1.0,1.0,
FOOTBALL_CFL_2016_8_31_BC@TOR,2016-08-31,2016,1,CFL,BC,TOR,,1.0,1.0,
FOOTBALL_CFL_2016_9_23_BC@EDM,2016-09-23,2016,1,CFL,BC,EDM,,2.0,2.0,
FOOTBALL_CFL_2016_9_9_MTL@BC,2016-09-09,2016,1,CFL,MTL,BC,,4.0,4.0,
FOOTBALL_CFL_2017_10_14_BC@WPG,2017-10-14,2017,1,CFL,BC,WPG,,2.0,2.0,
FOOTBALL_CFL_2017_10_21_EDM@BC,2017-10-21,2017,1,CFL,EDM,BC,,2.0,2.0,
FOOTBALL_CFL_2017_10_7_OTT@BC,2017-10-07,2017,1,CFL,OTT,BC,,2.0,2.0,
FOOTBALL_CFL_2017_11_4_TOR@BC,2017-11-04,2017,1,CFL,TOR,BC,,1.0,1.0,
FOOTBALL_CFL_2017_6_24_EDM@BC,2017-06-24,2017,1,CFL,EDM,BC,,3.0,3.0,
FOOTBALL_CFL_2017_6_30_BC@TOR,2017-06-30,2017,1,CFL,BC,TOR,,1.0,1.0,
FOOTBALL_CFL_2017_7_15_BC@HAM,2017-07-15,2017,1,CFL,BC,HAM,,1.0,1.0,
FOOTBALL_CFL_2017_7_21_WPG@BC,2017-07-21,2017,1,CFL,WPG,BC,,1.0,1.0,
FOOTBALL_CFL_2017_7_28_BC@EDM,2017-07-28,2017,1,CFL,BC,EDM,1.0,1.0,1.0,3.0
FOOTBALL_CFL_2017_7_6_BC@MTL,2017-07-06,2017,1,CFL,BC,MTL,,1.0,1.0,
FOOTBALL_CFL_2017_9_16_BC@CGY,2017-09-16,2017,1,CFL,BC,CGY,,1.0,1.0,
FOOTBALL_CFL_2017_9_22_HAM@BC,2017-09-22,2017,1,CFL,HAM,BC,,4.0,4.0,
