game_id,date,season,week,league,away,home,def_solo,def_tot,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_yds,score_conv,score_p,score_pts,score_tot
FOOTBALL_CFL_2016_6_23_HAM@TOR,2016-06-23,2016,1,CFL,HAM,TOR,,,32.0,8.0,8.0,,29.0,81.0,,,,,,,,,,,,
FOOTBALL_CFL_2016_7_15_HAM@MTL,2016-07-15,2016,1,CFL,HAM,MTL,,,8.0,2.0,3.0,,5.0,14.0,,,,,,1.0,8.0,8.0,,,,
FOOTBALL_CFL_2016_7_1_BC@HAM,2016-07-01,2016,1,CFL,BC,HAM,,,20.0,7.0,9.0,,17.0,70.0,,,,,,,,,,,,
FOOTBALL_CFL_2016_7_23_HAM@EDM,2016-07-23,2016,1,CFL,HAM,EDM,,,39.0,11.0,11.0,,61.0,146.0,,,,,,,,,,,,
FOOTBALL_CFL_2016_7_7_WPG@HAM,2016-07-07,2016,1,CFL,WPG,HAM,,,20.0,8.0,9.0,,24.0,91.0,,,,,,,,,,,,
FOOTBALL_CFL_2016_8_13_HAM@BC,2016-08-13,2016,1,CFL,HAM,BC,,,27.0,8.0,13.0,1.0,8.0,86.0,,,,,,,,,1.0,1.0,8.0,1.0
FOOTBALL_CFL_2016_8_20_SSK@HAM,2016-08-20,2016,1,CFL,SSK,HAM,,,15.0,5.0,10.0,1.0,12.0,38.0,,,,,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2016_8_28_HAM@CGY,2016-08-28,2016,1,CFL,HAM,CGY,,,20.0,10.0,14.0,1.0,37.0,100.0,,,,,,,,,1.0,1.0,8.0,1.0
FOOTBALL_CFL_2016_8_3_HAM@WPG,2016-08-03,2016,1,CFL,HAM,WPG,,,14.0,3.0,5.0,,19.0,36.0,,,,,,1.0,12.0,12.0,,,,
FOOTBALL_CFL_2016_9_11_HAM@TOR,2016-09-11,2016,1,CFL,HAM,TOR,1.0,1.0,11.0,3.0,7.0,,4.0,24.0,,,,,,,,,,,,
FOOTBALL_CFL_2016_9_16_MTL@HAM,2016-09-16,2016,1,CFL,MTL,HAM,1.0,1.0,18.0,6.0,9.0,1.0,6.0,44.0,,,,,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2016_9_5_TOR@HAM,2016-09-05,2016,1,CFL,TOR,HAM,,,,5.0,6.0,1.0,41.0,122.0,,,,,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2017_10_13_CGY@HAM,2017-10-13,2017,1,CFL,CGY,HAM,,,30.0,5.0,9.0,,32.0,96.0,,,,,,,,,,,,
FOOTBALL_CFL_2017_10_22_HAM@MTL,2017-10-22,2017,1,CFL,HAM,MTL,,,21.0,4.0,6.0,,38.0,68.0,,,,,,,,,,,,
FOOTBALL_CFL_2017_10_27_HAM@OTT,2017-10-27,2017,1,CFL,HAM,OTT,,,26.0,12.0,14.0,1.0,57.0,139.0,,,,,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2017_10_6_HAM@WPG,2017-10-06,2017,1,CFL,HAM,WPG,,,14.0,4.0,5.0,1.0,1.0,27.0,,,,,,,,,1.0,1.0,8.0,1.0
FOOTBALL_CFL_2017_11_3_MTL@HAM,2017-11-03,2017,1,CFL,MTL,HAM,,,28.0,7.0,7.0,1.0,30.0,102.0,,,,,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2017_6_25_HAM@TOR,2017-06-25,2017,1,CFL,HAM,TOR,,,33.0,7.0,11.0,,25.0,77.0,25.0,1.0,1.0,6.0,25.0,,,,,,,
FOOTBALL_CFL_2017_7_15_BC@HAM,2017-07-15,2017,1,CFL,BC,HAM,1.0,1.0,18.0,7.0,9.0,,15.0,57.0,,,,,,,,,,,,
FOOTBALL_CFL_2017_7_20_EDM@HAM,2017-07-20,2017,1,CFL,EDM,HAM,1.0,1.0,13.0,6.0,9.0,1.0,18.0,34.0,,,,,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2017_7_29_HAM@CGY,2017-07-29,2017,1,CFL,HAM,CGY,1.0,1.0,21.0,9.0,14.0,,22.0,82.0,,,,,,,,,,,,
FOOTBALL_CFL_2017_7_8_HAM@SSK,2017-07-08,2017,1,CFL,HAM,SSK,,,,,2.0,,,,,,,,,,,,,,,
FOOTBALL_CFL_2017_8_12_WPG@HAM,2017-08-12,2017,1,CFL,WPG,HAM,1.0,1.0,18.0,5.0,8.0,,17.0,64.0,,,,,,,,,,,,
FOOTBALL_CFL_2017_8_18_OTT@HAM,2017-08-18,2017,1,CFL,OTT,HAM,,,,6.0,7.0,1.0,40.0,93.0,,,,,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2017_8_4_HAM@EDM,2017-08-04,2017,1,CFL,HAM,EDM,,,10.0,5.0,7.0,,6.0,32.0,,,,,,,,,1.0,,2.0,
FOOTBALL_CFL_2017_9_15_SSK@HAM,2017-09-15,2017,1,CFL,SSK,HAM,1.0,1.0,27.0,6.0,12.0,,15.0,78.0,,,,,,,,,,,,
FOOTBALL_CFL_2017_9_22_HAM@BC,2017-09-22,2017,1,CFL,HAM,BC,,,31.0,7.0,12.0,1.0,8.0,96.0,,,,,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2017_9_30_TOR@HAM,2017-09-30,2017,1,CFL,TOR,HAM,,,19.0,6.0,10.0,1.0,25.0,44.0,,,,,,,,,1.0,1.0,8.0,1.0
FOOTBALL_CFL_2017_9_4_TOR@HAM,2017-09-04,2017,1,CFL,TOR,HAM,,,19.0,3.0,3.0,,6.0,32.0,,,,,,,,,,,,
FOOTBALL_CFL_2017_9_9_HAM@OTT,2017-09-09,2017,1,CFL,HAM,OTT,,,11.0,5.0,9.0,,11.0,46.0,,,,,,,,,,,,
FOOTBALL_CFL_2018_10_12_HAM@TOR,2018-10-12,2018,1,CFL,HAM,TOR,,,,4.0,6.0,3.0,18.0,63.0,,1.0,,,,,,,,3.0,18.0,3.0
FOOTBALL_CFL_2018_10_19_HAM@OTT,2018-10-19,2018,1,CFL,HAM,OTT,,,,7.0,10.0,2.0,7.0,70.0,,,,,,,,,,2.0,12.0,2.0
FOOTBALL_CFL_2018_10_27_OTT@HAM,2018-10-27,2018,1,CFL,OTT,HAM,1.0,1.0,17.0,6.0,10.0,,2.0,55.0,,,,,,,,,,,,
FOOTBALL_CFL_2018_11_11_BC@HAM,2018-11-11,2018,1,CFL,BC,HAM,,,31.0,3.0,5.0,2.0,23.0,70.0,,,,,,,,,,2.0,12.0,2.0
FOOTBALL_CFL_2018_11_18_HAM@OTT,2018-11-18,2018,1,CFL,HAM,OTT,1.0,1.0,20.0,5.0,5.0,,39.0,67.0,,,,,,,,,,,,
FOOTBALL_CFL_2018_6_16_HAM@CGY,2018-06-16,2018,1,CFL,HAM,CGY,2.0,2.0,25.0,6.0,8.0,,24.0,71.0,,,,,,,,,,,,
FOOTBALL_CFL_2018_6_22_HAM@EDM,2018-06-22,2018,1,CFL,HAM,EDM,,,,5.0,5.0,2.0,51.0,103.0,,,,,,,,,,2.0,12.0,2.0
FOOTBALL_CFL_2018_6_29_WPG@HAM,2018-06-29,2018,1,CFL,WPG,HAM,,,19.0,5.0,5.0,,18.0,56.0,,,,,,,,,,,,
FOOTBALL_CFL_2018_7_5_HAM@SSK,2018-07-05,2018,1,CFL,HAM,SSK,,,19.0,4.0,10.0,,18.0,49.0,,,,,,,,,,,,
FOOTBALL_CFL_2018_8_10_HAM@WPG,2018-08-10,2018,1,CFL,HAM,WPG,,,18.0,1.0,3.0,,11.0,18.0,,,,,,,,,,,,
FOOTBALL_CFL_2018_8_23_EDM@HAM,2018-08-23,2018,1,CFL,EDM,HAM,1.0,1.0,,9.0,13.0,1.0,78.0,156.0,,,,,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2018_8_3_HAM@MTL,2018-08-03,2018,1,CFL,HAM,MTL,,,19.0,3.0,7.0,,28.0,49.0,,,,,,,,,,,,
FOOTBALL_CFL_2018_9_15_CGY@HAM,2018-09-15,2018,1,CFL,CGY,HAM,,,18.0,6.0,9.0,,15.0,60.0,,,,,,,,,,,,
FOOTBALL_CFL_2018_9_22_HAM@BC,2018-09-22,2018,1,CFL,HAM,BC,,,29.0,5.0,5.0,,9.0,77.0,,,,,,,,,1.0,,2.0,
FOOTBALL_CFL_2018_9_29_BC@HAM,2018-09-29,2018,1,CFL,BC,HAM,,,30.0,2.0,3.0,1.0,,43.0,,,,,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2018_9_3_TOR@HAM,2018-09-03,2018,1,CFL,TOR,HAM,,,,8.0,9.0,1.0,78.0,143.0,,,,,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2018_9_8_HAM@TOR,2018-09-08,2018,1,CFL,HAM,TOR,,,27.0,7.0,8.0,1.0,39.0,91.0,7.0,1.0,,,7.0,,,,1.0,1.0,8.0,1.0
