game_id,date,season,week,league,away,home,1pt_conversion,3pt_pass,receiving_tds,receiving_yards,receptions
SYNTHETIC_UFL_2025_W1_PANTHERS,2025-03-30,2025,1,UFL,SHOWBOATS,PANTHERS,,,0.0,40.0,5.0
SYNTHETIC_UFL_2025_W2_PANTHERS,2025-04-04,2025,2,UFL,PANTHERS,STALLIONS,,,0.0,12.0,2.0
SYNTHETIC_UFL_2025_W3_PANTHERS,2025-04-13,2025,3,UFL,PANTHERS,BRAHMAS,,,0.0,54.0,5.0
SYNTHETIC_UFL_2025_W4_PANTHERS,2025-04-18,2025,4,UFL,PANTHERS,SHOWBOATS,,,0.0,34.0,3.0
SYNTHETIC_UFL_2025_W5_PANTHERS,2025-04-26,2025,5,UFL,BATTLEHAWKS,PANTHERS,,,1.0,71.0,8.0
SYNTHETIC_UFL_2025_W6_PANTHERS,2025-05-04,2025,6,UFL,PANTHERS,DEFENDERS,1.0,,1.0,34.0,4.0
SYNTHETIC_UFL_2025_W7_PANTHERS,2025-05-10,2025,7,UFL,RENEGADES,PANTHERS,,1.0,1.0,49.0,4.0
SYNTHETIC_UFL_2025_W8_PANTHERS,2025-05-17,2025,8,UFL,ROUGHNECKS,PANTHERS,,,1.0,40.0,4.0
SYNTHETIC_UFL_2025_W9_PANTHERS,2025-05-24,2025,9,UFL,STALLIONS,PANTHERS,,,0.0,30.0,4.0
SYNTHETIC_UFL_2025_W10_PANTHERS,2025-05-31,2025,10,UFL,PANTHERS,ROUGHNECKS,,,0.0,1.0,1.0
