game_id,date,season,week,league,away,home,def_solo,def_tot,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rush_att,rush_lg,rush_td,rush_yds,rushing_tds,rushing_yards,score_conv,score_p,score_pts,score_r,score_tot
FOOTBALL_CFL_2017_10_13_OTT@SSK,2017-10-13,2017,1,CFL,OTT,SSK,,,,,,12.0,4.0,5.0,,12.0,14.0,,,,10.0,10.0,,58.0,,,,,,,
FOOTBALL_CFL_2017_10_27_HAM@OTT,2017-10-27,2017,1,CFL,HAM,OTT,,,,,,4.0,1.0,1.0,,1.0,4.0,12.0,1.0,12.0,17.0,,2.0,133.0,,,2.0,,16.0,2.0,2.0
FOOTBALL_CFL_2017_10_7_OTT@BC,2017-10-07,2017,1,CFL,OTT,BC,,,,,,11.0,5.0,6.0,,25.0,32.0,,,,17.0,17.0,,92.0,,,,,,,
FOOTBALL_CFL_2017_11_12_SSK@OTT,2017-11-12,2017,1,CFL,SSK,OTT,1.0,1.0,,,,8.0,5.0,7.0,,10.0,27.0,,,,8.0,15.0,,50.0,,,,,,,
FOOTBALL_CFL_2017_6_23_CGY@OTT,2017-06-23,2017,1,CFL,CGY,OTT,,,,,,,1.0,1.0,1.0,3.0,6.0,,,,6.0,15.0,,30.0,,,,1.0,6.0,,1.0
FOOTBALL_CFL_2017_7_14_OTT@EDM,2017-07-14,2017,1,CFL,OTT,EDM,,,,,,14.0,4.0,5.0,,36.0,40.0,,,,15.0,14.0,1.0,46.0,,,,,6.0,1.0,1.0
FOOTBALL_CFL_2017_7_19_MTL@OTT,2017-07-19,2017,1,CFL,MTL,OTT,,,,,,12.0,6.0,9.0,,43.0,50.0,,,,11.0,8.0,,42.0,,,,,,,
FOOTBALL_CFL_2017_7_24_OTT@TOR,2017-07-24,2017,1,CFL,OTT,TOR,1.0,1.0,,,,13.0,3.0,5.0,,18.0,27.0,24.0,2.0,40.0,13.0,22.0,,69.0,,,,,,,
FOOTBALL_CFL_2017_8_18_OTT@HAM,2017-08-18,2017,1,CFL,OTT,HAM,,,,,,14.0,2.0,5.0,,16.0,24.0,,,,12.0,9.0,,33.0,,,,,,,
FOOTBALL_CFL_2017_8_4_WPG@OTT,2017-08-04,2017,1,CFL,WPG,OTT,,,,,,18.0,3.0,3.0,,30.0,30.0,,,,8.0,,1.0,85.0,,,1.0,,8.0,1.0,1.0
FOOTBALL_CFL_2017_9_17_OTT@MTL,2017-09-17,2017,1,CFL,OTT,MTL,,,,,,4.0,1.0,2.0,,4.0,4.0,,,,25.0,12.0,,144.0,,,,,,,
FOOTBALL_CFL_2017_9_22_OTT@WPG,2017-09-22,2017,1,CFL,OTT,WPG,,,,,,,,1.0,,,,,,,14.0,17.0,1.0,107.0,,,,,6.0,1.0,1.0
FOOTBALL_CFL_2017_9_29_SSK@OTT,2017-09-29,2017,1,CFL,SSK,OTT,,,,,,7.0,2.0,2.0,,7.0,11.0,,,,26.0,32.0,,187.0,,,1.0,,2.0,,
SYNTHETIC_CFL_2022_W4_OTT,,2022,4,CFL,,,,,0.0,7.0,1.0,,,,,,,,,,,,,,1.0,55.0,,,,,
SYNTHETIC_CFL_2022_W5_OTT,,2022,5,CFL,,,,,0.0,8.0,1.0,,,,,,,,,,,,,,0.0,58.0,,,,,
SYNTHETIC_CFL_2022_W6_OTT,2022-07-16,2022,6,CFL,OTT,HAM,,,0.0,7.0,2.0,,,,,,,,,,,,,,0.0,28.0,,,,,
SYNTHETIC_CFL_2022_W7_OTT,2022-07-21,2022,7,CFL,MTL,OTT,,,0.0,0.0,1.0,,,,,,,,,,,,,,0.0,79.0,,,,,
SYNTHETIC_CFL_2022_W8_OTT,2022-07-31,2022,8,CFL,OTT,TOR,,,0.0,5.0,1.0,,,,,,,,,,,,,,0.0,50.0,,,,,
SYNTHETIC_CFL_2022_W9_OTT,2022-08-05,2022,9,CFL,CGY,OTT,,,0.0,15.0,2.0,,,,,,,,,,,,,,0.0,26.0,,,,,
