game_id,date,season,week,league,away,home,1pt_conversion,conversions,interceptions_lost,lost_fumbles,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
SYNTHETIC_USFL_W1_TB,,,1,USFL,,,,,2.0,0.0,1.0,185.0,,,,0.0,7.0,,
SYNTHETIC_USFL_W2_TB,,,2,USFL,,,,,1.0,,0.0,62.0,,,,0.0,45.0,,
SYNTHETIC_USFL_W3_TB,,,3,USFL,,,,,1.0,0.0,1.0,255.0,,,,1.0,29.0,,
SYNTHETIC_USFL_W4_TB,,,4,USFL,,,,,0.0,,1.0,125.0,,,,0.0,34.0,,
SYNTHETIC_USFL_W5_TB,,,5,USFL,,,,,0.0,0.0,2.0,207.0,,,,0.0,27.0,,
SYNTHETIC_USFL_W6_TB,,,6,USFL,,,,,1.0,,4.0,333.0,,,,0.0,61.0,,
SYNTHETIC_USFL_W7_TB,,,7,USFL,,,,,3.0,0.0,1.0,237.0,,,,0.0,18.0,,
SYNTHETIC_USFL_W8_TB,,,8,USFL,,,,,1.0,0.0,1.0,98.0,,,,0.0,35.0,,
SYNTHETIC_USFL_W9_TB,,,9,USFL,,,,0.0,2.0,0.0,1.0,288.0,,,,0.0,86.0,,
SYNTHETIC_USFL_W10_TB,,,10,USFL,,,,0.0,1.0,0.0,2.0,225.0,,,,0.0,22.0,,
FOOTBALL_XFL_2023_2_19_SEA@DC,2023-02-19,2023,1,XFL,SEA,DC,,,1.0,,,86.0,,,,1.0,9.0,,
SYNTHETIC_XFL_2023_W1_DEFENDERS,,2023,1,XFL,,,,1.0,,,,,,,,,,,
FOOTBALL_XFL_2023_2_25_DC@VGS,2023-02-25,2023,2,XFL,DC,VGS,,,,2.0,,93.0,,,,,68.0,,
FOOTBALL_XFL_2023_3_5_STL@DC,2023-03-05,2023,3,XFL,STL,DC,,,,1.0,1.0,196.0,,,,1.0,22.0,,
SYNTHETIC_XFL_2023_W3_DEFENDERS,,2023,3,XFL,,,0.0,2.0,,,,,,,,,,,
FOOTBALL_XFL_2023_3_12_VGS@DC,2023-03-12,2023,4,XFL,VGS,DC,,,,,,177.0,,,,,89.0,,
SYNTHETIC_XFL_2023_W4_DEFENDERS,,2023,4,XFL,,,0.0,1.0,,,,,,,,,,,
FOOTBALL_XFL_2023_3_18_DC@STL,2023-03-18,2023,5,XFL,DC,STL,,,,,,90.0,,,,,23.0,0.0,0.0
SYNTHETIC_XFL_2023_W5_DEFENDERS,,2023,5,XFL,,,0.0,2.0,,,,,,,,,,,
FOOTBALL_XFL_2023_3_27_HOU@DC,2023-03-27,2023,6,XFL,HOU,DC,,,,,2.0,245.0,,,,,-5.0,,
SYNTHETIC_XFL_2023_W6_DEFENDERS,,2023,6,XFL,,,0.0,2.0,,,,,,,,,,,
