game_id,date,season,week,league,away,home,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
SYNTHETIC_UFL_2024_W2_DEFENDERS,,2024,2,UFL,,,0.0,11.0,2.0,1.0,29.0
SYNTHETIC_UFL_2024_W3_DEFENDERS,,2024,3,UFL,,,,,,0.0,2.0
SYNTHETIC_UFL_2024_W4_DEFENDERS,,2024,4,UFL,,,0.0,0.0,0.0,,
SYNTHETIC_UFL_2024_W6_DEFENDERS,,2024,6,UFL,,,,,,0.0,63.0
SYNTHETIC_UFL_2024_W7_DEFENDERS,,2024,7,UFL,,,0.0,9.0,1.0,0.0,-2.0
SYNTHETIC_UFL_2024_W8_DEFENDERS,,2024,8,UFL,,,0.0,-4.0,1.0,0.0,37.0
SYNTHETIC_UFL_2024_W9_DEFENDERS,,2024,9,UFL,,,,,,0.0,46.0
SYNTHETIC_UFL_2024_W10_DEFENDERS,,2024,10,UFL,,,0.0,16.0,2.0,0.0,-2.0
SYNTHETIC_UFL_2025_W1_DEFENDERS,,2025,1,UFL,,,,,,0.0,2.0
SYNTHETIC_UFL_2025_W7_DEFENDERS,,2025,7,UFL,,,,,,0.0,1.0
SYNTHETIC_UFL_2025_W10_DEFENDERS,,2025,10,UFL,,,0.0,5.0,1.0,0.0,0.0
