game_id,date,season,week,league,away,home,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,score_pts,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
FOOTBALL_CFL_2016_10_15_SSK@TOR,2016-10-15,2016,1,CFL,SSK,TOR,71.0,4.0,4.0,45.0,248.0,9.0,2.0,2.0,41.0,9.0,3.0,3.0
FOOTBALL_CFL_2016_10_22_MTL@SSK,2016-10-22,2016,1,CFL,MTL,SSK,58.0,3.0,3.0,47.0,156.0,4.0,1.0,1.0,42.0,4.0,1.0,1.0
FOOTBALL_CFL_2016_10_29_BC@SSK,2016-10-29,2016,1,CFL,BC,SSK,60.0,2.0,2.0,51.0,117.0,6.0,2.0,2.0,42.0,6.0,,
FOOTBALL_CFL_2016_10_7_SSK@OTT,2016-10-07,2016,1,CFL,SSK,OTT,67.0,3.0,2.0,51.0,192.0,20.0,7.0,6.0,50.0,20.0,2.0,2.0
FOOTBALL_CFL_2016_11_5_SSK@BC,2016-11-05,2016,1,CFL,SSK,BC,69.0,4.0,4.0,60.0,248.0,6.0,2.0,1.0,28.0,5.0,2.0,2.0
FOOTBALL_CFL_2016_6_30_TOR@SSK,2016-06-30,2016,1,CFL,TOR,SSK,95.0,1.0,,,95.0,11.0,4.0,3.0,35.0,10.0,1.0,1.0
FOOTBALL_CFL_2016_7_16_BC@SSK,2016-07-16,2016,1,CFL,BC,SSK,72.0,4.0,4.0,142.0,278.0,15.0,5.0,4.0,47.0,14.0,2.0,2.0
FOOTBALL_CFL_2016_7_22_OTT@SSK,2016-07-22,2016,1,CFL,OTT,SSK,74.0,4.0,4.0,91.0,256.0,17.0,5.0,5.0,53.0,17.0,2.0,2.0
FOOTBALL_CFL_2016_7_29_SSK@MTL,2016-07-29,2016,1,CFL,SSK,MTL,66.0,2.0,2.0,62.0,126.0,3.0,1.0,1.0,38.0,3.0,,
FOOTBALL_CFL_2016_7_8_SSK@EDM,2016-07-08,2016,1,CFL,SSK,EDM,69.0,5.0,4.0,89.0,272.0,12.0,3.0,3.0,45.0,12.0,4.0,3.0
FOOTBALL_CFL_2016_8_20_SSK@HAM,2016-08-20,2016,1,CFL,SSK,HAM,95.0,2.0,1.0,19.0,152.0,6.0,2.0,2.0,43.0,6.0,,
FOOTBALL_CFL_2016_8_26_SSK@EDM,2016-08-26,2016,1,CFL,SSK,EDM,70.0,5.0,4.0,50.0,256.0,5.0,1.0,1.0,29.0,5.0,3.0,2.0
FOOTBALL_CFL_2016_9_10_SSK@WPG,2016-09-10,2016,1,CFL,SSK,WPG,64.0,3.0,3.0,54.0,185.0,4.0,1.0,1.0,14.0,4.0,1.0,1.0
FOOTBALL_CFL_2016_9_18_EDM@SSK,2016-09-18,2016,1,CFL,EDM,SSK,84.0,3.0,3.0,26.0,180.0,4.0,1.0,1.0,48.0,4.0,1.0,1.0
FOOTBALL_CFL_2016_9_24_HAM@SSK,2016-09-24,2016,1,CFL,HAM,SSK,69.0,2.0,2.0,52.0,125.0,8.0,2.0,2.0,48.0,8.0,2.0,2.0
FOOTBALL_CFL_2016_9_4_WPG@SSK,2016-09-04,2016,1,CFL,WPG,SSK,63.0,4.0,4.0,53.0,224.0,3.0,3.0,1.0,41.0,3.0,1.0,
