game_id,date,season,week,league,away,home,ret_lg,ret_num,ret_ret,ret_ryds,ret_td,ret_yds,score_pts,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
FOOTBALL_CFL_2021_10_11_OTT@MTL,2021-10-11,2021,1,CFL,OTT,MTL,67.0,7.0,7.0,145.0,,417.0,8.0,2.0,2.0,45.0,8.0,2.0,2.0
FOOTBALL_CFL_2021_10_16_MTL@OTT,2021-10-16,2021,1,CFL,MTL,OTT,72.0,6.0,6.0,118.0,,362.0,11.0,3.0,3.0,28.0,11.0,2.0,2.0
FOOTBALL_CFL_2021_10_22_TOR@MTL,2021-10-22,2021,1,CFL,TOR,MTL,63.0,6.0,6.0,137.0,,350.0,12.0,5.0,3.0,43.0,12.0,4.0,3.0
FOOTBALL_CFL_2021_10_2_MTL@HAM,2021-10-02,2021,1,CFL,MTL,HAM,73.0,5.0,5.0,126.0,,313.0,11.0,4.0,3.0,36.0,11.0,2.0,2.0
FOOTBALL_CFL_2021_10_30_SSK@MTL,2021-10-30,2021,1,CFL,SSK,MTL,60.0,3.0,3.0,60.0,,120.0,7.0,2.0,2.0,45.0,7.0,1.0,1.0
FOOTBALL_CFL_2021_11_13_WPG@MTL,2021-11-13,2021,1,CFL,WPG,MTL,63.0,5.0,5.0,76.0,,288.0,9.0,2.0,2.0,28.0,9.0,3.0,3.0
FOOTBALL_CFL_2021_11_19_OTT@MTL,2021-11-19,2021,1,CFL,OTT,MTL,65.0,5.0,5.0,86.0,,274.0,6.0,2.0,2.0,47.0,6.0,1.0,
FOOTBALL_CFL_2021_11_28_MTL@HAM,2021-11-28,2021,1,CFL,MTL,HAM,58.0,3.0,3.0,65.0,,171.0,4.0,1.0,1.0,17.0,4.0,1.0,1.0
FOOTBALL_CFL_2021_11_6_MTL@WPG,2021-11-06,2021,1,CFL,MTL,WPG,62.0,3.0,3.0,82.0,,183.0,3.0,,,,3.0,3.0,3.0
FOOTBALL_CFL_2021_8_14_MTL@EDM,2021-08-14,2021,1,CFL,MTL,EDM,66.0,4.0,4.0,84.0,,259.0,12.0,4.0,3.0,47.0,12.0,3.0,3.0
FOOTBALL_CFL_2021_8_20_MTL@CGY,2021-08-20,2021,1,CFL,MTL,CGY,73.0,5.0,5.0,133.0,,341.0,4.0,1.0,,,3.0,3.0,3.0
FOOTBALL_CFL_2021_8_27_HAM@MTL,2021-08-27,2021,1,CFL,HAM,MTL,71.0,3.0,3.0,84.0,,203.0,4.0,1.0,1.0,29.0,4.0,1.0,1.0
FOOTBALL_CFL_2021_9_18_BC@MTL,2021-09-18,2021,1,CFL,BC,MTL,57.0,1.0,1.0,15.0,,57.0,18.0,6.0,6.0,49.0,18.0,,
FOOTBALL_CFL_2021_9_24_MTL@TOR,2021-09-24,2021,1,CFL,MTL,TOR,65.0,4.0,4.0,77.0,,200.0,9.0,2.0,2.0,38.0,9.0,3.0,3.0
FOOTBALL_CFL_2021_9_3_MTL@OTT,2021-09-03,2021,1,CFL,MTL,OTT,69.0,10.0,10.0,279.0,,637.0,15.0,5.0,3.0,37.0,15.0,6.0,6.0
FOOTBALL_CFL_2022_10_10_OTT@MTL,2022-10-10,2022,1,CFL,OTT,MTL,67.0,2.0,2.0,36.0,,118.0,12.0,4.0,4.0,25.0,12.0,,
FOOTBALL_CFL_2022_10_14_MTL@OTT,2022-10-14,2022,1,CFL,MTL,OTT,73.0,5.0,5.0,99.0,,324.0,10.0,2.0,2.0,45.0,10.0,4.0,4.0
FOOTBALL_CFL_2022_10_1_MTL@EDM,2022-10-01,2022,1,CFL,MTL,EDM,75.0,4.0,4.0,69.0,,272.0,5.0,3.0,1.0,52.0,5.0,2.0,2.0
FOOTBALL_CFL_2022_10_22_TOR@MTL,2022-10-22,2022,1,CFL,TOR,MTL,69.0,4.0,4.0,122.0,,254.0,11.0,3.0,3.0,47.0,11.0,2.0,2.0
FOOTBALL_CFL_2022_10_29_MTL@TOR,2022-10-29,2022,1,CFL,MTL,TOR,80.0,7.0,7.0,191.0,1.0,426.0,8.0,1.0,1.0,41.0,8.0,5.0,5.0
FOOTBALL_CFL_2022_11_13_MTL@TOR,2022-11-13,2022,1,CFL,MTL,TOR,66.0,2.0,2.0,47.0,,131.0,13.0,4.0,4.0,35.0,13.0,1.0,1.0
FOOTBALL_CFL_2022_11_6_HAM@MTL,2022-11-06,2022,1,CFL,HAM,MTL,63.0,5.0,5.0,83.0,,281.0,9.0,3.0,2.0,33.0,9.0,3.0,3.0
FOOTBALL_CFL_2022_6_16_MTL@TOR,2022-06-16,2022,1,CFL,MTL,TOR,68.0,2.0,2.0,51.0,,132.0,13.0,5.0,4.0,43.0,12.0,,
FOOTBALL_CFL_2022_6_23_SSK@MTL,2022-06-23,2022,1,CFL,SSK,MTL,68.0,4.0,4.0,96.0,,261.0,18.0,5.0,5.0,48.0,18.0,3.0,3.0
FOOTBALL_CFL_2022_6_9_MTL@CGY,2022-06-09,2022,1,CFL,MTL,CGY,71.0,4.0,4.0,92.0,,278.0,9.0,3.0,2.0,26.0,9.0,3.0,3.0
