game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,fg_made,forced_fumbles,fumble_recoveries,kick_returns,kr_avg,kr_long,kr_tds,kr_yards,sacks,safeties,tackles
FOOTBALL_UFL_2024_3_30_BHAM@ARL,2024-03-30,2024,1,UFL,BHAM,ARL,,,,,,1.0,,,,,,,,,,
FOOTBALL_UFL_2024_6_8_MICH@BHAM,2024-06-08,2024,1,UFL,MICH,BHAM,,,,,,2.0,,,,,,,,,,
FOOTBALL_UFL_2024_4_7_BHAM@MICH,2024-04-07,2024,2,UFL,BHAM,MICH,,,,,,4.0,,,,,,,,,,
FOOTBALL_UFL_2024_6_16_BHM@SA,2024-06-16,2024,2,UFL,BHM,SA,,,,,,1.0,,,,,,,,,,
FOOTBALL_UFL_2024_4_13_MEM@BHAM,2024-04-13,2024,3,UFL,MEM,BHAM,,,,,,3.0,,,,,,,,,,
FOOTBALL_NAL_2025_3_8_T425360G979249@T450150,2025-03-09,2025,1,NAL,Omaha Beef,Shreveport Rouxgaroux,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,,,0.0,0.0,1.0
FOOTBALL_NAL_2025_3_15_T425357G979252@T425360,2025-03-15,2025,2,NAL,Colorado Spartans,Omaha Beef,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,,,,,,0.0,0.0,1.0
FOOTBALL_UFL_2025_4_6_HOU@ARL,2025-04-06,2025,2,UFL,HOU,ARL,,,,,,1.0,,,,,,,,,,
FOOTBALL_UFL_2025_4_12_HOU@MEM,2025-04-12,2025,3,UFL,HOU,MEM,,,,,,2.0,,,,,,,,,,
FOOTBALL_NAL_2025_3_29_T425358G979260@T425360,2025-03-29,2025,4,NAL,Idaho Horsemen,Omaha Beef,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,23.0,25.0,0.0,47.0,0.0,0.0,2.0
FOOTBALL_UFL_2025_4_19_BHM@HOU,2025-04-19,2025,4,UFL,BHM,HOU,,,,,,1.0,,,,,,,,,,
FOOTBALL_UFL_2025_4_27_HOU@SA,2025-04-27,2025,5,UFL,HOU,SA,,,,,,2.0,,,,,,,,,,
FOOTBALL_NAL_2025_4_13_T425360G979263@T463723,2025-04-13,2025,6,NAL,Omaha Beef,Beaumont Renegades,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,,,0.0,0.0,3.0
FOOTBALL_UFL_2025_5_3_MEM@HOU,2025-05-03,2025,6,UFL,MEM,HOU,,,,,,2.0,,,,,,,,,,
FOOTBALL_NAL_2025_4_19_T425361G979267@T425360,2025-04-19,2025,7,NAL,Sioux City Bandits,Omaha Beef,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,23.0,23.0,0.0,23.0,0.0,0.0,1.0
FOOTBALL_UFL_2025_5_17_MICH@HOU,2025-05-17,2025,8,UFL,MICH,HOU,,,,,,2.0,,,,,,,,,,
FOOTBALL_UFL_2025_5_25_DC@HOU,2025-05-25,2025,9,UFL,DC,HOU,,,,,,1.0,,,,,,,,,,
FOOTBALL_NAL_2025_5_10_T425360G979281@T425361,2025-05-11,2025,10,NAL,Omaha Beef,Sioux City Bandits,0.0,1.0,0.0,0.0,1.0,,0.0,0.0,,,,,,0.0,0.0,0.0
FOOTBALL_UFL_2025_5_31_HOU@MICH,2025-05-31,2025,10,UFL,HOU,MICH,,,,,,2.0,,,,,,,,,,
FOOTBALL_NAL_2026_3_14_T577047G1127139@T566774,2026-03-14,2026,2,NAL,Pueblo Punishers,Omaha Beef,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,,,,,,0.0,0.0,2.0
FOOTBALL_NAL_2026_3_28_T566774G1127145@T600414,2026-03-28,2026,4,NAL,Omaha Beef,Southwest Kansas Storm,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,0.0,0.0,1.0
FOOTBALL_NAL_2026_4_4_T570666G1127150@T566774,2026-04-04,2026,5,NAL,Sioux City Bandits,Omaha Beef,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,0.0,0.0,1.0
FOOTBALL_NAL_2026_4_18_T566774G1127156@T570667,2026-04-19,2026,7,NAL,Omaha Beef,Colorado Spartans,3.0,0.0,0.0,1.0,0.0,,0.0,0.0,,,,,,0.0,0.0,2.0
FOOTBALL_NAL_2026_4_25_T581933G1127161@T566774,2026-04-25,2026,8,NAL,Dallas Bulls,Omaha Beef,1.0,0.0,0.0,1.0,0.0,,0.0,0.0,,,,,,0.0,0.0,3.0
FOOTBALL_NAL_2026_5_9_T573852G1127170@T566774,2026-05-09,2026,10,NAL,Louisiana Rouxgaroux,Omaha Beef,2.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,,,0.0,0.0,1.0
