game_id,date,season,week,league,away,home,conversions,receiving_tds,receiving_yards,receptions,rushing_tds
SYNTHETIC_USFL_2022_W4_BHAM,,2022,4,USFL,,,,0.0,12.0,1.0,
SYNTHETIC_USFL_2022_W6_BHAM,,2022,6,USFL,,,,0.0,0.0,0.0,
SYNTHETIC_USFL_2022_W7_BHAM,,2022,7,USFL,,,,0.0,46.0,2.0,0.0
SYNTHETIC_USFL_2022_W8_BHAM,,2022,8,USFL,,,,0.0,-1.0,1.0,
SYNTHETIC_USFL_2022_W9_BHAM,,2022,9,USFL,,,,0.0,31.0,4.0,
SYNTHETIC_USFL_2022_W10_BHAM,,2022,10,USFL,,,,0.0,60.0,3.0,
SYNTHETIC_USFL_2023_W1_BREAKERS,2023-04-16,2023,1,USFL,BREAKERS,MAULERS,,0.0,85.0,5.0,
SYNTHETIC_USFL_2023_W3_BREAKERS,2023-04-29,2023,3,USFL,STALLIONS,BREAKERS,,0.0,51.0,4.0,
SYNTHETIC_USFL_2023_W5_BREAKERS,2023-05-14,2023,5,USFL,BREAKERS,SHOWBOATS,,0.0,36.0,6.0,
SYNTHETIC_USFL_2023_W11_BREAKERS,,2023,11,USFL,,,,1.0,50.0,7.0,
4,2024-03-31,2024,1,UFL,ROUGHNECKS,SHOWBOATS,,0.0,38.0,2.0,
5,2024-04-06,2024,2,UFL,SHOWBOATS,BRAHMAS,,0.0,32.0,4.0,
10,2024-04-13,2024,3,UFL,STALLIONS,SHOWBOATS,,0.0,40.0,4.0,
13,2024-04-20,2024,4,UFL,BATTLEHAWKS,SHOWBOATS,1.0,0.0,24.0,4.0,
20,2024-04-28,2024,5,UFL,SHOWBOATS,PANTHERS,,1.0,31.0,2.0,
21,2024-05-04,2024,6,UFL,SHOWBOATS,STALLIONS,,1.0,10.0,1.0,
25,2024-05-11,2024,7,UFL,RENEGADES,SHOWBOATS,,0.0,5.0,1.0,
29,2024-05-18,2024,8,UFL,PANTHERS,SHOWBOATS,,0.0,55.0,5.0,
35,2024-05-26,2024,9,UFL,SHOWBOATS,DEFENDERS,,0.0,4.0,1.0,
40,2024-06-02,2024,10,UFL,SHOWBOATS,ROUGHNECKS,,0.0,30.0,3.0,
48,2025-04-05,2025,2,UFL,DEFENDERS,SHOWBOATS,,1.0,121.0,11.0,
58,2025-04-25,2025,5,UFL,STALLIONS,SHOWBOATS,,0.0,94.0,6.0,
66,2025-05-10,2025,7,UFL,RENEGADES,PANTHERS,,0.0,24.0,4.0,
68,2025-05-11,2025,7,UFL,SHOWBOATS,BATTLEHAWKS,1.0,0.0,64.0,5.0,
82,2025-05-17,2025,8,UFL,ROUGHNECKS,PANTHERS,,0.0,38.0,5.0,
75,2025-05-30,2025,10,UFL,DEFENDERS,BATTLEHAWKS,,0.0,34.0,3.0,
77,2025-06-01,2025,10,UFL,BRAHMAS,RENEGADES,,0.0,5.0,1.0,
