game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,forced_fumbles,fumble_recoveries,sack_yards,sacks,safeties,solo_tackles,tackles,tackles_for_loss,tfl_yards
FOOTBALL_NAL_2025_3_14_T425358G979254@T425361,2025-03-15,2025,2,NAL,Idaho Horsemen,Sioux City Bandits,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,,
FOOTBALL_NAL_2025_3_29_T425358G979260@T425360,2025-03-29,2025,4,NAL,Idaho Horsemen,Omaha Beef,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,3.0,,
FOOTBALL_NAL_2025_4_3_T450150G979261@T425358,2025-04-04,2025,5,NAL,Shreveport Rouxgaroux,Idaho Horsemen,1.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,,
FOOTBALL_NAL_2025_4_10_T425356G979264@T425358,2025-04-11,2025,6,NAL,Carolina Cobras,Idaho Horsemen,3.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,3.0,,
FOOTBALL_NAL_2025_4_19_T425358G979269@T425357,2025-04-20,2025,7,NAL,Idaho Horsemen,Colorado Spartans,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,0.0,,2.0,,
FOOTBALL_NAL_2025_5_4_T425361G981353@T425358,2025-05-04,2025,9,NAL,Sioux City Bandits,Idaho Horsemen,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.5,0.0,,1.0,,
FOOTBALL_IFL_2026_3_22_TORLANDOPIRATESG20260322MNDZ@TNEWMEXICOCHUPACABRAS,2026-03-22,2026,2,IFL,Orlando Pirates,New Mexico Chupacabras,3.0,,,,,,,10.0,1.5,,5.0,8.0,2.5,12.0
FOOTBALL_IFL_2026_4_5_TQUADCITYSTEAMWHEELERSG20260405ZTCZ@TORLANDOPIRATES,2026-04-05,2026,4,IFL,Quad City Steamwheelers,Orlando Pirates,0.0,,,,,,,,,,5.0,5.0,3.0,0.0
FOOTBALL_IFL_2026_4_17_TORLANDOPIRATESG202604173EPG@TJACKSONVILLESHARKS,2026-04-17,2026,6,IFL,Orlando Pirates,Jacksonville Sharks,1.0,,,,,,,,,,0.0,1.0,,
FOOTBALL_IFL_2026_4_24_TORLANDOPIRATESG20260424R5XA@TGREENBAYBLIZZARD,2026-04-24,2026,7,IFL,Orlando Pirates,Green Bay Blizzard,1.0,,,,,,,,,,7.0,8.0,,
FOOTBALL_IFL_2026_5_9_TFISHERSFREIGHTG202605096WJ9@TORLANDOPIRATES,2026-05-09,2026,9,IFL,Fishers Freight,Orlando Pirates,1.0,,,,,,,,,,1.0,2.0,,
FOOTBALL_IFL_2026_5_18_TVEGASKNIGHTHAWKSG20260518L91R@TORLANDOPIRATES,2026-05-18,2026,10,IFL,Vegas Knight Hawks,Orlando Pirates,5.0,,,,,,,,,,0.0,5.0,,
