game_id,date,season,week,league,away,home,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds,ret_lg,ret_num,ret_td,ret_yds,rush_att,score_pr,score_pts,score_tot
FOOTBALL_CFL_2017_10_13_OTT@SSK,2017-10-13,2017,1,CFL,OTT,SSK,,,1.0,,,30.0,5.0,,106.0,,,,
FOOTBALL_CFL_2017_10_20_SSK@CGY,2017-10-20,2017,1,CFL,SSK,CGY,,,,,,61.0,7.0,1.0,94.0,,1.0,6.0,1.0
FOOTBALL_CFL_2017_10_27_MTL@SSK,2017-10-27,2017,1,CFL,MTL,SSK,6.0,1.0,1.0,6.0,6.0,40.0,1.0,,40.0,,,,
FOOTBALL_CFL_2017_10_7_SSK@TOR,2017-10-07,2017,1,CFL,SSK,TOR,,,,,,45.0,3.0,,92.0,,,,
FOOTBALL_CFL_2017_11_12_SSK@OTT,2017-11-12,2017,1,CFL,SSK,OTT,,,,,,43.0,4.0,,64.0,,,,
FOOTBALL_CFL_2017_11_19_SSK@TOR,2017-11-19,2017,1,CFL,SSK,TOR,,,,,,79.0,8.0,1.0,159.0,,1.0,6.0,1.0
FOOTBALL_CFL_2017_11_4_EDM@SSK,2017-11-04,2017,1,CFL,EDM,SSK,,,,,,16.0,3.0,,27.0,,,,
FOOTBALL_CFL_2017_8_13_BC@SSK,2017-08-13,2017,1,CFL,BC,SSK,,,,,,27.0,2.0,,47.0,,,,
FOOTBALL_CFL_2017_8_25_SSK@EDM,2017-08-25,2017,1,CFL,SSK,EDM,,,,,,18.0,3.0,,33.0,,,,
FOOTBALL_CFL_2017_8_5_SSK@BC,2017-08-05,2017,1,CFL,SSK,BC,,,,,,30.0,2.0,,47.0,,,,
FOOTBALL_CFL_2017_9_24_CGY@SSK,2017-09-24,2017,1,CFL,CGY,SSK,,,,,,22.0,3.0,,48.0,1.0,,,
FOOTBALL_CFL_2017_9_29_SSK@OTT,2017-09-29,2017,1,CFL,SSK,OTT,,,,,,22.0,2.0,1.0,43.0,,1.0,6.0,1.0
FOOTBALL_CFL_2018_6_15_TOR@SSK,2018-06-15,2018,1,CFL,TOR,SSK,,,,,,25.0,3.0,,59.0,,,,
FOOTBALL_CFL_2018_6_21_SSK@OTT,2018-06-21,2018,1,CFL,SSK,OTT,,,,,,37.0,6.0,,155.0,,,,
FOOTBALL_CFL_2018_6_30_MTL@SSK,2018-06-30,2018,1,CFL,MTL,SSK,,,,,,36.0,3.0,,77.0,,,,
FOOTBALL_CFL_2018_7_19_SSK@HAM,2018-07-19,2018,1,CFL,SSK,HAM,,,,,,33.0,3.0,1.0,74.0,,1.0,6.0,1.0
FOOTBALL_CFL_2018_7_28_CGY@SSK,2018-07-28,2018,1,CFL,CGY,SSK,,,,,,27.0,3.0,,71.0,,,,
FOOTBALL_CFL_2018_7_5_HAM@SSK,2018-07-05,2018,1,CFL,HAM,SSK,,,,,,25.0,2.0,,45.0,,,,
FOOTBALL_CFL_2018_8_19_CGY@SSK,2018-08-19,2018,1,CFL,CGY,SSK,,,,,,34.0,4.0,,96.0,,,,
FOOTBALL_CFL_2018_8_25_SSK@BC,2018-08-25,2018,1,CFL,SSK,BC,,,1.0,,,28.0,2.0,,43.0,,,,
FOOTBALL_CFL_2018_8_2_SSK@EDM,2018-08-02,2018,1,CFL,SSK,EDM,,,,,,27.0,4.0,,86.0,,,,
FOOTBALL_CFL_2018_9_2_WPG@SSK,2018-09-02,2018,1,CFL,WPG,SSK,,,,,,32.0,2.0,,53.0,,,,
