game_id,date,season,week,league,away,home,def_solo,def_tot,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_td,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_conv,score_kr,score_p,score_pr,score_pts,score_r,score_tot
FOOTBALL_CFL_2016_10_14_WPG@BC,2016-10-14,2016,1,CFL,WPG,BC,1.0,1.0,14.0,5.0,5.0,1.0,24.0,40.0,43.0,5.0,,132.0,,,,,,,1.0,,6.0,,1.0
FOOTBALL_CFL_2016_10_1_OTT@BC,2016-10-01,2016,1,CFL,OTT,BC,,,,2.0,2.0,1.0,1.0,34.0,26.0,5.0,,106.0,1.0,5.0,,5.0,,,1.0,,6.0,,1.0
FOOTBALL_CFL_2016_10_22_EDM@BC,2016-10-22,2016,1,CFL,EDM,BC,,,,,,,,,19.0,2.0,,31.0,3.0,16.0,,28.0,,,,,,,
FOOTBALL_CFL_2016_10_29_BC@SSK,2016-10-29,2016,1,CFL,BC,SSK,,,12.0,5.0,5.0,,19.0,23.0,29.0,2.0,,51.0,,,,,,,,,,,
FOOTBALL_CFL_2016_10_8_BC@WPG,2016-10-08,2016,1,CFL,BC,WPG,,,-1.0,1.0,2.0,,-1.0,-1.0,70.0,7.0,,174.0,3.0,,1.0,61.0,,,,,6.0,1.0,1.0
FOOTBALL_CFL_2016_11_13_WPG@BC,2016-11-13,2016,1,CFL,WPG,BC,,,37.0,4.0,5.0,,45.0,57.0,28.0,3.0,,69.0,7.0,15.0,,40.0,,,,,,,
FOOTBALL_CFL_2016_11_20_BC@CGY,2016-11-20,2016,1,CFL,BC,CGY,,,,5.0,6.0,1.0,3.0,18.0,22.0,5.0,,83.0,2.0,5.0,,8.0,,,1.0,,6.0,,1.0
FOOTBALL_CFL_2016_11_5_SSK@BC,2016-11-05,2016,1,CFL,SSK,BC,,,1.0,1.0,1.0,,1.0,1.0,25.0,3.0,,49.0,9.0,35.0,,89.0,1.0,,,,2.0,,
FOOTBALL_CFL_2016_6_25_CGY@BC,2016-06-25,2016,1,CFL,CGY,BC,,,5.0,1.0,1.0,,,5.0,24.0,2.0,1.0,43.0,1.0,,1.0,1.0,,,,1.0,12.0,1.0,2.0
FOOTBALL_CFL_2016_7_16_BC@SSK,2016-07-16,2016,1,CFL,BC,SSK,,,14.0,1.0,2.0,,14.0,14.0,48.0,3.0,,108.0,1.0,2.0,,2.0,1.0,,,,2.0,,
