game_id,date,season,week,league,away,home,assist_tackles,def_ast,def_solo,def_tot,fumble_rec_yards,fumbles_forced,fumbles_lost_game,fumbles_opp_rec,fumbles_own_rec,int_avg,int_long,int_tds,int_yards,interceptions_made,misc_forced,misc_td,misc_tot,score_fr,score_pts,score_tot,solo_tackles
FOOTBALL_CFL_2019_10_19_OTT@HAM,2019-10-19,2019,1,CFL,OTT,HAM,,,1.0,1.0,,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2019_10_26_OTT@TOR,2019-10-26,2019,1,CFL,OTT,TOR,,,1.0,1.0,,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2019_11_1_MTL@OTT,2019-11-01,2019,1,CFL,MTL,OTT,,,1.0,1.0,,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2019_2_16_SL@BIR,2019-02-16,2019,1,CFL,SL,BIR,,,1.0,1.0,,,,,,,,,,,,1.0,1.0,1.0,6.0,1.0,
FOOTBALL_CFL_2019_2_24_BIR@ATL,2019-02-24,2019,1,CFL,BIR,ATL,,1.0,,1.0,,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2019_3_17_BIR@SD,2019-03-17,2019,1,CFL,BIR,SD,,1.0,3.0,4.0,,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2019_3_24_BIR@MEM,2019-03-24,2019,1,CFL,BIR,MEM,,1.0,3.0,4.0,,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2019_3_31_ATL@BIR,2019-03-31,2019,1,CFL,ATL,BIR,,2.0,5.0,7.0,,,,,,,,,,,1.0,,,,,,
FOOTBALL_AAF_2019_2_16_SL@BIR,2019-02-16,2019,2,AAF,SL,BIR,0.0,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1.0
FOOTBALL_AAF_2019_2_24_BIR@ATL,2019-02-24,2019,3,AAF,BIR,ATL,1.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0
FOOTBALL_AAF_2019_3_17_BIR@SD,2019-03-17,2019,6,AAF,BIR,SD,1.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,3.0
FOOTBALL_AAF_2019_3_24_BIR@MEM,2019-03-24,2019,7,AAF,BIR,MEM,1.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,3.0
FOOTBALL_AAF_2019_3_31_ATL@BIR,2019-03-31,2019,8,AAF,ATL,BIR,2.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,5.0
