game_id,date,season,week,league,away,home,interceptions_made,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
SYNTHETIC_CFL_2023_W2_EDM,,2023,2,CFL,,,,,,,0.0,0.0,,
SYNTHETIC_CFL_2023_W3_EDM,,2023,3,CFL,,,,,,,0.0,5.0,,
SYNTHETIC_CFL_2023_W4_EDM,,2023,4,CFL,,,,0.0,6.0,1.0,0.0,13.0,,
SYNTHETIC_CFL_2023_W5_EDM,,2023,5,CFL,,,,0.0,31.0,1.0,0.0,20.0,,
SYNTHETIC_CFL_2023_W6_EDM,,2023,6,CFL,,,,0.0,23.0,1.0,0.0,16.0,,
SYNTHETIC_CFL_2023_W7_EDM,,2023,7,CFL,,,,0.0,0.0,0.0,,,,
SYNTHETIC_CFL_2023_W8_EDM,,2023,8,CFL,,,,0.0,5.0,1.0,0.0,18.0,,
SYNTHETIC_CFL_2023_W10_EDM,,2023,10,CFL,,,,,,,0.0,23.0,,
SYNTHETIC_CFL_2023_W11_EDM,,2023,11,CFL,,,0.0,,,,0.0,4.0,0.0,0.0
SYNTHETIC_CFL_2023_W12_EDM,,2023,12,CFL,,,,0.0,15.0,1.0,0.0,16.0,,
SYNTHETIC_CFL_2023_W13_EDM,,2023,13,CFL,,,,0.0,7.0,1.0,0.0,7.0,,
SYNTHETIC_CFL_2023_W15_EDM,,2023,15,CFL,,,,,,,0.0,16.0,,
SYNTHETIC_CFL_2023_W16_EDM,,2023,16,CFL,,,,,,,0.0,22.0,,
SYNTHETIC_CFL_2023_W18_EDM,,2023,18,CFL,,,0.0,,,,,,0.0,1.0
SYNTHETIC_CFL_2023_W19_EDM,,2023,19,CFL,,,,0.0,9.0,1.0,0.0,9.0,,
SYNTHETIC_CFL_2023_W20_EDM,,2023,20,CFL,,,,0.0,5.0,1.0,0.0,6.0,,
