game_id,date,season,week,league,away,home,assists,blocks,catches,completions,drops,goals,hockeyAssists,hucksCompleted,throwAttempts,throwaways,yardsReceived,yardsThrown
SYNTHETIC_AUDL_W2_CASCADES,,,2,AUDL,,,2.0,0.0,,,0.0,1.0,,,,0.0,64.0,187.0
2022-06-17-SEA-OAK,2022-06-17,2022,4,,SEA,OAK,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0
2022-06-18-SEA-COL,2022-06-18,2022,4,,SEA,COL,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0
2022-06-25-OAK-SEA,2022-06-25,2022,5,,OAK,SEA,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0
2022-07-08-SLC-SEA,2022-07-08,2022,7,,SLC,SEA,1.0,6.0,,,0.0,0.0,,,,1.0,12.0,40.0
2022-07-23-SD-SEA,2022-07-23,2022,9,,SD,SEA,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0
2023-05-05-COL-SD,2023-05-05,2023,2,,COL,SD,,2.0,8.0,6.0,,,,,7.0,,94.0,53.0
2023-05-06-COL-LA,2023-05-06,2023,2,,COL,LA,,,,,,2.0,,,,1.0,,
2023-05-13-SEA-COL,2023-05-13,2023,3,,SEA,COL,,1.0,8.0,7.0,,2.0,1.0,,7.0,,86.0,60.0
2023-05-20-LA-COL,2023-05-20,2023,4,,LA,COL,2.0,1.0,12.0,11.0,,1.0,,,12.0,1.0,97.0,48.0
2023-06-04-OAK-COL,2023-06-04,2023,6,,OAK,COL,1.0,,9.0,7.0,,1.0,,1.0,9.0,2.0,86.0,102.0
2023-06-09-SLC-COL,2023-06-09,2023,7,,SLC,COL,,,6.0,3.0,,2.0,,,4.0,1.0,29.0,17.0
2023-06-16-COL-SLC,2023-06-16,2023,8,,COL,SLC,,,11.0,10.0,,,,,10.0,,68.0,60.0
2023-06-17-COL-OAK,2023-06-17,2023,8,,COL,OAK,1.0,2.0,,,,2.0,2.0,1.0,,,,
2023-06-24-MIN-COL,2023-06-24,2023,9,,MIN,COL,,,11.0,10.0,,2.0,,,10.0,,67.0,101.0
