game_id,date,season,week,league,away,home,assisted_tackles,assists,blocks,def_interceptions,defensive_bk,defensive_pd,defensive_tds,drops,forced_fumbles,fumble_recoveries,goals,sacks,safeties,tackles,throwaways,yardsReceived,yardsThrown
2024-04-27-DC-SLC,2024-04-27,2024,1,UFA,breeze,shred,,0.0,0.0,,,,,0.0,,,0.0,,,,0.0,0.0,0.0
2024-05-03-SLC-SD,2024-05-03,2024,2,UFA,shred,growlers,,0.0,0.0,,,,,0.0,,,0.0,,,,0.0,41.0,15.0
2024-05-04-SLC-LA,2024-05-04,2024,2,UFA,shred,aviators,,0.0,1.0,,,,,0.0,,,0.0,,,,0.0,0.0,22.0
2024-05-17-SLC-OAK,2024-05-17,2024,4,UFA,shred,spiders,,0.0,0.0,,,,,0.0,,,0.0,,,,0.0,0.0,0.0
2024-05-18-SLC-COL,2024-05-18,2024,4,UFA,shred,summit,,0.0,0.0,,,,,0.0,,,0.0,,,,0.0,0.0,0.0
2024-05-25-SD-SLC,2024-05-25,2024,6,UFA,growlers,shred,,0.0,0.0,,,,,0.0,,,0.0,,,,0.0,0.0,0.0
2024-06-08-COL-SLC,2024-06-08,2024,7,UFA,summit,shred,,0.0,0.0,,,,,0.0,,,0.0,,,,0.0,0.0,0.0
2024-06-21-LA-SLC,2024-06-21,2024,9,UFA,aviators,shred,,0.0,0.0,,,,,0.0,,,0.0,,,,0.0,0.0,0.0
2024-06-29-SLC-NY,2024-06-29,2024,10,UFA,shred,empire,,0.0,0.0,,,,,0.0,,,0.0,,,,0.0,0.0,0.0
2024-07-05-POR-SLC,2024-07-05,2024,11,UFA,nitro,shred,,0.0,0.0,,,,,0.0,,,0.0,,,,0.0,0.0,0.0
2024-07-13-SLC-POR,2024-07-13,2024,12,UFA,shred,nitro,,0.0,0.0,,,,,0.0,,,0.0,,,,0.0,0.0,0.0
2024-07-19-SEA-SLC,2024-07-19,2024,13,UFA,cascades,shred,,0.0,0.0,,,,,0.0,,,0.0,,,,0.0,0.0,0.0
FOOTBALL_NAL_2025_3_8_T425361G979250@T463723,2025-03-09,2025,1,NAL,Sioux City Bandits,Beaumont Renegades,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,3.0,,,
FOOTBALL_NAL_2025_4_13_T425360G979263@T463723,2025-04-13,2025,6,NAL,Omaha Beef,Beaumont Renegades,2.0,,,0.0,0.0,1.0,0.0,,0.0,0.0,,0.0,0.0,7.0,,,
FOOTBALL_NAL_2025_4_18_T463723G979268@T434514,2025-04-18,2025,7,NAL,Beaumont Renegades,Columbus Lions,2.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,2.0,,,
FOOTBALL_NAL_2025_4_26_T463723G979273@T425361,2025-04-27,2025,8,NAL,Beaumont Renegades,Sioux City Bandits,1.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,4.0,,,
FOOTBALL_NAL_2025_5_17_T434514G979287@T463723,2025-05-17,2025,11,NAL,Columbus Lions,Beaumont Renegades,3.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,9.0,,,
