game_id,date,season,week,league,away,home,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,ret_lg,ret_num,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_pts,score_r,score_tot
FOOTBALL_CFL_2016_10_10_CGY@TOR,2016-10-10,2016,1,CFL,CGY,TOR,31.0,26.0,,25.0,33.0,6.0,2.0,215.0,,,,3.0,11.0,,19.0,,,
FOOTBALL_CFL_2016_10_15_SSK@TOR,2016-10-15,2016,1,CFL,SSK,TOR,23.0,11.0,,15.0,11.0,2.0,,87.0,40.0,1.0,40.0,2.0,18.0,,28.0,,,
FOOTBALL_CFL_2016_10_2_TOR@MTL,2016-10-02,2016,1,CFL,TOR,MTL,35.0,24.0,1.0,32.0,10.0,3.0,,226.0,,,,4.0,34.0,,44.0,,,
FOOTBALL_CFL_2016_6_24_MTL@WPG,2016-06-24,2016,1,CFL,MTL,WPG,34.0,25.0,1.0,,28.0,5.0,1.0,303.0,,,,3.0,20.0,,27.0,,,
FOOTBALL_CFL_2016_7_14_EDM@WPG,2016-07-14,2016,1,CFL,EDM,WPG,38.0,25.0,2.0,40.0,19.0,3.0,1.0,299.0,,,,3.0,8.0,,15.0,,,
FOOTBALL_CFL_2016_7_1_WPG@CGY,2016-07-01,2016,1,CFL,WPG,CGY,44.0,32.0,,30.0,19.0,3.0,2.0,358.0,,,,4.0,17.0,,39.0,,,
FOOTBALL_CFL_2016_7_21_CGY@WPG,2016-07-21,2016,1,CFL,CGY,WPG,33.0,23.0,1.0,45.0,7.0,1.0,,234.0,,,,1.0,1.0,,1.0,,,
FOOTBALL_CFL_2016_7_7_WPG@HAM,2016-07-07,2016,1,CFL,WPG,HAM,42.0,32.0,,40.0,11.0,2.0,1.0,279.0,,,,2.0,1.0,,2.0,,,
FOOTBALL_CFL_2016_9_23_TOR@OTT,2016-09-23,2016,1,CFL,TOR,OTT,24.0,16.0,,43.0,,,1.0,153.0,,,,,,,,,,
FOOTBALL_CFL_2017_10_27_MTL@SSK,2017-10-27,2017,1,CFL,MTL,SSK,,,,,,,,,,,,1.0,,,,,,
FOOTBALL_CFL_2017_10_9_EDM@MTL,2017-10-09,2017,1,CFL,EDM,MTL,29.0,19.0,2.0,29.0,26.0,3.0,,193.0,,,,3.0,10.0,,16.0,,,
FOOTBALL_CFL_2017_8_19_MTL@TOR,2017-08-19,2017,1,CFL,MTL,TOR,1.0,1.0,,29.0,14.0,2.0,,29.0,,,,,,,,,,
FOOTBALL_CFL_2017_8_24_WPG@MTL,2017-08-24,2017,1,CFL,WPG,MTL,,,,,,,,,,,,2.0,5.0,,6.0,,,
FOOTBALL_CFL_2017_8_31_OTT@MTL,2017-08-31,2017,1,CFL,OTT,MTL,11.0,8.0,,24.0,35.0,4.0,,98.0,,,,2.0,12.0,,14.0,,,
FOOTBALL_CFL_2017_9_17_OTT@MTL,2017-09-17,2017,1,CFL,OTT,MTL,17.0,12.0,,13.0,7.0,2.0,,83.0,,,,3.0,11.0,1.0,13.0,6.0,1.0,1.0
FOOTBALL_CFL_2017_9_23_MTL@TOR,2017-09-23,2017,1,CFL,MTL,TOR,,,,,,,,,,,,2.0,3.0,,5.0,,,
FOOTBALL_CFL_2017_9_29_MTL@CGY,2017-09-29,2017,1,CFL,MTL,CGY,19.0,13.0,,27.0,13.0,2.0,1.0,137.0,,,,4.0,6.0,,12.0,,,
FOOTBALL_CFL_2017_9_8_MTL@BC,2017-09-08,2017,1,CFL,MTL,BC,2.0,1.0,,7.0,,,,7.0,,,,,,,,,,
FOOTBALL_CFL_2018_6_16_MTL@BC,2018-06-16,2018,1,CFL,MTL,BC,35.0,25.0,1.0,57.0,22.0,5.0,1.0,281.0,,,,3.0,8.0,,10.0,,,
FOOTBALL_CFL_2018_6_22_WPG@MTL,2018-06-22,2018,1,CFL,WPG,MTL,25.0,16.0,,14.0,27.0,3.0,1.0,111.0,,,,,,,,,,
FOOTBALL_CFL_2018_6_30_MTL@SSK,2018-06-30,2018,1,CFL,MTL,SSK,15.0,8.0,,,13.0,2.0,1.0,157.0,,,,3.0,7.0,,12.0,,,
FOOTBALL_CFL_2018_7_21_MTL@CGY,2018-07-21,2018,1,CFL,MTL,CGY,4.0,3.0,,7.0,,,,17.0,,,,,,,,,,
