game_id,date,season,week,league,away,home,blocked_punt,dst_touchdown,fumble_recoveries,interceptions_made,points_against,punt_return,sacks,safety
SYNTHETIC_USFL_2023_W1_STALLIONS,2023-04-15,2023,1,USFL,STALLIONS,GENERALS,,,2.0,,10.0,,2.0,
SYNTHETIC_USFL_2023_W3_STALLIONS,2023-04-29,2023,3,USFL,STALLIONS,BREAKERS,,,,1.0,45.0,1.0,0.0,
SYNTHETIC_USFL_2023_W5_STALLIONS,2023-05-13,2023,5,USFL,STALLIONS,GAMBLERS,,,,0.0,27.0,,1.0,
SYNTHETIC_USFL_2023_W6_STALLIONS,2023-05-20,2023,6,USFL,PANTHERS,STALLIONS,,,,0.0,13.0,,2.0,
SYNTHETIC_USFL_2023_W8_STALLIONS,2023-06-03,2023,8,USFL,STALLIONS,STARS,,,,1.0,24.0,,1.0,
SYNTHETIC_USFL_2023_W11_STALLIONS,,2023,11,USFL,,,,,,2.0,22.0,,,
SYNTHETIC_USFL_2023_W12_STALLIONS,,2023,12,USFL,,,,,,,12.0,,6.0,
1,2024-03-30,2024,1,UFL,RENEGADES,STALLIONS,,,1.0,1.0,14.0,,2.0,
7,2024-04-07,2024,2,UFL,PANTHERS,STALLIONS,,,1.0,1.0,13.0,,7.0,
10,2024-04-13,2024,3,UFL,STALLIONS,SHOWBOATS,,,,1.0,12.0,,8.0,
14,2024-04-20,2024,4,UFL,STALLIONS,DEFENDERS,,,1.0,0.0,18.0,,0.0,1.0
18,2024-04-27,2024,5,UFL,ROUGHNECKS,STALLIONS,,,,2.0,9.0,,1.0,
21,2024-05-04,2024,6,UFL,SHOWBOATS,STALLIONS,,,2.0,1.0,21.0,,3.0,
26,2024-05-11,2024,7,UFL,STALLIONS,BATTLEHAWKS,,,,1.0,26.0,,2.0,
30,2024-05-18,2024,8,UFL,STALLIONS,ROUGHNECKS,,,1.0,1.0,28.0,,2.0,
34,2024-05-25,2024,9,UFL,BRAHMAS,STALLIONS,,,1.0,0.0,18.0,,3.0,
37,2024-06-01,2024,10,UFL,STALLIONS,PANTHERS,,,,0.0,19.0,,1.0,
41,2024-06-08,2024,11,UFL,STALLIONS,PANTHERS,,,,3.0,18.0,,5.0,
43,2024-06-16,2024,12,UFL,BRAHMAS,STALLIONS,,,,0.0,0.0,,2.0,
46,2025-03-30,2025,1,UFL,DEFENDERS,STALLIONS,,,,1.0,18.0,,1.0,
47,2025-04-04,2025,2,UFL,PANTHERS,STALLIONS,,,1.0,1.0,12.0,,3.0,
49,2025-04-06,2025,2,UFL,RENEGADES,ROUGHNECKS,,,1.0,1.0,0.0,,3.0,
51,2025-04-11,2025,3,UFL,STALLIONS,RENEGADES,,,1.0,0.0,9.0,,3.0,
80,2025-04-19,2025,4,UFL,ROUGHNECKS,STALLIONS,,,,1.0,16.0,,1.0,
58,2025-04-25,2025,5,UFL,STALLIONS,SHOWBOATS,,,,0.0,24.0,,0.0,
59,2025-04-26,2025,5,UFL,BATTLEHAWKS,PANTHERS,,1.0,,0.0,20.0,,1.0,
64,2025-05-04,2025,6,UFL,STALLIONS,BRAHMAS,,,1.0,1.0,3.0,,3.0,
81,2025-05-03,2025,6,UFL,ROUGHNECKS,SHOWBOATS,,,,1.0,14.0,,2.0,
67,2025-05-11,2025,7,UFL,STALLIONS,ROUGHNECKS,,,1.0,0.0,19.0,,4.0,
68,2025-05-11,2025,7,UFL,SHOWBOATS,BATTLEHAWKS,,,2.0,1.0,20.0,,2.0,
70,2025-05-17,2025,8,UFL,BATTLEHAWKS,STALLIONS,,,2.0,1.0,23.0,,1.0,
74,2025-05-24,2025,9,UFL,STALLIONS,PANTHERS,,,,0.0,22.0,,2.0,
78,2025-06-01,2025,10,UFL,SHOWBOATS,STALLIONS,0.0,3.0,2.0,3.0,24.0,,8.0,
