game_id,date,season,week,league,away,home,1pt_conversion,lost_fumbles,receiving_tds,receiving_yards,receptions
23,2024-05-05,2024,6,UFL,PANTHERS,RENEGADES,,,0.0,27.0,2.0
27,2024-05-12,2024,7,UFL,DEFENDERS,PANTHERS,1.0,,0.0,45.0,6.0
29,2024-05-18,2024,8,UFL,PANTHERS,SHOWBOATS,,,0.0,39.0,2.0
36,2024-05-26,2024,9,UFL,ROUGHNECKS,PANTHERS,,,0.0,13.0,1.0
37,2024-06-01,2024,10,UFL,STALLIONS,PANTHERS,,,0.0,0.0,0.0
45,2025-03-30,2025,1,UFL,SHOWBOATS,PANTHERS,,,1.0,35.0,2.0
47,2025-04-04,2025,2,UFL,PANTHERS,STALLIONS,,,0.0,23.0,1.0
53,2025-04-13,2025,3,UFL,PANTHERS,BRAHMAS,,,0.0,12.0,1.0
55,2025-04-18,2025,4,UFL,PANTHERS,SHOWBOATS,1.0,,0.0,0.0,0.0
59,2025-04-26,2025,5,UFL,BATTLEHAWKS,PANTHERS,,,0.0,46.0,3.0
66,2025-05-10,2025,7,UFL,RENEGADES,PANTHERS,,1.0,0.0,0.0,0.0
82,2025-05-17,2025,8,UFL,ROUGHNECKS,PANTHERS,,,1.0,1.0,1.0
74,2025-05-24,2025,9,UFL,STALLIONS,PANTHERS,1.0,,0.0,4.0,1.0
76,2025-05-31,2025,10,UFL,PANTHERS,ROUGHNECKS,,,0.0,0.0,0.0
