game_id,date,season,week,league,away,home,conversions,lost_fumbles,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
SYNTHETIC_USFL_2022_W1_MICH,,2022,1,USFL,,,,0.0,0.0,44.0,3.0,,
SYNTHETIC_USFL_2022_W2_MICH,,2022,2,USFL,,,,,0.0,18.0,1.0,,
SYNTHETIC_USFL_2022_W3_MICH,,2022,3,USFL,,,,,0.0,26.0,4.0,,
SYNTHETIC_USFL_2022_W4_MICH,,2022,4,USFL,,,,,0.0,20.0,3.0,,
SYNTHETIC_USFL_2022_W5_MICH,,2022,5,USFL,,,,,0.0,68.0,5.0,,
SYNTHETIC_USFL_2022_W6_MICH,,2022,6,USFL,,,,,1.0,67.0,7.0,,
SYNTHETIC_USFL_2022_W7_MICH,,2022,7,USFL,,,,,0.0,38.0,2.0,,
SYNTHETIC_USFL_2022_W8_MICH,,2022,8,USFL,,,,,0.0,21.0,2.0,0.0,8.0
SYNTHETIC_USFL_2022_W9_MICH,,2022,9,USFL,,,,0.0,0.0,10.0,1.0,,
2,2024-03-30,2024,1,UFL,PANTHERS,BATTLEHAWKS,1.0,,0.0,46.0,2.0,,
7,2024-04-07,2024,2,UFL,PANTHERS,STALLIONS,,,0.0,12.0,1.0,,
29,2024-05-18,2024,8,UFL,PANTHERS,SHOWBOATS,,,0.0,0.0,0.0,,
36,2024-05-26,2024,9,UFL,ROUGHNECKS,PANTHERS,,,0.0,54.0,4.0,,
37,2024-06-01,2024,10,UFL,STALLIONS,PANTHERS,,,0.0,18.0,1.0,,
41,2024-06-08,2024,11,UFL,STALLIONS,PANTHERS,,,0.0,4.0,1.0,,
45,2025-03-30,2025,1,UFL,SHOWBOATS,PANTHERS,,,0.0,1.0,1.0,,
47,2025-04-04,2025,2,UFL,PANTHERS,STALLIONS,,1.0,0.0,0.0,0.0,,
53,2025-04-13,2025,3,UFL,PANTHERS,BRAHMAS,,,0.0,51.0,3.0,,
55,2025-04-18,2025,4,UFL,PANTHERS,SHOWBOATS,,,0.0,0.0,0.0,,
82,2025-05-17,2025,8,UFL,ROUGHNECKS,PANTHERS,,,1.0,39.0,2.0,,
74,2025-05-24,2025,9,UFL,STALLIONS,PANTHERS,,,0.0,0.0,0.0,,
