game_id,date,season,week,league,away,home,def_ast,def_int,def_lg,def_sack,def_solo,def_tot,def_yds,def_ydsl
FOOTBALL_CFL_2016_10_15_SSK@TOR,2016-10-15,2016,1,CFL,SSK,TOR,,,,1.0,3.0,3.0,,8.0
FOOTBALL_CFL_2016_10_22_MTL@SSK,2016-10-22,2016,1,CFL,MTL,SSK,,,,1.0,2.0,2.0,,5.0
FOOTBALL_CFL_2016_10_29_BC@SSK,2016-10-29,2016,1,CFL,BC,SSK,,,,,7.0,7.0,,
FOOTBALL_CFL_2016_11_5_SSK@BC,2016-11-05,2016,1,CFL,SSK,BC,,,,,6.0,6.0,,
FOOTBALL_CFL_2016_8_13_DAL@LA,2016-08-13,2016,1,CFL,DAL,LA,1.0,,,,2.0,3.0,,
FOOTBALL_CFL_2016_8_25_DAL@SEA,2016-08-25,2016,1,CFL,DAL,SEA,1.0,,,,,1.0,,
FOOTBALL_CFL_2017_10_13_OTT@SSK,2017-10-13,2017,1,CFL,OTT,SSK,,1.0,17.0,,2.0,2.0,17.0,
FOOTBALL_CFL_2017_10_20_SSK@CGY,2017-10-20,2017,1,CFL,SSK,CGY,,,,,3.0,3.0,,
FOOTBALL_CFL_2017_10_27_MTL@SSK,2017-10-27,2017,1,CFL,MTL,SSK,,,,,3.0,3.0,,
FOOTBALL_CFL_2017_10_7_SSK@TOR,2017-10-07,2017,1,CFL,SSK,TOR,,1.0,10.0,,4.0,4.0,10.0,
FOOTBALL_CFL_2017_11_12_SSK@OTT,2017-11-12,2017,1,CFL,SSK,OTT,,,,,5.0,5.0,,
FOOTBALL_CFL_2017_11_19_SSK@TOR,2017-11-19,2017,1,CFL,SSK,TOR,,,,,10.0,10.0,,
FOOTBALL_CFL_2017_11_4_EDM@SSK,2017-11-04,2017,1,CFL,EDM,SSK,,,,,6.0,6.0,,
FOOTBALL_CFL_2017_6_22_SSK@MTL,2017-06-22,2017,1,CFL,SSK,MTL,,,,,5.0,5.0,,
FOOTBALL_CFL_2017_7_22_SSK@CGY,2017-07-22,2017,1,CFL,SSK,CGY,,,,,8.0,8.0,,
FOOTBALL_CFL_2017_7_29_TOR@SSK,2017-07-29,2017,1,CFL,TOR,SSK,,,,,5.0,5.0,,
FOOTBALL_CFL_2017_7_8_HAM@SSK,2017-07-08,2017,1,CFL,HAM,SSK,,,,,3.0,3.0,,
FOOTBALL_CFL_2017_8_13_BC@SSK,2017-08-13,2017,1,CFL,BC,SSK,,,,,4.0,4.0,,
FOOTBALL_CFL_2017_8_25_SSK@EDM,2017-08-25,2017,1,CFL,SSK,EDM,,,,,3.0,3.0,,
FOOTBALL_CFL_2017_8_5_SSK@BC,2017-08-05,2017,1,CFL,SSK,BC,,,,,4.0,4.0,,
FOOTBALL_CFL_2017_9_15_SSK@HAM,2017-09-15,2017,1,CFL,SSK,HAM,,,,,6.0,6.0,,
FOOTBALL_CFL_2017_9_24_CGY@SSK,2017-09-24,2017,1,CFL,CGY,SSK,,,,,8.0,8.0,,
FOOTBALL_CFL_2017_9_29_SSK@OTT,2017-09-29,2017,1,CFL,SSK,OTT,,,,,5.0,5.0,,
FOOTBALL_CFL_2017_9_3_WPG@SSK,2017-09-03,2017,1,CFL,WPG,SSK,,,,,7.0,7.0,,
FOOTBALL_CFL_2017_9_9_SSK@WPG,2017-09-09,2017,1,CFL,SSK,WPG,,,,,6.0,6.0,,
FOOTBALL_CFL_2018_10_20_MTL@TOR,2018-10-20,2018,1,CFL,MTL,TOR,,,,,7.0,7.0,,
FOOTBALL_CFL_2018_10_28_TOR@MTL,2018-10-28,2018,1,CFL,TOR,MTL,,,,1.0,5.0,5.0,,9.0
FOOTBALL_CFL_2018_10_8_CGY@MTL,2018-10-08,2018,1,CFL,CGY,MTL,,,,,4.0,4.0,,
FOOTBALL_CFL_2018_11_3_MTL@HAM,2018-11-03,2018,1,CFL,MTL,HAM,,,,,8.0,8.0,,
FOOTBALL_CFL_2018_6_16_MTL@BC,2018-06-16,2018,1,CFL,MTL,BC,,,,,4.0,4.0,,
FOOTBALL_CFL_2018_6_22_WPG@MTL,2018-06-22,2018,1,CFL,WPG,MTL,,,,,11.0,11.0,,
FOOTBALL_CFL_2018_6_30_MTL@SSK,2018-06-30,2018,1,CFL,MTL,SSK,,,,,4.0,4.0,,
FOOTBALL_CFL_2018_7_21_MTL@CGY,2018-07-21,2018,1,CFL,MTL,CGY,,,,,8.0,8.0,,
FOOTBALL_CFL_2018_7_26_EDM@MTL,2018-07-26,2018,1,CFL,EDM,MTL,,,,,6.0,6.0,,
FOOTBALL_CFL_2018_7_6_OTT@MTL,2018-07-06,2018,1,CFL,OTT,MTL,,,,,3.0,3.0,,
FOOTBALL_CFL_2018_8_11_MTL@OTT,2018-08-11,2018,1,CFL,MTL,OTT,,,,,7.0,7.0,,
FOOTBALL_CFL_2018_8_18_MTL@EDM,2018-08-18,2018,1,CFL,MTL,EDM,,,,1.0,12.0,12.0,,4.0
FOOTBALL_CFL_2018_8_24_TOR@MTL,2018-08-24,2018,1,CFL,TOR,MTL,,,,,6.0,6.0,,
FOOTBALL_CFL_2018_8_31_MTL@OTT,2018-08-31,2018,1,CFL,MTL,OTT,,,,,4.0,4.0,,
FOOTBALL_CFL_2018_8_3_HAM@MTL,2018-08-03,2018,1,CFL,HAM,MTL,,,,1.0,3.0,3.0,,9.0
FOOTBALL_CFL_2018_9_14_BC@MTL,2018-09-14,2018,1,CFL,BC,MTL,,,,,5.0,5.0,,
FOOTBALL_CFL_2018_9_21_MTL@WPG,2018-09-21,2018,1,CFL,MTL,WPG,,,,2.0,6.0,6.0,,3.0
FOOTBALL_CFL_2018_9_30_SSK@MTL,2018-09-30,2018,1,CFL,SSK,MTL,,1.0,39.0,,5.0,5.0,39.0,
