game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,fg_attempts,field_goal_long,field_goal_pct,field_goals_made,forced_fumbles,fumble_recoveries,int_avg,int_long,int_yards,kicking_deuce,kicking_pat,kicking_pat_att,pass_defended,sacks,safeties,solo_tackles,tackles
FOOTBALL_IFL_2026_5_2_TQUADCITYSTEAMWHEELERSG20260502INST@TIOWABARNSTORMERS,2026-05-02,2026,,IFL,Quad City Steamwheelers,Iowa Barnstormers,0.0,,,,,,,,,,,,,,,,,1.0,,,4.0,4.0
FOOTBALL_NAL_2026_3_13_T570666G1127140@T566773,2026-03-13,2026,2,NAL,Sioux City Bandits,Amarillo Warbirds,,,,,,0.0,0.0,0.0,0.0,,,,,,0.0,5.0,8.0,,,,,
FOOTBALL_NAL_2026_3_28_T570666G1127148@T577047,2026-03-29,2026,4,NAL,Sioux City Bandits,Pueblo Punishers,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,2.0,2.0,,0.0,0.0,,1.0
FOOTBALL_IFL_2026_4_11_TIOWABARNSTORMERSG20260411Y06T@TFISHERSFREIGHT,2026-04-11,2026,5,IFL,Iowa Barnstormers,Fishers Freight,4.0,,,,,,,,,,,,,,,,,,,,1.0,5.0
FOOTBALL_NAL_2026_4_4_T570666G1127150@T566774,2026-04-04,2026,5,NAL,Sioux City Bandits,Omaha Beef,0.0,0.0,0.0,0.0,0.0,3.0,22.0,667.0,2.0,0.0,0.0,,,,0.0,2.0,3.0,,0.0,0.0,,1.0
FOOTBALL_IFL_2026_4_18_TIOWABARNSTORMERSG20260418BIFV@TGREENBAYBLIZZARD,2026-04-18,2026,6,IFL,Iowa Barnstormers,Green Bay Blizzard,4.0,1.0,,,0.0,,,,,,,0.0,0.0,0.0,,,,,,,3.0,7.0
FOOTBALL_NAL_2026_4_11_T570666G1127155@T600414,2026-04-11,2026,6,NAL,Sioux City Bandits,Southwest Kansas Storm,,,,,,4.0,31.0,250.0,1.0,,,,,,0.0,0.0,1.0,,,,,
FOOTBALL_IFL_2026_4_25_TFISHERSFREIGHTG202604259U64@TIOWABARNSTORMERS,2026-04-25,2026,7,IFL,Fishers Freight,Iowa Barnstormers,0.0,,,,,,,,,,,,,,,,,,,,1.0,1.0
FOOTBALL_NAL_2026_4_18_T600411G1127157@T570666,2026-04-19,2026,7,NAL,Salina Liberty,Sioux City Bandits,3.0,0.0,0.0,0.0,0.0,4.0,35.0,500.0,2.0,0.0,0.0,,,,0.0,3.0,4.0,,0.0,0.0,,1.0
FOOTBALL_NAL_2026_4_25_T577047G1127160@T570666,2026-04-26,2026,8,NAL,Pueblo Punishers,Sioux City Bandits,,,,,,3.0,39.0,333.0,1.0,,,,,,0.0,2.0,4.0,,,,,
FOOTBALL_NAL_2026_5_9_T566773G1127168@T570666,2026-05-10,2026,10,NAL,Amarillo Warbirds,Sioux City Bandits,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,9.0,9.0,,0.0,0.0,,0.0
