game_id,date,season,week,league,away,home,assisted_tackles,blocks,def_interceptions,defensive_bk,defensive_pd,defensive_tds,fg_attempts,field_goal_long,field_goals_made,forced_fumbles,fumble_recoveries,kicking_points,pass_defended,qb_hits,sack_yards,sacks,safeties,solo_tackles,tackles,tackles_for_loss,tfl_yards
FOOTBALL_NAL_2025_5_10_T450150G979282@T434514,2025-05-10,2025,10,NAL,Shreveport Rouxgaroux,Columbus Lions,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,0.0,0.0,,1.0,,
FOOTBALL_IFL_2026_3_29_TTULSAOILERSG202603294IX1@TSANANTONIOGUNSLINGERS,2026-03-29,2026,3,IFL,Tulsa Oilers,San Antonio Gunslingers,0.0,,,,,,,,,,,,,1.0,,,,1.0,1.0,1.0,1.0
FOOTBALL_IFL_2026_4_11_TSANANTONIOGUNSLINGERSG20260411JRXF@TARIZONARATTLERS,2026-04-11,2026,5,IFL,San Antonio Gunslingers,Arizona Rattlers,0.0,,,,,,,,,,,,,,,,,1.0,1.0,,
FOOTBALL_IFL_2026_4_18_TVEGASKNIGHTHAWKSG20260418AH7B@TSANANTONIOGUNSLINGERS,2026-04-18,2026,6,IFL,Vegas Knight Hawks,San Antonio Gunslingers,2.0,,,,,,,,,,,,,,,,,0.0,2.0,0.5,1.0
FOOTBALL_IFL_2026_4_25_TNAZWRANGLERSG20260425HT1S@TSANANTONIOGUNSLINGERS,2026-04-25,2026,7,IFL,NAZ Wranglers,San Antonio Gunslingers,2.0,,,,,,,,,,,,,,4.0,1.5,,2.0,4.0,2.0,6.0
FOOTBALL_IFL_2026_5_9_TSANANTONIOGUNSLINGERSG20260509KPE3@TNAZWRANGLERS,2026-05-09,2026,9,IFL,San Antonio Gunslingers,NAZ Wranglers,0.0,,,,,,,,,,,,1.0,,,,,2.0,2.0,1.0,0.0
FOOTBALL_IFL_2026_5_16_TSANDIEGOSTRIKEFORCEG20260516XE81@TSANANTONIOGUNSLINGERS,2026-05-16,2026,10,IFL,San Diego Strike Force,San Antonio Gunslingers,0.0,,,,,,,,,,,,,,,,,1.0,1.0,,
FOOTBALL_IFL_2026_5_23_TTULSAOILERSG20260523IVJK@TSANANTONIOGUNSLINGERS,2026-05-23,2026,11,IFL,Tulsa Oilers,San Antonio Gunslingers,2.0,,,,,,,,,,,,,,,,,1.0,3.0,,
FOOTBALL_IFL_2026_5_29_TSANANTONIOGUNSLINGERSG20260529P6HJ@TGREENBAYBLIZZARD,2026-05-29,2026,12,IFL,San Antonio Gunslingers,Green Bay Blizzard,0.0,,,,,,,,,,,,,,,,,1.0,1.0,,
FOOTBALL_IFL_2026_6_6_TSANANTONIOGUNSLINGERSG20260606MDZ0@TJACKSONVILLESHARKS,2026-06-06,2026,13,IFL,San Antonio Gunslingers,Jacksonville Sharks,0.0,,,,,,,,,,,,,,2.0,1.0,,1.0,1.0,1.0,0.0
FOOTBALL_IFL_2026_6_13_TNEWMEXICOCHUPACABRASG20260613T2YA@TSANANTONIOGUNSLINGERS,2026-06-13,2026,14,IFL,New Mexico Chupacabras,San Antonio Gunslingers,1.0,1.0,,,,,0.0,0.0,0.0,,,0.0,,,,,,3.0,4.0,1.0,0.0
FOOTBALL_IFL_2026_6_20_TSANANTONIOGUNSLINGERSG20260620VJ0P@TTULSAOILERS,2026-06-20,2026,15,IFL,San Antonio Gunslingers,Tulsa Oilers,1.0,,,,,,,,,,,,,,5.0,1.5,,2.0,3.0,1.5,0.0
