game_id,date,season,week,league,away,home,def_solo,def_tot,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rush_att,rush_lg,rush_td,rush_yds,rushing_tds,rushing_yards,score_conv,score_p,score_pts,score_r,score_tot
FOOTBALL_CFL_2016_11_20_EDM@OTT,2016-11-20,2016,1,CFL,EDM,OTT,,,,,,,,,,,,,,,25.0,28.0,1.0,157.0,,,1.0,,8.0,1.0,1.0
FOOTBALL_CFL_2016_11_27_CGY@OTT,2016-11-27,2016,1,CFL,CGY,OTT,1.0,1.0,,,,10.0,6.0,7.0,,25.0,31.0,,,,11.0,13.0,,42.0,,,,,,,
FOOTBALL_CFL_2016_6_25_OTT@EDM,2016-06-25,2016,1,CFL,OTT,EDM,,,,,,8.0,2.0,2.0,1.0,10.0,12.0,15.0,2.0,28.0,,,,,,,,1.0,6.0,,1.0
FOOTBALL_CFL_2016_6_30_OTT@MTL,2016-06-30,2016,1,CFL,OTT,MTL,,,,,,22.0,1.0,2.0,,22.0,22.0,,,,13.0,8.0,,52.0,,,,,,,
FOOTBALL_CFL_2016_7_13_OTT@TOR,2016-07-13,2016,1,CFL,OTT,TOR,,,,,,4.0,1.0,1.0,,3.0,4.0,,,,4.0,5.0,,15.0,,,,,,,
FOOTBALL_CFL_2016_7_22_OTT@SSK,2016-07-22,2016,1,CFL,OTT,SSK,,,,,,,,,,,,,,,2.0,2.0,,3.0,,,,,,,
FOOTBALL_CFL_2016_7_31_TOR@OTT,2016-07-31,2016,1,CFL,TOR,OTT,1.0,1.0,,,,10.0,2.0,3.0,,13.0,13.0,,,,3.0,9.0,,10.0,,,,,,,
FOOTBALL_CFL_2016_7_8_CGY@OTT,2016-07-08,2016,1,CFL,CGY,OTT,,,,,,2.0,1.0,2.0,,2.0,2.0,,,,2.0,24.0,,28.0,,,,,,,
FOOTBALL_CFL_2016_8_19_MTL@OTT,2016-08-19,2016,1,CFL,MTL,OTT,,,,,,10.0,3.0,3.0,,19.0,21.0,,,,6.0,9.0,,21.0,,,,,,,
FOOTBALL_CFL_2016_8_6_EDM@OTT,2016-08-06,2016,1,CFL,EDM,OTT,,,,,,,,,,,,,,,5.0,8.0,,28.0,,,,,,,
FOOTBALL_CFL_2016_9_17_OTT@CGY,2016-09-17,2016,1,CFL,OTT,CGY,,,,,,3.0,1.0,1.0,,3.0,3.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2016_9_23_TOR@OTT,2016-09-23,2016,1,CFL,TOR,OTT,1.0,1.0,,,,-1.0,1.0,1.0,,-1.0,-1.0,,,,2.0,5.0,,6.0,,,,,,,
FOOTBALL_CFL_2017_10_13_OTT@SSK,2017-10-13,2017,1,CFL,OTT,SSK,,,,,,9.0,3.0,3.0,1.0,21.0,23.0,,,,7.0,6.0,,12.0,,,,1.0,6.0,,1.0
