game_id,date,season,week,league,away,home,receiving_tds,receiving_yards,receptions
SYNTHETIC_UFL_2025_W1_DEFENDERS,2025-03-30,2025,1,UFL,DEFENDERS,STALLIONS,0.0,7.0,1.0
SYNTHETIC_UFL_2025_W2_DEFENDERS,2025-04-05,2025,2,UFL,DEFENDERS,SHOWBOATS,1.0,3.0,1.0
SYNTHETIC_UFL_2025_W3_DEFENDERS,2025-04-13,2025,3,UFL,BATTLEHAWKS,DEFENDERS,0.0,18.0,1.0
SYNTHETIC_UFL_2025_W4_DEFENDERS,2025-04-20,2025,4,UFL,DEFENDERS,BRAHMAS,0.0,0.0,0.0
SYNTHETIC_UFL_2025_W6_DEFENDERS,2025-05-04,2025,6,UFL,PANTHERS,DEFENDERS,0.0,23.0,1.0
SYNTHETIC_UFL_2025_W7_DEFENDERS,2025-05-09,2025,7,UFL,BRAHMAS,DEFENDERS,0.0,10.0,1.0
SYNTHETIC_UFL_2025_W8_DEFENDERS,2025-05-18,2025,8,UFL,DEFENDERS,RENEGADES,0.0,24.0,2.0
SYNTHETIC_UFL_2025_W9_DEFENDERS,2025-05-25,2025,9,UFL,ROUGHNECKS,DEFENDERS,0.0,53.0,1.0
SYNTHETIC_UFL_2025_W10_DEFENDERS,2025-05-30,2025,10,UFL,DEFENDERS,BATTLEHAWKS,0.0,25.0,2.0
SYNTHETIC_UFL_2026_W4_DCDEFENDERS,2026-04-18,2026,4,UFL,ST. LOUIS BATTLEHAWKS,DC DEFENDERS,0.0,6.0,1.0
