game_id,date,season,week,league,away,home,def_solo,def_tot,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rush_att,rush_lg,rush_yds,rushing_tds,rushing_yards
FOOTBALL_CFL_2019_6_15_WPG@BC,2019-06-15,2019,1,CFL,WPG,BC,,,,,,,,,,,20.0,4.0,60.0,,,,,
FOOTBALL_CFL_2019_6_27_EDM@WPG,2019-06-27,2019,1,CFL,EDM,WPG,,,,,,,,,,,23.0,2.0,34.0,,,,,
FOOTBALL_CFL_2019_7_12_TOR@WPG,2019-07-12,2019,1,CFL,TOR,WPG,,,,,,,,,,,55.0,2.0,82.0,,,,,
FOOTBALL_CFL_2019_7_5_WPG@OTT,2019-07-05,2019,1,CFL,WPG,OTT,,,,,,4.0,1.0,1.0,-4.0,4.0,16.0,2.0,26.0,,,,,
FOOTBALL_CFL_2021_8_13_TOR@WPG,2021-08-13,2021,1,CFL,TOR,WPG,,,,,,,,,,,19.0,2.0,38.0,1.0,6.0,6.0,,
FOOTBALL_CFL_2021_8_21_WPG@TOR,2021-08-21,2021,1,CFL,WPG,TOR,,,,,,,,,,,31.0,3.0,72.0,,,,,
FOOTBALL_CFL_2021_8_29_CGY@WPG,2021-08-29,2021,1,CFL,CGY,WPG,,,,,,,,,,,31.0,4.0,79.0,,,,,
FOOTBALL_CFL_2021_8_5_HAM@WPG,2021-08-05,2021,1,CFL,HAM,WPG,,,,,,16.0,4.0,6.0,15.0,29.0,21.0,1.0,21.0,,,,,
FOOTBALL_CFL_2021_9_11_SSK@WPG,2021-09-11,2021,1,CFL,SSK,WPG,,,,,,,,,,,22.0,2.0,35.0,,,,,
FOOTBALL_CFL_2021_9_18_WPG@EDM,2021-09-18,2021,1,CFL,WPG,EDM,,,,,,,,,,,18.0,3.0,36.0,,,,,
FOOTBALL_CFL_2021_9_5_WPG@SSK,2021-09-05,2021,1,CFL,WPG,SSK,,,,,,,,,,,10.0,8.0,45.0,,,,,
FOOTBALL_CFL_2022_6_25_EDM@CGY,2022-06-25,2022,1,CFL,EDM,CGY,,,,,,,,,,,24.0,4.0,79.0,,,,,
FOOTBALL_CFL_2022_7_14_EDM@MTL,2022-07-14,2022,1,CFL,EDM,MTL,,,,,,,,,,,19.0,4.0,62.0,,,,,
FOOTBALL_CFL_2022_7_1_EDM@HAM,2022-07-01,2022,1,CFL,EDM,HAM,1.0,1.0,,,,10.0,1.0,1.0,9.0,10.0,19.0,2.0,33.0,1.0,-3.0,-3.0,,
FOOTBALL_CFL_2022_7_7_CGY@EDM,2022-07-07,2022,1,CFL,CGY,EDM,,,,,,8.0,1.0,1.0,6.0,8.0,26.0,6.0,136.0,2.0,11.0,18.0,,
FOOTBALL_CFL_2022_8_13_SSK@EDM,2022-08-13,2022,1,CFL,SSK,EDM,,,,,,,,,,,16.0,4.0,52.0,,,,,
FOOTBALL_CFL_2022_8_6_EDM@BC,2022-08-06,2022,1,CFL,EDM,BC,,,,,,,,,,,28.0,7.0,141.0,,,,,
SYNTHETIC_CFL_2022_W4_EDM,,2022,4,CFL,,,,,0.0,10.0,1.0,,,,,,,,,,,,0.0,-3.0
SYNTHETIC_CFL_2022_W5_EDM,,2022,5,CFL,,,,,0.0,8.0,1.0,,,,,,,,,,,,0.0,18.0
