game_id,date,season,week,league,away,home,lost_fumbles,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
SYNTHETIC_USFL_2022_W1_HOU,,2022,1,USFL,,,,1.0,34.0,2.0,,
SYNTHETIC_USFL_2022_W2_HOU,,2022,2,USFL,,,,1.0,29.0,2.0,,
SYNTHETIC_USFL_2022_W3_HOU,,2022,3,USFL,,,,1.0,73.0,3.0,,
SYNTHETIC_USFL_2022_W4_HOU,,2022,4,USFL,,,,0.0,46.0,5.0,,
SYNTHETIC_USFL_2022_W5_HOU,,2022,5,USFL,,,,1.0,72.0,3.0,,
SYNTHETIC_USFL_2022_W6_HOU,,2022,6,USFL,,,,0.0,33.0,2.0,,
SYNTHETIC_USFL_2022_W7_HOU,,2022,7,USFL,,,,0.0,6.0,1.0,,
SYNTHETIC_USFL_2022_W9_HOU,,2022,9,USFL,,,,1.0,31.0,3.0,,
SYNTHETIC_USFL_2022_W10_HOU,,2022,10,USFL,,,,0.0,-2.0,1.0,,
SYNTHETIC_USFL_2023_W6_GAMBLERS,2023-05-21,2023,6,USFL,GAMBLERS,GENERALS,,0.0,3.0,1.0,,
SYNTHETIC_USFL_2023_W7_GAMBLERS,2023-05-28,2023,7,USFL,SHOWBOATS,GAMBLERS,,0.0,0.0,0.0,,
SYNTHETIC_USFL_2023_W8_GAMBLERS,2023-06-03,2023,8,USFL,MAULERS,GAMBLERS,,0.0,30.0,5.0,,
SYNTHETIC_USFL_2023_W9_GAMBLERS,2023-06-11,2023,9,USFL,GAMBLERS,STALLIONS,,,48.0,4.0,,-1.0
SYNTHETIC_USFL_2023_W10_GAMBLERS,2023-06-18,2023,10,USFL,GAMBLERS,BREAKERS,,0.0,22.0,4.0,,
SYNTHETIC_UFL_2024_W4_STALLIONS,2024-04-20,2024,4,UFL,STALLIONS,DEFENDERS,,0.0,0.0,0.0,,
SYNTHETIC_UFL_2024_W7_STALLIONS,2024-05-11,2024,7,UFL,STALLIONS,BATTLEHAWKS,1.0,0.0,6.0,2.0,0.0,6.0
