game_id,date,season,week,league,away,home,receiving_tds,receiving_yards,receptions
SYNTHETIC_CFL_2022_W1_HAM,,2022,1,CFL,,,0.0,13.0,1.0
SYNTHETIC_CFL_2022_W3_HAM,,2022,3,CFL,,,0.0,41.0,1.0
SYNTHETIC_CFL_2022_W4_HAM,,2022,4,CFL,,,0.0,11.0,1.0
6247,2022-08-12,2022,10,CFL,TOR,HAM,0.0,21.0,2.0
6252,2022-08-20,2022,11,CFL,HAM,MTL,0.0,19.0,2.0
6267,2022-09-17,2022,15,CFL,WPG,HAM,1.0,6.0,1.0
6269,2022-09-23,2022,16,CFL,HAM,MTL,0.0,56.0,6.0
9889294,2023-06-25,2023,3,CFL,TOR,EDM,1.0,75.0,3.0
9889297,2023-07-03,2023,4,CFL,BC,TOR,,14.0,2.0
9889321,2023-08-13,2023,10,CFL,OTT,TOR,,62.0,4.0
9889335,2023-09-09,2023,14,CFL,MTL,TOR,,28.0,3.0
9889338,2023-09-15,2023,15,CFL,TOR,MTL,,51.0,3.0
9889346,2023-09-29,2023,17,CFL,TOR,WPG,,16.0,1.0
9889350,2023-10-06,2023,18,CFL,EDM,TOR,,42.0,4.0
9889357,2023-10-14,2023,19,CFL,OTT,TOR,,83.0,7.0
9889359,2023-10-21,2023,20,CFL,TOR,SSK,,35.0,3.0
9889363,2023-10-28,2023,21,CFL,TOR,OTT,,88.0,6.0
11824046,2025-06-06,2025,1,CFL,TOR,MTL,,82.0,4.0
11824054,2025-06-20,2025,3,CFL,SSK,TOR,,7.0,1.0
11824060,2025-06-29,2025,4,CFL,TOR,OTT,,20.0,3.0
11824062,2025-07-04,2025,5,CFL,HAM,TOR,,30.0,2.0
11824068,2025-07-17,2025,7,CFL,TOR,MTL,1.0,39.0,3.0
11824074,2025-07-26,2025,8,CFL,WPG,TOR,,61.0,5.0
11824077,2025-08-01,2025,9,CFL,TOR,WPG,,5.0,1.0
11824082,2025-08-09,2025,10,CFL,OTT,TOR,,36.0,4.0
11824085,2025-08-15,2025,11,CFL,TOR,EDM,,96.0,4.0
11824090,2025-08-23,2025,12,CFL,BC,TOR,,36.0,3.0
11824093,2025-09-01,2025,13,CFL,TOR,HAM,,31.0,2.0
11824101,2025-09-13,2025,15,CFL,EDM,TOR,,15.0,3.0
11824103,2025-09-19,2025,16,CFL,MTL,TOR,,26.0,2.0
11824108,2025-09-26,2025,17,CFL,TOR,BC,,7.0,1.0
11824112,2025-10-04,2025,18,CFL,HAM,TOR,1.0,60.0,6.0
11824114,2025-10-10,2025,19,CFL,TOR,SSK,,42.0,3.0
11824121,2025-10-18,2025,20,CFL,TOR,CGY,,5.0,1.0
