game_id,date,season,week,league,away,home,1pt_conversion,conversions,interceptions_lost,lost_fumbles,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
SYNTHETIC_USFL_W1_NJ,,,1,USFL,,,,,0.0,1.0,,,,,,,
SYNTHETIC_USFL_W2_NJ,,,2,USFL,,,,,1.0,,0.0,97.0,,,,,
SYNTHETIC_USFL_W3_NJ,,,3,USFL,,,,,0.0,,0.0,75.0,,,,,
SYNTHETIC_USFL_W4_NJ,,,4,USFL,,,,,0.0,,0.0,102.0,,,,,
SYNTHETIC_USFL_W6_NJ,,,6,USFL,,,,,0.0,2.0,1.0,159.0,0.0,14.0,1.0,1.0,-1.0
SYNTHETIC_USFL_W7_NJ,,,7,USFL,,,,,0.0,,,,,,,0.0,-3.0
SYNTHETIC_USFL_W8_NJ,,,8,USFL,,,,0.0,0.0,0.0,1.0,220.0,,,,0.0,-4.0
SYNTHETIC_USFL_W9_NJ,,,9,USFL,,,,,0.0,,1.0,92.0,,,,,
SYNTHETIC_USFL_W10_NJ,,,10,USFL,,,,,0.0,0.0,3.0,138.0,,,,0.0,-3.0
SYNTHETIC_USFL_W11_NJ,,,11,USFL,,,,,2.0,,0.0,191.0,,,,,
FOOTBALL_XFL_2023_2_18_VGS@ARL,2023-02-18,2023,1,XFL,VGS,ARL,,,2.0,,5.0,391.0,,,,,
SYNTHETIC_XFL_2023_W1_RENEGADES,2023-02-18,2023,1,XFL,VIPERS,RENEGADES,,1.0,,,,,,,,,
FOOTBALL_XFL_2023_2_25_DC@VGS,2023-02-25,2023,2,XFL,VIPERS,DEFENDERS,,,,,,,,,,,9.0
SYNTHETIC_XFL_2023_W2_RENEGADES,2023-02-26,2023,2,XFL,ROUGHNECKS,RENEGADES,0.0,0.0,,,,,,,,,
FOOTBALL_XFL_2023_3_12_VGS@DC,2023-03-12,2023,4,XFL,DEFENDERS,VIPERS,,,1.0,,2.0,283.0,,,,,4.0
SYNTHETIC_XFL_2023_W4_RENEGADES,2023-03-12,2023,4,XFL,BATTLEHAWKS,RENEGADES,0.0,0.0,,,,,,,,,
FOOTBALL_XFL_2023_3_18_ORL@VGS,2023-03-18,2023,5,XFL,ORL,VGS,,,,,3.0,269.0,,,,,9.0
SYNTHETIC_XFL_2023_W5_RENEGADES,2023-03-19,2023,5,XFL,BRAHMAS,RENEGADES,0.0,1.0,,,,,,,,,
FOOTBALL_XFL_2023_3_25_STL@VGS,2023-03-25,2023,6,XFL,STL,VGS,,,2.0,,,99.0,,,,,4.0
FOOTBALL_XFL_2023_4_8_ARL@ORL,2023-04-08,2023,8,XFL,ARL,ORL,,,,,,190.0,,,,,
FOOTBALL_XFL_2023_4_16_ARL@DC,2023-04-16,2023,9,XFL,ARL,DC,,,1.0,,1.0,335.0,,,,,15.0
SYNTHETIC_XFL_2023_W9_RENEGADES,2023-04-16,2023,9,XFL,DEFENDERS,RENEGADES,0.0,1.0,,,,,,,,,
FOOTBALL_XFL_2023_4_23_HOU@ARL,2023-04-23,2023,10,XFL,HOU,ARL,,,1.0,,,205.0,,,,,20.0
SYNTHETIC_UFL_2024_W1_RENEGADES,2024-03-30,2024,1,UFL,RENEGADES,STALLIONS,,,1.0,1.0,1.0,214.0,,,,0.0,6.0
SYNTHETIC_UFL_2024_W2_RENEGADES,2024-04-06,2024,2,UFL,BATTLEHAWKS,RENEGADES,,,0.0,,1.0,233.0,0.0,0.0,1.0,,
SYNTHETIC_UFL_2024_W3_RENEGADES,2024-04-13,2024,3,UFL,RENEGADES,DEFENDERS,,1.0,0.0,,2.0,290.0,,,,,
SYNTHETIC_UFL_2024_W4_RENEGADES,2024-04-21,2024,4,UFL,ROUGHNECKS,RENEGADES,,,1.0,1.0,1.0,144.0,,,,,
SYNTHETIC_UFL_2024_W5_RENEGADES,2024-04-27,2024,5,UFL,RENEGADES,BRAHMAS,,,0.0,,1.0,270.0,,,,,
SYNTHETIC_UFL_2024_W6_RENEGADES,2024-05-05,2024,6,UFL,PANTHERS,RENEGADES,,1.0,0.0,,1.0,180.0,,,,,
SYNTHETIC_UFL_2024_W7_RENEGADES,2024-05-11,2024,7,UFL,RENEGADES,SHOWBOATS,,3.0,0.0,,3.0,296.0,,,,,
SYNTHETIC_UFL_2024_W8_RENEGADES,2024-05-19,2024,8,UFL,BRAHMAS,RENEGADES,,,0.0,,2.0,209.0,,,,0.0,2.0
SYNTHETIC_UFL_2024_W9_RENEGADES,2024-05-25,2024,9,UFL,RENEGADES,BATTLEHAWKS,,2.0,0.0,,3.0,259.0,,,,0.0,8.0
SYNTHETIC_UFL_2024_W10_RENEGADES,2024-06-02,2024,10,UFL,DEFENDERS,RENEGADES,,1.0,2.0,,3.0,215.0,,,,,
SYNTHETIC_UFL_2025_W1_RENEGADES,2025-03-29,2025,1,UFL,RENEGADES,BRAHMAS,,3.0,1.0,,0.0,164.0,,,,0.0,18.0
SYNTHETIC_UFL_2025_W2_RENEGADES,2025-04-06,2025,2,UFL,RENEGADES,ROUGHNECKS,,1.0,0.0,,1.0,211.0,,,,0.0,-1.0
SYNTHETIC_UFL_2025_W3_RENEGADES,2025-04-11,2025,3,UFL,STALLIONS,RENEGADES,,,0.0,,0.0,204.0,,,,,
SYNTHETIC_UFL_2025_W4_RENEGADES,2025-04-19,2025,4,UFL,RENEGADES,BATTLEHAWKS,,3.0,1.0,,1.0,149.0,,,,0.0,8.0
SYNTHETIC_UFL_2025_W5_RENEGADES,2025-04-27,2025,5,UFL,RENEGADES,DEFENDERS,,3.0,1.0,,1.0,268.0,,,,0.0,10.0
SYNTHETIC_UFL_2025_W6_RENEGADES,2025-05-02,2025,6,UFL,BATTLEHAWKS,RENEGADES,,,1.0,2.0,0.0,145.0,,,,0.0,3.0
SYNTHETIC_UFL_2025_W7_RENEGADES,2025-05-10,2025,7,UFL,RENEGADES,PANTHERS,,,0.0,,2.0,314.0,,,,0.0,2.0
SYNTHETIC_UFL_2025_W8_RENEGADES,2025-05-18,2025,8,UFL,DEFENDERS,RENEGADES,1.0,1.0,1.0,1.0,2.0,350.0,,,,0.0,9.0
SYNTHETIC_UFL_2025_W9_RENEGADES,2025-05-24,2025,9,UFL,SHOWBOATS,RENEGADES,,,0.0,,2.0,206.0,,,,0.0,-3.0
SYNTHETIC_UFL_2025_W10_RENEGADES,2025-06-01,2025,10,UFL,BRAHMAS,RENEGADES,,1.0,0.0,,0.0,283.0,,,,1.0,9.0
