game_id,date,season,week,league,away,home,1pt_conversion,conversions,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
7,2024-04-07,2024,2,UFL,PANTHERS,STALLIONS,,,0.0,14.0,1.0,0.0,3.0
36,2024-05-26,2024,9,UFL,ROUGHNECKS,PANTHERS,,,0.0,12.0,1.0,1.0,21.0
37,2024-06-01,2024,10,UFL,STALLIONS,PANTHERS,,,0.0,0.0,0.0,0.0,36.0
41,2024-06-08,2024,11,UFL,STALLIONS,PANTHERS,,,0.0,0.0,0.0,0.0,62.0
45,2025-03-30,2025,1,UFL,SHOWBOATS,PANTHERS,,,0.0,6.0,1.0,0.0,34.0
47,2025-04-04,2025,2,UFL,PANTHERS,STALLIONS,,,0.0,11.0,1.0,0.0,53.0
53,2025-04-13,2025,3,UFL,PANTHERS,BRAHMAS,,,0.0,-2.0,1.0,0.0,14.0
55,2025-04-18,2025,4,UFL,PANTHERS,SHOWBOATS,1.0,,0.0,5.0,1.0,1.0,60.0
59,2025-04-26,2025,5,UFL,BATTLEHAWKS,PANTHERS,1.0,,0.0,2.0,1.0,0.0,23.0
63,2025-05-04,2025,6,UFL,PANTHERS,DEFENDERS,1.0,1.0,0.0,8.0,1.0,1.0,44.0
66,2025-05-10,2025,7,UFL,RENEGADES,PANTHERS,,,0.0,0.0,0.0,0.0,13.0
82,2025-05-17,2025,8,UFL,ROUGHNECKS,PANTHERS,,,0.0,12.0,1.0,0.0,27.0
74,2025-05-24,2025,9,UFL,STALLIONS,PANTHERS,,,0.0,0.0,0.0,0.0,44.0
76,2025-05-31,2025,10,UFL,PANTHERS,ROUGHNECKS,,,0.0,15.0,2.0,0.0,68.0
