game_id,date,season,week,league,away,home,1pt_conversion,conversions,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
SYNTHETIC_UFL_2024_W2_PANTHERS,,2024,2,UFL,,,,,0.0,14.0,1.0,0.0,3.0
SYNTHETIC_UFL_2024_W9_PANTHERS,,2024,9,UFL,,,,,0.0,12.0,1.0,1.0,21.0
SYNTHETIC_UFL_2024_W10_PANTHERS,,2024,10,UFL,,,,,0.0,0.0,0.0,0.0,36.0
SYNTHETIC_UFL_2024_W11_PANTHERS,,2024,11,UFL,,,,,0.0,0.0,0.0,0.0,62.0
SYNTHETIC_UFL_2025_W1_PANTHERS,,2025,1,UFL,,,,,0.0,6.0,1.0,0.0,34.0
SYNTHETIC_UFL_2025_W2_PANTHERS,,2025,2,UFL,,,,,0.0,11.0,1.0,0.0,53.0
SYNTHETIC_UFL_2025_W3_PANTHERS,,2025,3,UFL,,,,,0.0,-2.0,1.0,0.0,14.0
SYNTHETIC_UFL_2025_W4_PANTHERS,,2025,4,UFL,,,1.0,,0.0,5.0,1.0,1.0,60.0
SYNTHETIC_UFL_2025_W5_PANTHERS,,2025,5,UFL,,,1.0,,0.0,2.0,1.0,0.0,23.0
SYNTHETIC_UFL_2025_W6_PANTHERS,,2025,6,UFL,,,1.0,1.0,0.0,8.0,1.0,1.0,44.0
SYNTHETIC_UFL_2025_W7_PANTHERS,,2025,7,UFL,,,,,0.0,0.0,0.0,0.0,13.0
SYNTHETIC_UFL_2025_W8_PANTHERS,,2025,8,UFL,,,,,0.0,12.0,1.0,0.0,27.0
SYNTHETIC_UFL_2025_W9_PANTHERS,,2025,9,UFL,,,,,0.0,0.0,0.0,0.0,44.0
SYNTHETIC_UFL_2025_W10_PANTHERS,,2025,10,UFL,,,,,0.0,15.0,2.0,0.0,68.0
