game_id,date,season,week,league,away,home,interceptions_made,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
SYNTHETIC_CFL_2022_W1_SSK,,2022,1,CFL,,,,0.0,5.0,1.0,0.0,8.0,,
SYNTHETIC_CFL_2022_W3_SSK,,2022,3,CFL,,,,0.0,18.0,1.0,0.0,27.0,,
SYNTHETIC_CFL_2022_W4_SSK,,2022,4,CFL,,,,0.0,24.0,1.0,0.0,57.0,,
SYNTHETIC_CFL_2022_W5_SSK,,2022,5,CFL,,,,0.0,2.0,1.0,1.0,92.0,,
6232,2022-07-16,2022,6,CFL,SSK,TOR,,0.0,3.0,1.0,,,,
6237,2022-07-24,2022,7,CFL,TOR,SSK,,0.0,-13.0,4.0,0.0,6.0,,
6249,2022-08-13,2022,10,CFL,SSK,EDM,,,,,0.0,5.0,,
6251,2022-08-19,2022,11,CFL,BC,SSK,,0.0,0.0,0.0,0.0,7.0,,
6259,2022-09-04,2022,13,CFL,WPG,SSK,,0.0,20.0,3.0,0.0,85.0,,
6264,2022-09-10,2022,14,CFL,SSK,WPG,,0.0,1.0,1.0,0.0,71.0,,
6266,2022-09-16,2022,15,CFL,EDM,SSK,,0.0,16.0,2.0,0.0,14.0,,
9889286,2023-06-11,2023,1,CFL,SSK,EDM,,,,,0.0,3.0,,
9889288,2023-06-16,2023,2,CFL,WPG,SSK,,,,,0.0,1.0,,
9889298,2023-07-06,2023,5,CFL,EDM,SSK,,,,,0.0,11.0,,
9889305,2023-07-15,2023,6,CFL,CGY,SSK,,,,,0.0,6.0,,
9889308,2023-07-22,2023,7,CFL,SSK,BC,,,,,0.0,3.0,,
9889311,2023-07-29,2023,8,CFL,SSK,TOR,,0.0,0.0,0.0,0.0,8.0,,
9889331,2023-09-03,2023,13,CFL,WPG,SSK,0.0,,,,0.0,6.0,0.0,0.0
9889339,2023-09-15,2023,15,CFL,EDM,SSK,0.0,,,,0.0,4.0,0.0,0.0
9889342,2023-09-22,2023,16,CFL,SSK,OTT,,0.0,6.0,2.0,0.0,77.0,,
9889347,2023-09-29,2023,17,CFL,SSK,BC,,0.0,33.0,2.0,0.0,22.0,,
10798032,2024-07-04,2024,5,CFL,TOR,SSK,,,,,0.0,6.0,,
10798044,2024-07-25,2024,8,CFL,SSK,MTL,,0.0,16.0,1.0,1.0,117.0,,
10798050,2024-08-03,2024,9,CFL,EDM,SSK,,0.0,10.0,1.0,0.0,89.0,,
10798052,2024-08-08,2024,10,CFL,SSK,OTT,,0.0,-1.0,1.0,0.0,23.0,,
10798060,2024-08-22,2024,12,CFL,SSK,TOR,,,,,0.0,79.0,,
10798065,2024-09-01,2024,13,CFL,WPG,SSK,,0.0,27.0,3.0,0.0,32.0,,
10798070,2024-09-07,2024,14,CFL,SSK,WPG,,0.0,28.0,2.0,0.0,46.0,,
10798085,2024-10-05,2024,18,CFL,SSK,EDM,,0.0,20.0,2.0,0.0,46.0,,
10798096,2024-10-26,2024,21,CFL,CGY,SSK,,0.0,0.0,0.0,0.0,54.0,,
