game_id,date,season,week,league,away,home,assists,blocks,catches,completions,drops,goals,hucksCompleted,pulls,throwAttempts,throwaways,yardsReceived,yardsThrown
SYNTHETIC_AUDL_W2_SPIDERS,,,2,AUDL,,,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0
SYNTHETIC_AUDL_W3_SPIDERS,,,3,AUDL,,,0.0,0.0,,,0.0,1.0,,,,0.0,58.0,39.0
2022-06-17-SEA-OAK,2022-06-17,2022,4,,SEA,OAK,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0
2022-06-25-OAK-SEA,2022-06-25,2022,5,,OAK,SEA,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0
2022-06-26-OAK-POR,2022-06-26,2022,5,,OAK,POR,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0
2022-07-16-SLC-OAK,2022-07-16,2022,8,,SLC,OAK,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0
2022-07-23-LA-OAK,2022-07-23,2022,9,,LA,OAK,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0
2022-07-29-OAK-LA,2022-07-29,2022,10,,OAK,LA,1.0,0.0,,,1.0,0.0,,,,0.0,73.0,35.0
2022-07-30-OAK-SD,2022-07-30,2022,10,,OAK,SD,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0
2023-04-29-SEA-OAK,2023-04-29,2023,1,,SEA,OAK,,,2.0,1.0,,1.0,,,1.0,,19.0,14.0
2023-05-13-SLC-OAK,2023-05-13,2023,3,,SLC,OAK,,,5.0,6.0,,1.0,,1.0,7.0,1.0,-6.0,47.0
2023-06-17-COL-OAK,2023-06-17,2023,8,,COL,OAK,2.0,,7.0,6.0,,,1.0,,7.0,,39.0,111.0
