game_id,date,season,week,league,away,home,def_solo,def_tot,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,rush_att,rush_lg,rush_td,rush_yds,score_conv,score_p,score_pts,score_r,score_tot
FOOTBALL_CFL_2016_10_10_CGY@TOR,2016-10-10,2016,1,CFL,CGY,TOR,,,,,,,8.0,11.0,1.0,28.0,117.0,,,,,,1.0,6.0,,1.0
FOOTBALL_CFL_2016_10_15_MTL@CGY,2016-10-15,2016,1,CFL,MTL,CGY,,,,,,25.0,5.0,7.0,,36.0,61.0,,,,,,,,,
FOOTBALL_CFL_2016_10_1_CGY@HAM,2016-10-01,2016,1,CFL,CGY,HAM,,,,,,37.0,6.0,10.0,,8.0,69.0,,,,,1.0,,2.0,,
FOOTBALL_CFL_2016_10_21_TOR@CGY,2016-10-21,2016,1,CFL,TOR,CGY,,,,,,15.0,5.0,6.0,,8.0,53.0,,,,,,,,,
FOOTBALL_CFL_2016_10_30_CGY@MTL,2016-10-30,2016,1,CFL,CGY,MTL,1.0,1.0,,,,27.0,3.0,6.0,,21.0,53.0,,,,,,,,,
FOOTBALL_CFL_2016_11_20_BC@CGY,2016-11-20,2016,1,CFL,BC,CGY,1.0,1.0,,,,28.0,5.0,8.0,,7.0,52.0,,,,,1.0,,2.0,,
FOOTBALL_CFL_2016_11_27_CGY@OTT,2016-11-27,2016,1,CFL,CGY,OTT,1.0,1.0,,,,26.0,5.0,11.0,,21.0,75.0,,,,,,,,,
FOOTBALL_CFL_2016_6_25_CGY@BC,2016-06-25,2016,1,CFL,CGY,BC,,,,,,48.0,3.0,5.0,1.0,13.0,73.0,,,,,,1.0,6.0,,1.0
FOOTBALL_CFL_2016_7_1_WPG@CGY,2016-07-01,2016,1,CFL,WPG,CGY,,,,,,15.0,3.0,4.0,,15.0,28.0,1.0,6.0,,6.0,,,,,
FOOTBALL_CFL_2016_9_24_WPG@CGY,2016-09-24,2016,1,CFL,WPG,CGY,,,,,,29.0,9.0,13.0,1.0,22.0,126.0,,,,,,1.0,6.0,,1.0
FOOTBALL_CFL_2017_10_13_CGY@HAM,2017-10-13,2017,1,CFL,CGY,HAM,,,,,,25.0,5.0,10.0,1.0,4.0,58.0,,,,,1.0,1.0,8.0,,1.0
FOOTBALL_CFL_2017_10_20_SSK@CGY,2017-10-20,2017,1,CFL,SSK,CGY,,,,,,18.0,6.0,11.0,,14.0,68.0,,,,,,,,,
FOOTBALL_CFL_2017_10_28_CGY@EDM,2017-10-28,2017,1,CFL,CGY,EDM,,,,,,19.0,6.0,10.0,1.0,7.0,67.0,,,,,,1.0,6.0,,1.0
FOOTBALL_CFL_2017_11_19_EDM@CGY,2017-11-19,2017,1,CFL,EDM,CGY,,,,,,51.0,6.0,10.0,,36.0,111.0,1.0,17.0,,17.0,,,,,
FOOTBALL_CFL_2017_11_26_CGY@TOR,2017-11-26,2017,1,CFL,CGY,TOR,,,,,,37.0,6.0,12.0,1.0,51.0,117.0,,,,,,1.0,6.0,,1.0
FOOTBALL_CFL_2017_11_3_WPG@CGY,2017-11-03,2017,1,CFL,WPG,CGY,,,,,,28.0,3.0,4.0,,15.0,50.0,,,,,,,,,
FOOTBALL_CFL_2017_6_23_CGY@OTT,2017-06-23,2017,1,CFL,CGY,OTT,,,,,,23.0,5.0,11.0,1.0,15.0,72.0,,,,,,1.0,6.0,,1.0
FOOTBALL_CFL_2017_6_29_OTT@CGY,2017-06-29,2017,1,CFL,OTT,CGY,,,,,,48.0,3.0,5.0,2.0,9.0,71.0,,,,,,2.0,12.0,,2.0
FOOTBALL_CFL_2017_7_14_CGY@MTL,2017-07-14,2017,1,CFL,CGY,MTL,,,,,,55.0,9.0,14.0,,18.0,140.0,,,,,,,,,
FOOTBALL_CFL_2017_7_22_SSK@CGY,2017-07-22,2017,1,CFL,SSK,CGY,,,,,,21.0,8.0,9.0,,36.0,88.0,,,,,,,,,
FOOTBALL_CFL_2017_7_29_HAM@CGY,2017-07-29,2017,1,CFL,HAM,CGY,,,,,,6.0,1.0,1.0,,2.0,6.0,,,,,,,,,
FOOTBALL_CFL_2017_7_7_CGY@WPG,2017-07-07,2017,1,CFL,CGY,WPG,1.0,1.0,,,,45.0,6.0,9.0,1.0,31.0,97.0,1.0,,1.0,1.0,,1.0,12.0,1.0,2.0
FOOTBALL_CFL_2021_10_23_SSK@CGY,2021-10-23,2021,1,CFL,SSK,CGY,,,,,,31.0,3.0,7.0,,23.0,63.0,,,,,,,,,
FOOTBALL_CFL_2021_10_29_CGY@OTT,2021-10-29,2021,1,CFL,CGY,OTT,,,,,,26.0,6.0,6.0,1.0,26.0,79.0,,,,,,1.0,6.0,,1.0
FOOTBALL_CFL_2021_11_12_CGY@BC,2021-11-12,2021,1,CFL,CGY,BC,,,,,,46.0,3.0,3.0,,25.0,71.0,,,,,,,,,
FOOTBALL_CFL_2021_11_20_WPG@CGY,2021-11-20,2021,1,CFL,WPG,CGY,,,,,,10.0,2.0,3.0,,2.0,15.0,,,,,,,,,
FOOTBALL_CFL_2021_11_28_CGY@SSK,2021-11-28,2021,1,CFL,CGY,SSK,,,,,,13.0,4.0,8.0,,9.0,33.0,,,,,,,,,
FOOTBALL_CFL_2021_8_12_BC@CGY,2021-08-12,2021,1,CFL,BC,CGY,,,,,,32.0,3.0,7.0,,24.0,68.0,,,,,,,,,
