game_id,date,season,week,league,away,home,fumble_recoveries,interceptions_made,points_against,sacks
1-renegades-vipers,2023-02-18,2023,1,XFL,VIPERS,RENEGADES,,1.0,10.0,3.0
FOOTBALL_XFL_2023_2_25_DC@VGS,2023-02-25,2023,2,XFL,VIPERS,DEFENDERS,3.0,,18.0,2.0
FOOTBALL_XFL_2023_3_4_SEA@VGS,2023-03-04,2023,3,XFL,VIPERS,SEA DRAGONS,1.0,1.0,30.0,1.0
FOOTBALL_XFL_2023_3_12_VGS@DC,2023-03-12,2023,4,XFL,DEFENDERS,VIPERS,1.0,,32.0,1.0
FOOTBALL_XFL_2023_3_18_ORL@VGS,2023-03-18,2023,5,XFL,ORL,VGS,,,,4.0
SYNTHETIC_XFL_2023_W5_VIPERS,2023-03-18,2023,5,XFL,VIPERS,GUARDIANS,,,32.0,
FOOTBALL_XFL_2023_3_25_STL@VGS,2023-03-25,2023,6,XFL,STL,VGS,,,,3.0
SYNTHETIC_XFL_2023_W6_VIPERS,2023-03-25,2023,6,XFL,VIPERS,BATTLEHAWKS,,,29.0,
FOOTBALL_XFL_2023_4_1_SA@VGS,2023-04-01,2023,7,XFL,SA,VGS,2.0,1.0,,4.0
SYNTHETIC_XFL_2023_W7_VIPERS,2023-04-01,2023,7,XFL,VIPERS,BRAHMAS,,,12.0,
FOOTBALL_XFL_2023_4_8_VGS@STL,2023-04-08,2023,8,XFL,VGS,STL,1.0,1.0,,1.0
SYNTHETIC_XFL_2023_W8_VIPERS,2023-04-08,2023,8,XFL,BATTLEHAWKS,VIPERS,,,21.0,
FOOTBALL_XFL_2023_4_15_VGS@HOU,2023-04-15,2023,9,XFL,VGS,HOU,1.0,2.0,,
SYNTHETIC_XFL_2023_W9_VIPERS,2023-04-15,2023,9,XFL,ROUGHNECKS,VIPERS,,,16.0,
SYNTHETIC_XFL_2023_W10_VIPERS,2023-04-23,2023,10,XFL,SEA DRAGONS,VIPERS,,2.0,28.0,
